,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"고데기 고르는법 오파트라 쿨링고데기로 미디엄헤어 스타일링, 실리콘과 천연오일 에센스의 특징 알아보기",https://www.youtube.com/watch?v=tsbzJPhBVak,922,2023-06-25,0:23:18,
1,펌의 변천사를 보며 헤어디자이너 감각을 조금 키워보는 시간 가져볼게요,https://www.youtube.com/watch?v=bGuBh_wtwjs,1723,2023-06-01,0:21:18,
2,"헤어 시술가격 올리는 법‼️ 컷,펌가격 올리고 싶은 분들은 이렇게 해보세요~  ✅미용실 경력 중 중요한 부분 체크",https://www.youtube.com/watch?v=vnXZXeCegVc,7364,2022-11-09,0:14:31,
3,저만하는 남자펌✅메가 볼륨펌 공유해요(+구독자님께 드리는 말씀),https://www.youtube.com/watch?v=2SZu6NUO0EY,16671,2022-10-05,0:23:38,
4,스티바A 트레티노인 연고 부작용 두번째이야기⭕️모공 작아지는 효과와 콜라겐효과,https://www.youtube.com/watch?v=hxSSO1H9HMs,3828,2022-09-14,0:05:16,
5,뿌리볼륨펌 저만 아는 꿀 정보 공유합니다 ✅️저만 이 펌제를 뿌리볼륨펌으로 쓰더라구요~,https://www.youtube.com/watch?v=7LwRRdxbPgY,26884,2022-08-19,0:15:19,
6,셀프펌 중화하지 마세요‼ 혼자하는 앞머리펌 이거 하나면 OK,https://www.youtube.com/watch?v=ljThMbI3suo,4322,2022-05-18,0:07:45,
7,저만하는✅️메가 볼륨매직 공유해요~ 전 이펌으로 돈 많이 벌었어요‼️ 미용하시는 분들 모두 부자되세요^^,https://www.youtube.com/watch?v=klrYos7zHI4,101984,2022-04-02,0:16:16,
8,오피스룩 사계절용 ✔교복처럼 매일입는 여성정장 기본수트 [ K뷰티마켓 ],https://www.youtube.com/watch?v=qOg89BsC81c,4542,2021-05-13,0:10:33,
9,셀프 앞머리펌하는 방법 너무나 쉬운 펌 따라해보세요 /뷰티마스터 윤지연 [ K뷰티마켓 ],https://www.youtube.com/watch?v=M92SEP6QQS8,71698,2021-04-09,0:14:20,
10,남자다운펌과 볼륨펌 박서준머리 [ 뷰티마스터 윤지연TV ],https://www.youtube.com/watch?v=UMMhxsNYviw,6191,2021-04-08,0:10:42,
11,펌이론 꼭 알아야할 것들 댓글질문에 답 [뷰티마스터 윤지연TV],https://www.youtube.com/watch?v=OnphTO-kUQ8,30822,2021-03-09,0:28:01,
12,"탈색머리 솜브레 브이로그, 염색 보색으로 카키색 잡기 [뷰티마스터 윤지연TV]",https://www.youtube.com/watch?v=39mVlqjzlyI,3684,2021-02-03,0:10:22,
13,히피펌 하는법 열펌연화2편 [뷰티마스터 윤지연TV],https://www.youtube.com/watch?v=5UUaAK0o3Yg,24126,2021-01-11,0:19:39,
14,스티바A 레틴A 트레티노인 연고 부작용과 성공과정 : 레티놀과 셀트리온화장품 사용 [ 뷰티마스터 윤지연TV ],https://www.youtube.com/watch?v=EoMMV6mdXUI,10033,2020-12-20,0:15:34,
15,중단발 커트하는 법✔단아한 깔끔한 단발머리 미디엄원랭스컷 [뷰티마스터 윤지연TV],https://www.youtube.com/watch?v=wilTDXKeifA,30707,2020-12-12,0:23:25,
16,열펌연화 ph이론과 모수질의 비밀★인장강도 테스트 진행 [윤지연TV],https://www.youtube.com/watch?v=9eVj6FYFHZ8,33468,2020-11-24,0:23:08,
17,반영구눈썹 디자인★남자눈썹디자인★ 소프트브로우 머신테크닉 시술후 다음날 딱지있는 최종상태까지  [ 윤지연TV],https://www.youtube.com/watch?v=nTTqVID_dFU,4491,2020-11-15,0:14:58,
18,"솜브레 옴브레 하는법 4가지테크닉 비교 : 탈색머리 발레아쥬 호일워크+백코움,에어터치 옴브레[ 윤지연TV ]",https://www.youtube.com/watch?v=d_D9YOK6k9Y,11883,2020-10-31,0:23:09,
19,남자 투블럭컷 하려다~ 솥뚜껑머리 되어 돌아온 손님:::가르마펌으로 이미지 복구시킨 미용실브이로그 [윤지연TV],https://www.youtube.com/watch?v=3np90Z-rFu8,1750,2020-10-19,0:06:41,
20,"🌱위빙 하이라이트, 호일워크 기본테크닉 : CMC는 어떤작용을 하는가?  솜브레에 첨가할 테크닉연습 3D염색 [윤지연TV]",https://www.youtube.com/watch?v=WHnQOGYjMKs,13103,2020-10-10,0:19:41,
21,가족여행 /물맑은바다 울진후포리 여름휴가 2편 / 유기견의 새끼댕댕이를 만남 /동해바다여행 브이로그 [윤지연TV],https://www.youtube.com/watch?v=0-WgkSN26MY,443,2020-09-28,0:06:14,
22,캠핑카 여행하기 좋은곳 울진후포리 : 여름휴가 1편 : 국내여행 : 맑은바다 아지트 [윤지연TV],https://www.youtube.com/watch?v=niui10Q7uEs,636,2020-09-24,0:04:54,
23,"염색바르는법, 쓰리터치염색 도포법 /염색클리닉 하는법 /제가만든 기술공유 /커리쉴 트리트먼트 사용 [윤지연TV]",https://www.youtube.com/watch?v=FnrCT_kxPX8,64138,2020-09-22,0:16:31,
24,"긴머리원랭스컷, 상한머리다듬는 휴일 브이로그~ 층없이 일자로 정리컷 [윤지연TV]",https://www.youtube.com/watch?v=Prf5ACnBWWE,42630,2020-09-15,0:05:47,
25,"반영구눈썹 디자인부터 2차 최종 시술까지 다~  소프트브로우 기법, 펜슬기법 [윤지연TV]",https://www.youtube.com/watch?v=qjQFQPamM1s,62795,2020-09-09,0:11:59,
26,남자펌 남자머리 💇 가르마펌 : 남자 눈썹정리 초근접 영상은 덤 : 수소펌 직펌사용 [윤지연TV],https://www.youtube.com/watch?v=7RnNJGPyhgI,1221,2020-08-30,0:06:41,
27,땋기머리 예쁘게 묶는방법~꽈배기머리 예쁘게 묶는법  [윤지연TV],https://www.youtube.com/watch?v=1sr1dLmHVW0,22070,2020-08-27,0:04:43,
28,"탄머리 복구펌, 탈색머리 복구매직의 과정을 모두담은 시술 풀영상 : 푸드펌제 사용~결과를 꼭 봐주세요 [윤지연TV]",https://www.youtube.com/watch?v=tyWJlui4-l0,12479,2020-08-18,0:18:35,
29,갤럭시노트20 울트라 20배줌 해본 영상~ 유튜브용 새폰 장만기(자막을 켜주세요),https://www.youtube.com/watch?v=9Z9dBIThAb8,303,2020-08-14,0:02:17,
30,자외선차단 효과 AHC선스틱 여름바닷가에서 맛본 놀라운 피부변화 [윤지연TV],https://www.youtube.com/watch?v=_fyhFQUWCmg,1147,2020-08-08,0:04:14,
31,반영구눈썹 한달후 2차시술 영상_소프트브로우 기법_펜슬기법 [윤지연TV],https://www.youtube.com/watch?v=K38J7QR5TFw,1752,2020-08-03,0:03:59,
32,"반영구눈썹 : 눈썹을 줄게~1차시술 : 누워서 한번, 앉아서 한번 더 시술진행 :소프트브로우  [윤지연TV]",https://www.youtube.com/watch?v=HV6UzeAzdSk,1727,2020-07-30,0:04:18,
33,남자펌 브이로그 _수소펌 : 손상없이 부드럽고 자연스럽게 펌하기 [ 윤지연TV ],https://www.youtube.com/watch?v=7GGECOSHGrQ,1264,2020-07-21,0:06:03,
34,"뿌리펌)오리지널, 리프팅펌, 애드펌 : 뿌리볼륨펌 알고하면 좋은것들~ [윤지연TV]",https://www.youtube.com/watch?v=qsIVkly19LM,21691,2020-07-15,0:08:16,
35,"NEWS"" 뷰티자격증 정보 [화장품 조제관리사 자격증] K-beauty 시대에 맞는 개인맞춤형 서비스~ 어떤가요??  _윤지연 TV",https://www.youtube.com/watch?v=DhkOlFQSLBo,619,2020-07-05,0:06:25,
36,탈색머리 관리 [커리쉴 보색샴푸] 윤지연TV,https://www.youtube.com/watch?v=6MJ4siQRbEg,1227,2020-06-24,0:05:55,
37,화장품추천:: 밀착 메이크업 제품 ~ 샹테카이 파운데이션 [윤지연TV],https://www.youtube.com/watch?v=tRYdpWnWb08,3747,2020-06-16,0:07:24,
38,리트리버 처음으로 비행기탔어요~:) 신나는 친구만나러 가는길~  [윤지연TV],https://www.youtube.com/watch?v=lxRj8hK_-tE,459,2020-06-07,0:01:06,
39,"머리 예쁘게 묶는방법~ 평생 써먹을 ""2개의 꿀팁"" [윤지연TV]",https://www.youtube.com/watch?v=c3ZgtH6ZjMg,1996,2020-05-24,0:07:55,
40,"남성컷 변신 5분 챌린지 제안받고, 해본영상~ 역시 남자는 컷트 스타일이 중요하다!!",https://www.youtube.com/watch?v=FqQiIZ5G3so,607,2020-05-18,0:00:52,
41,셀프탈색 /위빙탈색 /뷰티마스터의 일상 [윤지연TV],https://www.youtube.com/watch?v=nZWE1YO8XUQ,1301,2020-05-14,0:04:20,
42,"""앞머리 펌"" 이제 누구나 쉽고, 빠르게~셀프앞머리펌 [윤지연TV]",https://www.youtube.com/watch?v=z1B4OkHPLTA,2490,2020-05-11,0:08:00,
