,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,미용실에서 고객관리는 이렇게 하면 좋아요,https://www.youtube.com/watch?v=3OsbnlIKJME,159,2023-04-28,0:06:56,
1,기억력 나쁜 미용실원장이 부자가 되고싶어 했던 고객관리,https://www.youtube.com/watch?v=1GripnzfyLo,152,2023-04-21,0:06:22,
2,얼굴형이 작아지고 고급스러움이 더해지는 기적의 뿌리볼륨 살리기! 머리숱이 풍성해지는 팁_제발 꼭 해보세요,https://www.youtube.com/watch?v=i-iQuDdwMJU,213,2023-03-31,0:07:44,
3,정수리냄새 땀냄새 두피악취 깔끔하게 없앴어요,https://www.youtube.com/watch?v=yJif4hvW47o,356,2023-03-17,0:04:34,
4,어려보이고 티안나게 자연스러운 헤어스타일링,https://www.youtube.com/watch?v=U8iFkfCrzDw,408,2023-03-10,0:05:51,
5,편두통으로 응급실까지 실려갔던 내가 효과 본 샴푸방법(두통 안녕...),https://www.youtube.com/watch?v=gVjF2IfcWsQ,203,2023-02-23,0:03:25,
6,여자헤어스타일)구르프 이거만 따라하면 끝! |10분안에 끝 구르프 마는 방법! 초간단 핵쉬운 여자 헤어스타일,https://www.youtube.com/watch?v=Mm9OiLLn1Ns,521,2023-02-17,0:04:52,
7,탈모 두피 관리법 | 탈모 두피 염색하기 | 내가 탈모라니 ㅠㅠ,https://www.youtube.com/watch?v=llgVaV65pS0,474,2023-02-10,0:03:31,
8,땅파서 장사했는데 초대박 난 미용실,https://www.youtube.com/watch?v=7r4_nwV1Uok,362,2023-02-03,0:03:06,
9,앞머리 고데기 제발 이렇게만 하지마세요ㅠㅠ,https://www.youtube.com/watch?v=ny-LH0prp7E,34260,2023-01-27,0:02:11,
10,헤어디자이너가 알려주는 셀프 스타일링/거지존 추천영상/고데기 드라이 방법까지💛 HOW TO CURL YOUR HAIR_Korean style,https://www.youtube.com/watch?v=RlqR7xyNWXI,1237,2023-01-20,0:02:38,
11,"3분컷 여신머리 고데기 하는법, 머리볼륨살리기 앞머리 뽕 넣는법",https://www.youtube.com/watch?v=PJcaBg6uyFM,2384,2023-01-13,0:02:38,
