,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"야금야금 관리했는데 이정도라고? 더 늦기 전에 시작해야할 ""이것""!⭐️ (경락/ 홈케어/ 부활초/ 이너뷰티/ 기초케어 추천｜뷰티펄진주)",https://www.youtube.com/watch?v=MCap3pUbQV4,842,2023-09-23,0:15:01,
1,지금이 기회?!⭐️ 올 겨울에도 핫한 어그 15종 몽땅 소개 + 마켓 공지🔔 (오즈웨어 어그/ 코케트/ 선물 추천/ 겨울 룩북｜뷰티펄진주),https://www.youtube.com/watch?v=2jIU6ALdoaU,6380,2023-09-21,0:13:09,
2,가을패션하울🍁취향 200% 갈아넣은 17가지 가을템 소개해요✨(하객룩 추천/ 가을 니트/ 디자이너 브랜드 하울/ 가을 코디/ 직장인 추천｜뷰티펄진주),https://www.youtube.com/watch?v=zHdxkiAV8Vw,30350,2023-09-11,0:18:02,
3,선물 고민 멈춰!💥센스 만점 카카오톡 선물하기 11가지 추천⭐️ (생일 선물 추천/ 집들이 선물 추천/ 휩드 비건 바디 팩 클렌저/ 향수 추천/ 추석 선물｜뷰티펄진주),https://www.youtube.com/watch?v=z665afdVckc,8944,2023-09-10,0:19:49,
4,✴︎본격 가을 준비 시작🤎 숨겨왔던 나~의 위시리스트 대공개👛 (인쇼/ +안흔한 쇼핑몰/ 지그재그 쇼핑몰/ 가을 니트 추천｜뷰티펄진주),https://www.youtube.com/watch?v=62EPkdCSLUA,24863,2023-09-06,0:16:36,
5,안보면 후회🚨똥손도 할 수 있는 10분컷 물결 고데기 연출법!💈+구독자 이벤트 (물결펌/ 물결 고데기 추천/ 비달사순/ 머메이드 물결 고데기｜뷰티펄진주),https://www.youtube.com/watch?v=4MnGmrn7K-4,1986,2023-09-05,0:13:15,
6,내돈내산💸 공병만 8개?! 인증 가능한 찐템만 모은 7가지 올리브영 추천템🔥❤️(올리브영 세일/ 영양제 추천/ 뉴칸 더블파워/ 공병템 추천｜뷰티펄진주),https://www.youtube.com/watch?v=yTEQqOba_pU,3378,2023-09-02,0:15:56,
7,올리브영 9월 빅세일💚나이트케어에서 절.대. 놓치기 싫은 이것! 프로귀찮러 모여라〰️+이벤트🔔(올리브영 추천템/ 클렌징밤 추천｜뷰티펄진주),https://www.youtube.com/watch?v=a3UTpKcVqRY,27142,2023-08-31,0:07:53,
8,가을에도 뽕뽑을 직접 써보고 반해버린 9가지 캔버스백 추천🎒⭐️(가방 하울/ 가성비템/ 실버백/ 보부상백/ 직장인 백/ 디자이너 브랜드 가방 추천|뷰티펄진주),https://www.youtube.com/watch?v=1vH46iN90R8,4772,2023-08-28,0:19:15,
9,핫한 신상!💄바닐라코 쉬어 벨벳 베일 틴트 6가지 전컬러 발색 리뷰💓+베일 글로스 ( 매트립 추천/ 글로우립 추천/ 신상립 추천｜뷰티펄진주),https://www.youtube.com/watch?v=HEwR2RRf0FM,4150,2023-08-21,0:07:37,
10,"같은사람 맞음😦..? -10살 동안만들어주는 나에게 맞는 화장법의 중요성! (ft.스타일링, 화알못 화장｜뷰티펄진주)",https://www.youtube.com/watch?v=kheYJvESU_M,5265,2023-08-20,0:20:55,
11,한번 써보고 바로 정착해버린⭐️올리브영 추천템 8가지🍀(향수 추천/ 올영추천템/ 올리브영 세일/ 생일선물추천｜뷰티펄진주),https://www.youtube.com/watch?v=1P4uVJGWcxI,7634,2023-08-14,0:19:31,
12,여전히 핫한 백팩! 뭘 사야할까? 10가지 백팩 리뷰🎒⭐️(가성비템/ 실버백/ 보부상백/ 직장인 백/ 디자이너 브랜드 가방 추천|뷰티펄진주),https://www.youtube.com/watch?v=DCOMDSMj2TM,21926,2023-08-12,0:23:10,
13,향수만 70개인 향덕후가 반해버린 바캉스에 딱인 향수 추천💓+구독자 이벤트 (휴가시즌 추천/ 여행 아이템 추천/ 생일템 추천/ 니치 향수 추천｜뷰티펄진주),https://www.youtube.com/watch?v=Ok8kBXMMnW4,5880,2023-08-04,0:11:09,
14,여름을 버텨줄 돈 안아까운!! 7가지 여름 슈즈 하울🩴🍊내돈내산💸(여름 샌들 추천/ 레인부츠/ 솔트워터/ 미닛뮤트/ 차하야/ 프리플라/ 누스|뷰티펄진주),https://www.youtube.com/watch?v=aqNRRWHIYZE,6158,2023-07-29,0:14:45,
