,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"최근 구매한 가을 겨울용 BLACK 아이템들 소개 (살로몬, 호카, 아크테릭스)",https://www.youtube.com/watch?v=-vD5F7EcsJI,977,2023-09-29,0:07:27,
1,신발은 100점인데...행사는...읍읍...여기까지....ㅎ (아식스 젤카야노 14 무신사 SMU),https://www.youtube.com/watch?v=u4utZT-mn0E,1519,2023-09-27,0:04:17,
2,포켓몬 x 산타크루즈 덱 뽑기!!! 황금 리자몽 나오면 인생 역전!?,https://www.youtube.com/watch?v=hNvEv79sPK0,1267,2023-09-24,0:06:35,
3,【신발 사는 이야기】 이지부스트의 탄생부터 끝까지 보고 있는 요즘...,https://www.youtube.com/watch?v=8p1CpL9HHx0,3261,2023-09-18,0:17:44,
4,【신발 사는 이야기】당신은 리셀러입니까?,https://www.youtube.com/watch?v=w42O1_p1QAg,2543,2023-09-08,0:19:06,
5,지난주 돌아다닌 팝업 현장들 & 플리마켓 참여 안내 (GLGK HIRO / 뉴발란스 574 / PAF / EPT / 마원 마켓),https://www.youtube.com/watch?v=NQWxnUvd4wo,2344,2023-09-05,0:08:26,
6,안녕하세요? 지난주에 신발 이제 안 산다고 했던 사람입니다.,https://www.youtube.com/watch?v=mriLJCPT6SM,4125,2023-08-31,0:08:02,
7,"비 올 때 신으려고 구매한 신발들과 옷 소개 (이지폼러너, 크록스 살레헤 벰버리, 스투시)",https://www.youtube.com/watch?v=y-zyVgHokfA,4851,2023-08-30,0:06:17,
8,【신발 사는 이야기】슈프림 서울(도산) 방문 전 꼭보고 가세요!! 후기 및 그 뒷이야기들,https://www.youtube.com/watch?v=jw44PkJKIvg,12249,2023-08-25,0:30:39,
9,나만 못 들어가... 슈프림 서울(도산) 오픈 2일차 구매 언박싱 및 후기,https://www.youtube.com/watch?v=aPDDLeJbyp8,20091,2023-08-22,0:08:00,
10,【신발 사는 이야기】 지난주 구매한 신발 감상회 (아식스 젤카야노14 & 나이키 앰부쉬 업템포),https://www.youtube.com/watch?v=Gm4LGsMF08w,4995,2023-08-21,0:15:51,
11,신발 좋아하는 사람들은 다 이 정도 들고 다닌다니까!?,https://www.youtube.com/watch?v=Vvis56ez4UM,5164,2023-08-17,0:07:50,
12,오직 무신사에서만 나온다는 초 킹성비 신발 추천 (아식스 조그 100 S SMU 3종),https://www.youtube.com/watch?v=MF6qqfTmrxM,5683,2023-08-16,0:06:49,
