,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,소장한 샤넬백 중 추천 가방은? | 5년간 모은 샤넬백 4000만원치 | 샤넬 언박싱 | 샤넬백 종류 | 샤넬백 하울 | 샤넬백 사는법,https://www.youtube.com/watch?v=56_OVIt4GOk,1008,2023-09-22,0:09:12,
1,코스 가을 신상 미쳤다🍂 | 9월 둘째 주 | cos | 마시모두띠 | 패션 하울,https://www.youtube.com/watch?v=l2wuFZ1l1Fc,6066,2023-09-08,0:06:22,
2,ZARA 가을 신상🍂 | 9월 첫째주 | 자라 하울 | LOOK BOOK,https://www.youtube.com/watch?v=AKtCpyYRjDg,8404,2023-09-01,0:06:35,
3,생애 첫 크로스핏 도전 | 식단 없이 몸매 변화 | 스웻온서울 | 크로스핏 왕초보 | 다이어트 성공,https://www.youtube.com/watch?v=MmQDxUSfng8,2446,2023-08-26,0:28:02,
4,친언니 택배 몰래 언박싱 🤫📦 | 샤넬 미러 | 아디다스 * 스포티앤리치 | urbanic30 | 모남히 | monamhee | adidas * sporty&rich,https://www.youtube.com/watch?v=Q4gYLnhXD6E,3215,2023-07-21,0:12:38,
5,도쿄 여행 브이로그 2 | 꼼데가르송 가디건 저렴하게 구매하는 방법 | 셀린느 | 슈프림 | 플리츠플리즈 | 포터 | 이세이미아케 | 바오바오백 | 도쿄 쇼핑,https://www.youtube.com/watch?v=OhYFAvuIryE,26708,2023-07-01,0:20:01,
6,도쿄 여행 브이로그 1 | 가성비 최고 숙소 추천 | 도버스트릿마켓 | 스투시 | 꼼데가르송 | 돈키호테 | 비비안웨스트우드 | 슈프림  | 빔즈 긴자 | 시부야 |,https://www.youtube.com/watch?v=xFgyb2VpoE8,30394,2023-06-17,0:19:49,
7,COS haul | 구름백 팝업스토어 200만원 쓴 썰 푼다 | cos quilted bag | 코스 하울,https://www.youtube.com/watch?v=q6Mm704pDeM,28575,2023-05-28,0:10:44,
8,ZARA 5월 신상 10가지 입어보기 | 자라 룩북 | 여름 하울 | 170cm | summer haul | zara haul |,https://www.youtube.com/watch?v=43uAP3J2QJI,5962,2023-05-21,0:07:46,
9,대기업 직장인 소장 가방 소개 👜 | 명품백부터 디자이너백까지 | 내돈내산 | my bag | 가방 하울 | 샤넬 | bag haul,https://www.youtube.com/watch?v=uH5OK_UcBzs,8036,2023-04-15,0:11:32,
