,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,피부관리사인데 어떻게 레이저를 시술하냐구요?,https://www.youtube.com/watch?v=fOqNTtSWLq4,3394,2023-07-13,0:08:03,
1,앞니 임플란트 후 2년... 궁금하셨죠?,https://www.youtube.com/watch?v=UzbcdyU-8yo,29612,2023-02-23,0:09:40,
2,일년만에 돌아온 스라테티션이랑 스파투어 하실..?,https://www.youtube.com/watch?v=EsOS3Bp8FzE,8253,2022-11-04,0:10:16,
3,미국에서 메디컬스파 오픈준비하는 브이로그🌿,https://www.youtube.com/watch?v=QRujb0H1PyE,19895,2021-09-09,0:11:21,
4,탈색했다가 머리녹아버린 브이로그,https://www.youtube.com/watch?v=_t4_beE192U,9079,2021-08-01,0:07:33,
5,죽을각오까지하고 백신맞는 브이로그🤔🦠💉,https://www.youtube.com/watch?v=YQDElmsVAhM,7816,2021-05-13,0:08:38,
6,초보유튜버한텐 키네마스터가 최고시다👍🏼,https://www.youtube.com/watch?v=mve3MzaHjTY,16170,2021-05-02,0:08:02,
7,브라질리언 레이저제모 10회했더니..!🥸,https://www.youtube.com/watch?v=qPVvcM1262s,138174,2021-04-18,0:06:33,
8,임플란트 후 잇몸관리 이렇게합니다🦷,https://www.youtube.com/watch?v=6WjRPoikbTk,57750,2021-04-08,0:09:04,
9,모공에 효과좋다는 피코프락셀 셀프시술후기♥️🔫,https://www.youtube.com/watch?v=w4v67uJqou0,57007,2021-03-30,0:08:48,
10,앞니임플란트...The end.....✨,https://www.youtube.com/watch?v=rYJCA3_1nnQ,164236,2021-03-08,0:09:01,
11,레이저토닝 Q&A🔍 자주묻는질문 모아봤어요!,https://www.youtube.com/watch?v=fIRLgrNq5TA,8369,2021-02-23,0:08:43,
12,치아미백 해봤습니다🦷✨,https://www.youtube.com/watch?v=EprisaphC9o,25378,2021-02-08,0:08:10,
13,오빠는 좋겠다. 와이프가 에스테티션이라😚,https://www.youtube.com/watch?v=aGiywM3Iqrw,19068,2021-01-25,0:06:27,
14,앞니 4개빼고 ASMR해보기🦷,https://www.youtube.com/watch?v=gte9vg6YuEQ,24994,2021-01-15,0:14:07,
