,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,직원들을 위해서 모든 지분을 포기한 대표?!👀🤭ㅣ쌀롱토크 시즌2 ep.6,https://www.youtube.com/watch?v=ctUT9fEvOu4,531,2023-05-03,0:13:39,
1,한 스무살 어려보이나요..?,https://www.youtube.com/watch?v=M-uK_If6UbY,412,2023-04-17,0:08:31,
2,제니처럼 해주세요,https://www.youtube.com/watch?v=270k_R1VTMs,829,2023-02-13,0:12:39,
3,요즘 트렌드에 발맞춰 승급시험을 없앴어요,https://www.youtube.com/watch?v=OOKvTyilaZc,2059,2023-01-17,0:08:54,
4,"사랑보다 먼 우정보단 가까운, 베프를 초월한 묘한 관계?! 👀ㅣ쌀롱토크 시즌2 ep.5",https://www.youtube.com/watch?v=c8dYrBp-JuM,713,2022-12-27,0:24:06,
5,K-POP을 너무 좋아해서 한국말 공부하고 바로 날아왔어요,https://www.youtube.com/watch?v=RIsNfi-u4Mg,753,2022-12-02,0:13:52,
6,여자들이 좋아하는 남자머리와 남자들이 좋아하는 남자머리,https://www.youtube.com/watch?v=9v3kcB7XjBQ,3177,2022-10-21,0:13:47,
7,"이직하기 싫은 미용 브랜드 1위, 함성소리 그들만의 문화!!ㅣ쌀롱토크 시즌2 ep.4",https://www.youtube.com/watch?v=4Mzjm8sRh_0,1198,2022-09-15,0:13:35,
8,왜 미용을 청담동에서 시작했어요?,https://www.youtube.com/watch?v=veR3sCDSTEo,3606,2022-08-24,0:15:39,
9,남자 전문 헤어로 전향해도 괜찮을까요?,https://www.youtube.com/watch?v=CDOS88kpc1w,7084,2022-07-29,0:15:05,
10,"방탄소년단 레전드 헤어를 탄생시킨 본인 등판, 헤어 스타일리스트가 푸는 BTS 콘서트 비하인드 썰!!ㅣ쌀롱토크 시즌2 ep.3 [KR/EN]",https://www.youtube.com/watch?v=Db-CLcXRglE,13299,2022-07-15,0:12:25,
11,젊은 디자이너가 청담에서 버티기 위한 솔루션 part.2,https://www.youtube.com/watch?v=M9G7fiWaytw,3622,2022-07-06,0:06:14,
12,"월수입 40만 원(월급 16+팁 20)에서 연봉 2억까지, 미용계 마왕들(고인물ㄴㄴ) 등판!!ㅣ쌀롱토크 시즌2 ep.2",https://www.youtube.com/watch?v=RGR62PBwFPM,2251,2022-06-29,0:16:49,
13,젊은 디자이너가 청담에서 버티기 위한 솔루션 part.1,https://www.youtube.com/watch?v=YeHIiO_xRUM,1417,2022-06-15,0:09:36,
14,서비스는 빚이다?ㅣ좋은 서비스의 무서운 점,https://www.youtube.com/watch?v=Tj2ER1L7OGY,772,2022-05-25,0:15:24,
15,“아이유 보고있나?” 국힙 원탑까지 넘보는 기우보이 (Jay Park 연락주세요)ㅣ쌀롱토크 시즌2 ep.1,https://www.youtube.com/watch?v=S7c8ORFSyMo,6667,2022-05-18,0:27:35,
16,자고 일어나야 더 예뻐지는 말도 안되는 드라이ㅣ청담동네미용실 ep.40,https://www.youtube.com/watch?v=NVqlVuatm70,1712,2022-04-13,0:14:13,
17,이걸 보는 순간 연예인 물결 웨이브 마스터합니다ㅣ청담동네미용실 ep.39,https://www.youtube.com/watch?v=vM9l94GQFNY,7088,2022-03-21,0:14:16,
18,내가 브랜드가 되어야 부자가 될 수..ㅣ청담동네미용실 ep.38,https://www.youtube.com/watch?v=KQ_SNo2EkHg,2182,2022-02-28,0:20:21,
19,다시 태어나면 미용 안하려구요.,https://www.youtube.com/watch?v=YxJefuBzNFQ,1680,2022-02-18,0:14:04,
20,2022트렌드! 상의는 올라가고 바지는 내려가고..?ㅣ청담동네미용실 ep.37,https://www.youtube.com/watch?v=IPgVX_a118s,741,2022-01-31,0:14:07,
21,직장 동료끼리 빠지도 가고 그런거 아니예요?ㅣ청담동네미용실 ep.36,https://www.youtube.com/watch?v=6ELhebzKOGw,2518,2022-01-03,0:10:59,
22,BLACKPINK 콘서트 티켓 선물 받은 썰! 고객에서 ‘찐친’된 아이돌? (feat. 로제)ㅣ쌀롱토크 ep.25 2부 [KR/EN],https://www.youtube.com/watch?v=Kn3jldi0bVY,11304,2021-12-27,0:14:41,
23,BTS 정국 실물 영접 썰! 진짜 성공한 덕후는 누구?ㅣ쌀롱토크 ep.25 1부 [KR/EN],https://www.youtube.com/watch?v=N6YBbNFh_o0,7539,2021-12-13,0:16:34,
24,스우파 춤 춰도 끄떡없는 뿌까머리 고정 방법ㅣ[XX머리보여줄게],https://www.youtube.com/watch?v=o193gqER4OE,14861,2021-12-02,0:05:55,
25,"미용실에서 할로윈 파티를..? 이런거 처음이예요 | 일상에 지친 그대에게 선물하는 피로회복제, 남카스 EP.10",https://www.youtube.com/watch?v=NAK5NC8HH5c,223,2021-11-30,0:08:46,
26,청담동 대형살롱 대표는 어떤 디자이너를 뽑을까?ㅣ청담동네미용실 ep.35,https://www.youtube.com/watch?v=2SG6B71B2LU,8222,2021-11-08,0:16:48,
27,땅콩모양 얼굴형이 옆머리를 짧게 안 미는 이유(XX.오징어게임 이정재)ㅣ'나도XX머리하고싶다'[리프컷/리프펌],https://www.youtube.com/watch?v=0kgjlweOlow,462,2021-11-04,0:02:22,
28,"[KR/EN]오늘 수업이 있는데.. 수업중에 머리에서 빨간게 흘러내리면.. | 일상에 지친 그대에게 선물하는 피로회복제, 남카스 EP.9",https://www.youtube.com/watch?v=FW2CXWsqrLY,635,2021-10-05,0:14:30,
29,마지막 1도를 넘기지 못하면 물은 절대로 끓지 않아요ㅣ쌀롱토크 ep.24 3부,https://www.youtube.com/watch?v=FKAAFb-NGsg,1020,2021-10-04,0:07:50,
30,"포브스 선정 '취업, 이직 앞두고 꼭 봐야할 영상 1위'ㅣ청담동네미용실 ep.34 2부!",https://www.youtube.com/watch?v=F3d7gsj2DGY,11996,2021-09-27,0:17:19,
31,"청담동 원장이 셀프염색약 고르는 아주 완벽한 방법 | 일상에 지친 그대에게 선물하는 피로회복제, 남카스 EP.8",https://www.youtube.com/watch?v=_cw3pPaiFBQ,438,2021-09-14,0:17:23,
32,겨울에 사고가 났는데 일어나 보니 여름이었어요ㅣ쌀롱토크 ep.24 2부,https://www.youtube.com/watch?v=eh1lTw04y00,736,2021-09-13,0:08:58,
33,"사실 고민하는건, 스텝으로 다시 해야된다는 거잖아요?ㅣ청담동네미용실 ep.34",https://www.youtube.com/watch?v=e45nwa4NHVo,4822,2021-09-06,0:14:49,
34,"어느 샵에서 어느 스텝들이 원장님한테 이래? | 일상에 지친 그대에게 선물하는 피로회복제, 남카스 EP.7",https://www.youtube.com/watch?v=GgZ9dpYP5kA,1360,2021-08-31,0:08:02,
35,중증장애를 가진 미용사가 살아남는 방법ㅣ쌀롱토크 ep.24 1부,https://www.youtube.com/watch?v=EVcY61Sgpds,1041,2021-08-30,0:06:49,
36,모든 미용 스텝들이 똑같이 고민하는 그 것ㅣ청담동네미용실 ep.33 2부!,https://www.youtube.com/watch?v=N03b-rLdz-E,3070,2021-08-23,0:08:40,
