,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,요즘 입맛이 너무 돌아요... 근데 다이어트는 해야겠죠? | 먹으면서 다이어트하기 | 유지어터가 추천하는 다이어트 보조제 ✨,https://www.youtube.com/watch?v=4_wf-2cXU3U,33,2023-09-20,0:04:12,
1,틴트 대신 바르기 좋은 컬러립밤 추천 | 환절기 립밤 | 올리브영립밤 | 레인보우허니립밤 | YNM립밤 | 립밤추천,https://www.youtube.com/watch?v=KiUdN-OWqLc,29,2023-09-20,0:04:03,
2,여러 시도 끝에 드디어 찾아낸 피부 미백 아이템 BEST3 글루타치온 이너뷰티 추천 / 리포 글루타치온 콜라겐 솔직리뷰,https://www.youtube.com/watch?v=0ZcRe57ojy0,241,2023-09-19,0:03:44,
3,하루 한포로 올인원 스킨부스터 이너뷰티 하세요 ❤️ | 피부 탄력 충전 | 콜라겐 추천 | 프로즌랩 콜라겐,https://www.youtube.com/watch?v=ES0JF6BkO4E,104,2023-09-15,0:03:17,
4,강아지유산균 | 고양이유산균 | 강아지 장건강 | 듀오펫 | 펫유산균 추천,https://www.youtube.com/watch?v=J0XuISSm7xs,19,2023-09-14,0:03:41,
5,데일리 추천템 | 데일리템 | 니플패치추천 | 연예인 김나영이 착용한 와니즈 니플패치 | 접착력 최고...❤️,https://www.youtube.com/watch?v=o4yf3DUiOJI,107,2023-09-13,0:04:48,
6,추석선물추천 | 엄마화장품 기초화장품세트 추천 | 태반화장품 좋은거 아시죠!? | 3W클리닉 7종세트 리뷰,https://www.youtube.com/watch?v=KobADFg2YKU,54,2023-09-10,0:05:53,
7,뷰티디바이스 추천 | ems 디바이스 | 리프팅 관리 | 홈케어 | 피부장벽 앰플추천 | 인투메디 딥필러릭 | 인텐스앰플,https://www.youtube.com/watch?v=hjxhyZIs_4w,323,2023-09-06,0:05:29,
8,삶의 질 향상템 | 두피 케어 | 두피 관리 | 모발 홈케어 | 에이플러스랩 탈모샴푸 이걸로 두피 기름짐 해방 🤍,https://www.youtube.com/watch?v=mpR32xV4nDY,227,2023-09-02,0:03:22,
9,인플루언서pick 패션폰케이스 | 모바일어패럴브랜드 | 힙스터추천템 | 패션TIP | 아이폰케이스 | 아이폰14pro,https://www.youtube.com/watch?v=GTYpziLzI_E,115,2023-08-29,0:04:25,
10,BB크림에 연어DNA추출물인 PDRN 함유가 되어있다고 ~⁉️| 재생비비크림 추천 | 에스테틱화장품 | 꾸안꾸크림 | 파데프리,https://www.youtube.com/watch?v=ZbMW6u5ZRxg,112,2023-08-20,0:05:18,
11,홈케어 라인관리 | 누페이스 미니플러스 | 미세전류 디바이스 | v라인관리,https://www.youtube.com/watch?v=3pnB3Tdyh-o,101,2023-08-17,0:04:56,
12,두피스케일링 | 두피관리 탈모관리 | 두피케어 | 이색데이트 | 힐링 브이로그 | 관리 vlog | 하루두피 둔산점 방문하고 왔어요❤️,https://www.youtube.com/watch?v=NO7HPG0kW3c,185,2023-08-11,0:06:06,
13,블랙헤드케어루틴 | 모공세안법 | 모공클렌저 추천 | 포어 제로 필링 무스,https://www.youtube.com/watch?v=eRqER8g4R0A,111,2023-08-11,0:03:34,
