,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"가로수길 핫플투어, 1억 시계쇼핑, 디즈니 콜라보 추진 브이로그✨",https://www.youtube.com/watch?v=BUci0h4Kmu0,173954,2023-09-27,0:16:11,
1,"올드머니룩 쇼핑, 하울 + 백화점 식품관 하울까지✨",https://www.youtube.com/watch?v=kLn6YHWIM3g,260737,2023-09-16,0:17:29,
2,"생일 vlog🥳 [공주템 생일선물, 포도밭 생파, 다이소 생파, 케이크 먹으면서 수다떨기]",https://www.youtube.com/watch?v=7PNmt4vPYRo,223742,2023-09-10,0:17:05,
3,관리의 날 vlog 🌈 [치과 미백 + 발로 하는 마사지 + 리프팅 레이저 + 괄사마사지],https://www.youtube.com/watch?v=0xJ1TUV2SoU,165765,2023-09-05,0:13:32,
4,엄마아빠 합동 환갑파티🥳❤️,https://www.youtube.com/watch?v=Zs8q1WP8DqA,326063,2023-08-26,0:16:24,
5,창고방 대.청.소‼️ (+) 소장품 나눔 이벤트도 있어요❤️,https://www.youtube.com/watch?v=yw5RH0sCYQM,200739,2023-08-18,0:11:41,
6,여행의 질 쫙 올라간다!📈 짐줄이는 꿀팁 꿀템 나갑니다💖,https://www.youtube.com/watch?v=hJ1lmxKgjXE,250818,2023-08-14,0:11:34,
7,"네 번째 멤버는 너야, 우리랑 같이 USJ 갈래..?",https://www.youtube.com/watch?v=w9LMjCi8Tog,247239,2023-07-29,0:21:51,
8,"극한 아이돌 체험...⭐️ 이렇게까지 해야만 속이 후련했냐...?!?!? [헤메코, 화보촬영, 뮤직비디오까지....]",https://www.youtube.com/watch?v=BwlaLuwl-z4,374526,2023-07-19,0:25:08,
9,공주 드레스부터 아이돌 의상까지 탈탈 털어봤습니다💖 [로즈하 옷장털기],https://www.youtube.com/watch?v=otrSAouDkpE,438478,2023-07-06,0:22:53,
10,먹보쉐끼랑 먹보세끼 할미카세🎼,https://www.youtube.com/watch?v=A0bc9rzck3w,614484,2023-06-24,0:21:35,
11,카라큘라의 특별한 초대✉️,https://www.youtube.com/watch?v=c5XuDSNduvY,301278,2023-06-17,0:13:10,
12,"제주도 꿀잼 코스 공유해드려요💚 [엠버퓨어힐, 스누피가든, 액티브파크, 런던베이글 등]",https://www.youtube.com/watch?v=fjtFwvBxkFQ,202094,2023-06-14,0:17:05,
13,E와 I의 극명한 여행 텐션 차이😅 [부산 여행 브이로그],https://www.youtube.com/watch?v=hKTA_onfrys,286080,2023-06-10,0:19:55,
14,"아이유, 이종석, 킴 카다시안 등 셀럽들이 사랑하는 아만 리조트 다녀왔어요🩵",https://www.youtube.com/watch?v=ytfgwPumi58,235756,2023-06-05,0:17:54,
15,공주들아~👑 블링블링 홈파티에 초대한다!✨,https://www.youtube.com/watch?v=vycmAJj8OH0,208424,2023-05-31,0:12:33,
16,반얀트리에서 골프도하고 테니스도하고 수영도하고 ⛳️🎾🏊🏻‍♀️,https://www.youtube.com/watch?v=4Vw5gg3FBXY,319032,2023-05-22,0:17:48,
17,우리 앞엔 새로운 날들로 가득해🎵,https://www.youtube.com/watch?v=nogiw5568Xo,299397,2023-05-17,0:15:28,
18,도쿄 맛집 오마카세 스위트룸 정복💕,https://www.youtube.com/watch?v=pWzJvaI20aU,570418,2023-05-15,0:22:03,
19,🔥마라맛 연애상담🔥,https://www.youtube.com/watch?v=x9_14bNI0I0,1709767,2023-05-06,0:20:01,
20,"밖순이 브이로그 [오마카세, 호캉스, 에프터눈티, 전시회]",https://www.youtube.com/watch?v=o8_CK79p5z4,335477,2023-04-20,0:18:46,
21,외계공주옷 입어보기 + 친구들이 해준 파티 + 한우오마카세 + 반얀트리 프라이빗바✨,https://www.youtube.com/watch?v=VoC30FeaFAQ,361594,2023-04-10,0:18:43,
22,다시 돌아온 일산 또또또간집 2탄✨,https://www.youtube.com/watch?v=fab2Ev2fp-c,627502,2023-04-08,0:23:12,
23,여의도 호캉스 & 더 현대 서울 쇼핑하울💋,https://www.youtube.com/watch?v=M_zJiF_fDHI,584140,2023-03-25,0:22:50,
24,예쁜 옷 잔뜩 보여드릴게요💖,https://www.youtube.com/watch?v=tKMTTf5EymE,454714,2023-03-13,0:18:41,
25,까시 아옳이 절대살쪄!!!! 일산 또또또간집 푼다,https://www.youtube.com/watch?v=lf-iqAYLAgY,1233331,2023-03-04,0:23:25,
26,2023년 파이팅....!,https://www.youtube.com/watch?v=vxObgO-yrBc,1241117,2023-02-02,0:21:43,
27,그동안 하지 못했던 이야기.. 이제 말씀드려요,https://www.youtube.com/watch?v=NRQU1vZ9uQ0,6453045,2023-01-11,0:09:44,
28,아옳이의 본집소개 🏡 💖 + 공주 프렌치 가구쇼핑,https://www.youtube.com/watch?v=uNKI8dI9Zi0,1983223,2022-12-23,0:25:14,
29,루이비통에서 점심 & 샤넬에서 저녁먹고 쇼핑 하울💝,https://www.youtube.com/watch?v=KXPdglkEDr8,644485,2022-12-13,0:14:58,
