,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,학교 다니면서 일주일동안 입은 것들🧦 다들 개강 초반엔 차려입고 다니는 거 아닌쥐ㅋ,https://www.youtube.com/watch?v=U9c_k6OojDE,52964,2023-09-28,0:44:47,
1,"가성비, 활용도 대박👍🏻여기저기 다 잘 어울리는 민소매 기본템 추천✨(feat.속옷 꿀팁까지)",https://www.youtube.com/watch?v=trjv7ViLEEE,28680,2023-09-19,0:16:29,
2,대학생의 하루 : 4학년 막학기 개강📖 드디어 기나긴 대학생활의 끝이 보인다..?,https://www.youtube.com/watch?v=cf6bHi6fBks,101335,2023-09-12,0:20:20,
3,🇮🇩 워홀 떠난 13년지기 친구와 1년만에 발리에서 재회..! 발리에서 보낸 천국같던 7일🌴,https://www.youtube.com/watch?v=8f_oiN9e-ZY,69037,2023-09-02,0:40:51,
4,요즘 진짜 잘 들고 다니는 휘뚜루마뚜루 보부상 버전 왓츠 인 마이 백💖,https://www.youtube.com/watch?v=Q504-10Sg0U,58870,2023-08-30,0:17:41,
5,🇪🇸 낭만의 도시 니스부터 꿈의 섬 마요르카를 거쳐 바르셀로나에서 보낸 2주📔 교환학생 진짜 끝!,https://www.youtube.com/watch?v=lGlxKiiuNI4,46763,2023-08-25,0:59:14,
6,삶의 질 5000배 상승하는 찐 데일리템🍯,https://www.youtube.com/watch?v=rccQWH1X1eI,100312,2023-08-10,0:21:33,
7,🇬🇧진짜 인생여행지 바뀌나 싶었던 런던에서의 일주일 그리고 도라버린 파리 당일치기까지..🥖(feat.기차 놓친 썰ㅋ),https://www.youtube.com/watch?v=8DgdHpONYOE,77505,2023-08-02,0:43:43,
8,"🇰🇷귀국 후 한국에서 쫌쫌따리 보낸 일상 모음집🍡한강엽떡최고.. 그동안 못먹었던 음식들 싹쓸이, 소속사파티, 행사, 에바선크림 리뉴얼 런칭, 친구들 만나기",https://www.youtube.com/watch?v=cdHEU9sUoD8,73186,2023-07-26,0:21:30,
9,"물욕 폭발해버린 요즘.. 최근에 산 것들 언박싱 하울🛒여름신발, 데일리백, 패션아이템까지💗",https://www.youtube.com/watch?v=6E6kLru88sY,60030,2023-07-17,0:18:58,
