,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,디올 스니커즈 리뷰,https://www.youtube.com/watch?v=fuFBUudugH0,9799,2023-09-20,0:12:38,
1,빈티지 미국 티셔츠 특징들,https://www.youtube.com/watch?v=Cwt5EgWUmuQ,13002,2023-09-14,0:28:20,
2,복각ma-1 과 패션ma-1 차이점,https://www.youtube.com/watch?v=n2TLMc84wMU,18170,2023-09-06,0:28:20,
3,에센스룸 영상에 따라서 스타일이 바뀝니다..,https://www.youtube.com/watch?v=735RtALw1L0,13007,2023-08-31,0:17:45,
4,born x raised 치카노 L.A문화,https://www.youtube.com/watch?v=MCC5T0CV4ME,15789,2023-08-09,0:09:22,
5,워크팬츠에 대한 전반적인 이야기,https://www.youtube.com/watch?v=cstz5C10GHE,20299,2023-08-01,0:22:44,
6,네스트 스토어 편집샵 12년차 김성훈 인터뷰,https://www.youtube.com/watch?v=lWalkN6_9z0,15746,2023-07-23,1:02:53,
7,요즘 트렌드?(하이엔드 와 빈티지),https://www.youtube.com/watch?v=tToE-u6Gh1E,22985,2023-07-20,0:24:30,
8,"한영수 인터뷰 (thelastats,sandpiper)",https://www.youtube.com/watch?v=vtiKKrCRrT4,21451,2023-07-12,0:47:42,
9,고원탁 인터뷰,https://www.youtube.com/watch?v=yelsUuyZWGg,26411,2023-07-11,0:51:10,
10,김상호(aka김운) 인터뷰,https://www.youtube.com/watch?v=yIciapsNln4,32703,2023-07-08,1:04:17,
11,인스타그램 덕분에 쉬워진 세상 (인터뷰:개폐인파피),https://www.youtube.com/watch?v=I98R3C71waI,22249,2023-07-07,0:46:22,
12,냐보의 플레이리스트_06,https://www.youtube.com/watch?v=EY8MIXeZlL0,13618,2023-07-01,0:37:55,
13,동네 조그마한 옷가게 (@tillate.official),https://www.youtube.com/watch?v=Xp2lw6i3p0E,20295,2023-06-15,0:21:07,
14,비주류 퓨마 리뷰 (@alsso_alsso),https://www.youtube.com/watch?v=0g7-F0kzsYw,17729,2023-06-14,0:38:50,
15,화려하진 않지만 묵묵하게.(Re;Boot shoe repair&care),https://www.youtube.com/watch?v=MBxTOPltZZw,13635,2023-06-08,0:20:40,
16,1948 EL PANHEAD (harleydavidson),https://www.youtube.com/watch?v=HT5vrJLCB-Q,18281,2023-06-03,0:17:18,
17,yangyang run! (rollingloud),https://www.youtube.com/watch?v=jNpRJh_lCxE,9702,2023-05-29,0:08:44,
18,단기통 최고의 바이크 SR400 (@bigbrotherstone),https://www.youtube.com/watch?v=g4CwFt7E1-o,16868,2023-05-27,0:12:38,
19,빈티지 가구에 대한 깊은 이야기 (빈트갤러리),https://www.youtube.com/watch?v=B6TNjrJaHH4,19217,2023-05-18,0:58:38,
20,빈티지 티셔츠 팝업행사(@junwoosample),https://www.youtube.com/watch?v=rSem-p__hjA,29130,2023-05-08,0:28:06,
21,Oldbike diary,https://www.youtube.com/watch?v=sMrdTNNhUOc,13502,2023-05-01,0:03:26,
22,새 오토바이 타고 밤바리(85's Harley davidson FXRT),https://www.youtube.com/watch?v=04zy5w2TfLU,21182,2023-04-21,0:14:30,
23,오사카 단체관광 둘째날,https://www.youtube.com/watch?v=8plzjgkwDAk,23697,2023-04-15,0:21:44,
24,오사카 단체관광,https://www.youtube.com/watch?v=hly7dbSCy5M,29833,2023-04-12,0:20:00,
25,올드 바이크 정비사 (Masahiro Hayashi),https://www.youtube.com/watch?v=3JK29bwcE2g,21053,2023-04-09,0:13:20,
26,라멘의 기준. (멘야준),https://www.youtube.com/watch?v=simJd3cDYS0,18429,2023-03-31,0:20:50,
27,논란 많은 디렉터들 근황,https://www.youtube.com/watch?v=I8ObFzEVL-4,28982,2023-03-22,0:17:41,
28,K-뮤직비디오를 보며 느끼는 점,https://www.youtube.com/watch?v=oEcyGzUPvDY,25005,2023-03-16,0:16:12,
29,라스탯츠 매장 오픈,https://www.youtube.com/watch?v=qpKiyRroomk,35668,2023-03-15,0:13:34,
30,아넬은 좀 지겹죠? (라시트포 레가토),https://www.youtube.com/watch?v=Gz9J1dt1SGM,24215,2023-03-08,0:11:21,
31,아디다스 스탠스미스,https://www.youtube.com/watch?v=dUDAbIwxqWQ,50497,2023-03-05,0:26:32,
32,이런 사람은 소개  당해도 싸다..(퀄리티 퍼포먼스 김수민),https://www.youtube.com/watch?v=gAXFFmyldmw,34588,2023-02-28,0:40:19,
33,고기한 영수,https://www.youtube.com/watch?v=q8saIF3RvBU,22171,2023-02-22,0:13:44,
34,빈티지 한 보따리,https://www.youtube.com/watch?v=No3knGp0lak,22421,2023-02-18,0:08:16,
35,I got no time to lose,https://www.youtube.com/watch?v=2g-D8zdq91s,22677,2023-02-15,0:14:14,
36,지나가는 미국사람 데리고 룩북 찍기,https://www.youtube.com/watch?v=g6R9LAbilGk,29332,2023-02-12,0:26:35,
37,간만에 LA 놀러옴,https://www.youtube.com/watch?v=iSwptTum_nw,21971,2023-02-10,0:23:28,
38,WIND AND SAND (묵호항 B급대게),https://www.youtube.com/watch?v=nspwYVToWco,20305,2023-01-25,0:17:31,
39,한국 스트릿,https://www.youtube.com/watch?v=K1AX284YU_Y,35813,2023-01-22,0:38:26,
40,오사카.. 쇼핑할만한가요?,https://www.youtube.com/watch?v=6Jar7f97AuA,28034,2023-01-07,0:14:44,
41,오사카 여행 둘째날 (오렌지스트릿),https://www.youtube.com/watch?v=XYdTHKH2LA0,26762,2022-12-31,0:23:23,
42,오사카 여행 첫째날(ft.고원탁),https://www.youtube.com/watch?v=upVkH6h69Bs,25738,2022-12-25,0:24:00,
43,싸우는 중은 아닙니다만..(ft.갈비살),https://www.youtube.com/watch?v=lQ7K1MpHqi8,32781,2022-12-17,0:14:57,
44,깊이감 없는 사람 특: 중립 기어,https://www.youtube.com/watch?v=l63KNSleYHg,28081,2022-12-14,0:16:08,
45,이겨내라 고원탁...,https://www.youtube.com/watch?v=nVMrFYDgCMQ,15076,2022-12-11,0:13:47,
46,냐보의 플레이리스트_05(feat.씨밥),https://www.youtube.com/watch?v=oVjQyr7ozOE,20173,2022-12-07,0:31:56,
47,진미평양냉면(어복쟁반),https://www.youtube.com/watch?v=h5bZVTd-HQw,20320,2022-12-05,0:17:04,
48,문화에 대한 이해,https://www.youtube.com/watch?v=rNaL4UKDuAE,20916,2022-12-03,0:13:46,
49,덕소 숯불고기,https://www.youtube.com/watch?v=REj0b03TgxQ,19598,2022-11-27,0:22:46,
50,vintage and destroy,https://www.youtube.com/watch?v=020iGX7Go10,27021,2022-11-23,0:24:10,
51,SAND FLAT U-TURN (CAMEL RACE),https://www.youtube.com/watch?v=kwwwvbTNh1M,15209,2022-11-21,0:27:19,
52,오래된 새 카메라 구입,https://www.youtube.com/watch?v=CnM8roltFBI,21206,2022-11-14,0:26:12,
53,멀미하는 쌥쌥이들,https://www.youtube.com/watch?v=8v98bCtHows,20018,2022-11-10,0:18:11,
54,가위바위보쌈,https://www.youtube.com/watch?v=ppXlisbnJ7Q,17704,2022-11-04,0:13:19,
55,ridehard custom bike show,https://www.youtube.com/watch?v=5zxYyWzslSM,20005,2022-11-01,0:11:50,
56,인터뷰 하러 갔다가 취조 하고 옴 (올드타운타투 jax),https://www.youtube.com/watch?v=3Bo_KOI1PNQ,26035,2022-10-31,1:32:53,
57,loud.,https://www.youtube.com/watch?v=AfsBrE9GgbE,12648,2022-10-30,0:02:59,
58,빈티지 헬멧만 천만원째,https://www.youtube.com/watch?v=7WZU0B-QNv8,25670,2022-10-29,0:20:52,
59,줄리아나스 피자,https://www.youtube.com/watch?v=dBrbil6UyIo,19642,2022-10-25,0:23:58,
60,쟈니덤플링,https://www.youtube.com/watch?v=mluPVlz56Dc,21754,2022-10-22,0:14:44,
61,시내 나온김에.. (스컬프 스토어 한남점),https://www.youtube.com/watch?v=o5bRIxVVld8,46022,2022-10-20,0:13:49,
62,날씨 추워지기 전에,https://www.youtube.com/watch?v=7XZIc1DdMYY,26055,2022-10-19,0:17:54,
63,깔삼한 명품들  (therealreal/thewebster),https://www.youtube.com/watch?v=S9XEAgXQu1o,22162,2022-10-13,0:09:21,
64,에이셉라키 단골 빈티지샵 (metropolis)/ 찐 오리지널 아카이브 샵(stockvintage nyc),https://www.youtube.com/watch?v=x9Pu6iBUlI0,29505,2022-10-12,0:12:32,
65,AiméLeonDore/kith (뉴욕MULBERRYSTREET),https://www.youtube.com/watch?v=4wRio7rUyv0,14906,2022-10-09,0:04:38,
66,관종스럽지만 베이프가 살게 제일많아,https://www.youtube.com/watch?v=rhpAr-20AyM,26297,2022-10-04,0:12:28,
67,origins nyc / 뉴욕 맛집소개,https://www.youtube.com/watch?v=mGhbPGi4Y50,13528,2022-10-02,0:11:33,
68,"RAGGEDY THREADS BROOKLYN, NY 매장",https://www.youtube.com/watch?v=PBcWl23UPLU,18520,2022-09-25,0:14:05,
69,grand street local 매장 (브루클린 뉴욕),https://www.youtube.com/watch?v=U4A66ipD0VI,20904,2022-09-21,0:12:07,
70,"냐보의 플레이리스트_03 (70's,80's soulfunk)",https://www.youtube.com/watch?v=GbjJdIyzmbY,32211,2022-09-19,0:27:09,
71,뉴욕 도착!,https://www.youtube.com/watch?v=ErQza7XVzo8,16548,2022-09-17,0:13:37,
72,rimowa(리모와 매장),https://www.youtube.com/watch?v=v0p6MVPn05Y,20942,2022-09-15,0:09:39,
73,"LA 리셀샵 투어 (grails,banned,juice)",https://www.youtube.com/watch?v=TH0jnzw9XkU,30838,2022-09-10,0:17:34,
74,냐보의 플레이리스트.02,https://www.youtube.com/watch?v=6D8wX5De9kw,15468,2022-09-05,0:33:19,
75,2nd STREET/BAIT/BAPE/MAXFIELD 매장,https://www.youtube.com/watch?v=Rj6-_nks9XY,25820,2022-09-05,0:15:28,
76,브랜딩은 무엇인가,https://www.youtube.com/watch?v=OE1aYvBk_3s,29193,2022-09-02,0:18:04,
77,El Coyote (멕시칸 타코),https://www.youtube.com/watch?v=kYhfHXt1108,16745,2022-08-31,0:19:55,
78,BRAT STYLE/H.Lorenzo Archive,https://www.youtube.com/watch?v=coTu2_4vH6s,19965,2022-08-29,0:16:01,
79,nick fouquet/In-N-Out Burger,https://www.youtube.com/watch?v=0xWoOwfQXTk,25023,2022-08-24,0:21:52,
80,Skatepark,https://www.youtube.com/watch?v=ClaWA1rBXaY,16609,2022-08-20,0:06:41,
81,반스 x 와코마리아  (광고아님),https://www.youtube.com/watch?v=u12RUBGNEcs,20241,2022-08-18,0:08:43,
82,RIF.LA/DOVERSTREETMARKET/KOOLS 매장,https://www.youtube.com/watch?v=1v25HZ9e8UI,29446,2022-08-17,0:27:37,
83,tried & true 매장 (빈티지스투시),https://www.youtube.com/watch?v=cxY5ahvIuv4,35534,2022-08-13,0:15:22,
84,mister freedom 매장,https://www.youtube.com/watch?v=qD_0opOxeq0,23340,2022-08-09,0:12:00,
85,h.lorenzo 매장,https://www.youtube.com/watch?v=vqW3iDwBwhc,27860,2022-08-05,0:20:29,
86,visvim/selfedge 매장,https://www.youtube.com/watch?v=yb0t-c0cb80,41428,2022-08-02,0:24:58,
87,Raggedy Threads / bode 매장,https://www.youtube.com/watch?v=oTtiXNhkDxs,30802,2022-07-27,0:22:44,
88,madeworn/kith 매장,https://www.youtube.com/watch?v=HntDmasjylM,31041,2022-07-23,0:15:09,
89,LA.페어팩스 관광객,https://www.youtube.com/watch?v=BNvIBSr0HiA,30529,2022-07-21,0:23:59,
90,미국 여행 첫날밤..,https://www.youtube.com/watch?v=-gfV6QMjMjc,31636,2022-07-16,0:23:23,
91,냐보의 플레이리스트.01,https://www.youtube.com/watch?v=xdWuo0rFEmk,46124,2022-06-21,0:24:26,
92,라이브 방송 편집본,https://www.youtube.com/watch?v=baKj5ascO3c,51326,2022-06-18,1:49:58,
93,초심을 지키지 말아줘,https://www.youtube.com/watch?v=RTN_eAVKxok,44650,2022-05-31,0:17:23,
94,고로스 그리고...크롬하츠,https://www.youtube.com/watch?v=gVDdH-vym90,54884,2022-05-23,0:16:16,
95,매장 이전 오픈,https://www.youtube.com/watch?v=pjkmDWo5cNs,60993,2022-05-11,0:19:15,
96,코르테즈,https://www.youtube.com/watch?v=3NTABXMoKFc,46649,2022-05-03,0:16:45,
97,오마카세,https://www.youtube.com/watch?v=xif87YLY7r0,28553,2022-05-02,0:19:14,
98,동네 맛집 삼겹살을 찾았다.,https://www.youtube.com/watch?v=qGFYeoLNwH8,34275,2022-04-27,0:18:42,
99,포르쉐 이코넨 서울,https://www.youtube.com/watch?v=BYRq1-pvNXI,22329,2022-04-21,0:14:48,
100,빈티지 헬멧과 오토바이,https://www.youtube.com/watch?v=xbjqYRUeR9I,27239,2022-04-18,0:19:37,
101,가품 처형식,https://www.youtube.com/watch?v=hMaJM6QcGYI,47483,2022-03-31,0:18:44,
102,맞춤 슈트,https://www.youtube.com/watch?v=MJM60p8C8xA,35270,2022-03-25,0:20:55,
103,라이더자켓,https://www.youtube.com/watch?v=hBtOiiwIGdU,63949,2022-03-18,0:14:30,
104,질문 있습니다.,https://www.youtube.com/watch?v=NHUgMR9ODwI,43789,2022-03-14,0:48:17,
105,"브랜드소개 :세인트미카엘,데님티어스,메이드원,r13",https://www.youtube.com/watch?v=3_RhtP0rIEI,29805,2022-03-10,0:28:21,
106,일본 엔지니어 부츠,https://www.youtube.com/watch?v=DYP3brLB7ds,32646,2022-02-27,0:18:44,
107,돌아온 미아리 야슬이,https://www.youtube.com/watch?v=r2eP8RiLb0M,21880,2022-02-24,0:14:09,
108,역시 supreme (슈프림22ss룩북),https://www.youtube.com/watch?v=f_ZjselbfpQ,28810,2022-02-22,0:23:33,
109,답답한 양반들,https://www.youtube.com/watch?v=UPo5VX1IoYg,30790,2022-02-21,0:11:10,
110,코도반 짝,https://www.youtube.com/watch?v=LeLBJ_6j8TA,44027,2022-02-15,0:17:49,
111,단순한데 맛있는 집 (고추장찌개),https://www.youtube.com/watch?v=jM6a2TxtMW0,27751,2022-02-10,0:13:47,
112,굿즈 & 브랜드,https://www.youtube.com/watch?v=MLedaqaLb1s,25732,2022-02-07,0:08:09,
113,돈 쓰고 욕먹기 ( 북경오리 마오),https://www.youtube.com/watch?v=UUH1MXl6qAA,24955,2022-02-06,0:16:09,
