,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,저의 명품 브랜드 컨실러 추천템과 후회템!!! 바르면서 보여드립니다,https://www.youtube.com/watch?v=M24l67i11EU,3817,2023-09-21,0:12:06,
1,"신상 중에 마음에 든 제품들 추천🔥 바비 브라운 크림 파데, 발렌티노 고-쿠션 글로우, 구찌 매트 파운데이션, 겔랑 빠뤼르 골드 매트 컴팩트 파운데이션",https://www.youtube.com/watch?v=hGMnw9Ja6j0,6994,2023-09-15,0:07:56,
2,NEW 아르마니 뷰티 립 파워 마뜨 발색 - 인생 레드 립스틱 추천 ♥️♥️♥️♥️,https://www.youtube.com/watch?v=jphEkc9XTjU,5647,2023-09-07,0:06:27,
3,✨ 요즘 푹 빠져있는 진주빛 피부와 채도빠진 오묘한 브라운 찐 데일리 메이크업 / 샤넬 수블리마지 르 뗑 크림 파운데이션 조합 ✨,https://www.youtube.com/watch?v=5acnT-6bMng,16874,2023-09-01,0:26:08,
4,퀄리티 끝판왕 샹테카이.. 💞 신상 제품 보여드립니다!! 진짜 고퀄리티 블러셔 전색상 발색과 함께 요즘 트렌드인 올드머니룩에도 찰떡!!!!,https://www.youtube.com/watch?v=Nn5JSd-SfgE,8740,2023-08-26,0:10:03,
5,🔥 프라다 뷰티...?? 샤넬 가을 컬렉션!! 브랜드 별 신상제품 소식을 모아왔어요 🔥 /2023FW뷰티,https://www.youtube.com/watch?v=-XBtM2WcmWI,9393,2023-08-23,0:10:06,
6,"내돈내산 8월 추천템 (스킨케어 추천, 디올 로즈튤 vs 샤넬 텐더, 고급 파우더 추천)",https://www.youtube.com/watch?v=ZMCe861umD8,7373,2023-08-21,0:04:40,
7,"진짜 영업하고 싶은 샤넬 립 조합...  💘 소피아리치님 결혼식 립스틱??? 최근 구매한 광 베이스, 품절 대란 나스 블러셔와 샤넬 재구매템까지!!! / 내돈내산 💸",https://www.youtube.com/watch?v=pXc_xASNytk,22246,2023-08-10,0:18:20,
8,[최대 48% 마켓] 제가 30대 넘고 5년동안 이너뷰티 제품 섭취 했는데 최근 정착한 마시는 앰플.. 심지어 맛있음 🍑 / 비비랩 글로시 콜라겐 앰플,https://www.youtube.com/watch?v=r37nxl8mKzE,2290,2023-08-08,0:08:12,
9,고급진 피부표현 가능..  🔥🔥 여러분의 인생파우더 만나보세요 💘💘💘 l 럭셔리 브랜드 파우더 23종 추천 l 건성 추천 촉촉파우더 부터 모공박멸 파우더까지,https://www.youtube.com/watch?v=f-tbOLfaYmg,22912,2023-08-07,0:17:26,
10,디올 튀튀 블러셔 대신 로즈 카프리스? VS 판타지드 샤넬과 비교,https://www.youtube.com/watch?v=7eh99db5lyE,18011,2023-07-31,0:10:19,
11,"디올 품절템 튀튀 블러셔와 로즈튤...💞💞 결국 로즈카프리스도 삼... 겟레디윗미 (다음 마켓 스포!!! 최근 했던 시술 후기, 추천 파우더, 로라메르시에 파운데이션)",https://www.youtube.com/watch?v=jcWuQwcOcFo,25264,2023-07-30,0:25:58,
12,나스 전 직원이 아직도 구매해서 사용하는 제품 11가지 겟레디윗미,https://www.youtube.com/watch?v=YJ0MbG290gU,24770,2023-07-21,0:18:38,
13,"명품 중 명품..🏆 비싼데도 인기많은 초고가 쿠션 3종 내돈내산 리뷰 / 라메르, 샹테카이, 끌레드뽀",https://www.youtube.com/watch?v=X1anUL9P0JM,12829,2023-07-17,0:08:34,
14,더워보이지 않게 채도 다 빼고 데일리 메이크업 💞💞💞 샤넬 화이트오팔 발라보기! 고급스런 블러셔...,https://www.youtube.com/watch?v=ARCMy7ASXjI,11876,2023-07-10,0:16:27,
15,이번 여름 파데 뭐 쓸거야? 고가 브랜드별 지속력 파운데이션 비교! 여러분이 써보신 최고의 지속력 파데는?! (이벤트 당첨자 발표💗),https://www.youtube.com/watch?v=BwY-wRAC6Pk,38478,2023-07-04,0:12:48,
16,"🔥 신상 제품 예쁜애들만 골라왔어요 🔥 로라메르시에, 샹테카이, 라메르, 아워글래스, 발렌티노 뷰티!",https://www.youtube.com/watch?v=MEpdnhGqTh8,16471,2023-06-28,0:21:18,
17,NEW 샤넬 레 베쥬 쿠션에 대한 나의 생각.. 호불호 갈리는 이유는? 겟레디윗미 (저의 새로운 최애 립스틱 공개 💞💞💞),https://www.youtube.com/watch?v=gF-3gXiMveY,17810,2023-06-21,0:17:50,
18,어떤 브랜드가 크림 블러셔를 잘 할까? 제가 애정하는 크림 블러셔 9개 추천 💗,https://www.youtube.com/watch?v=tKecZ5W7lnI,24386,2023-06-15,0:13:49,
19,프라이머와 선크림! 이 순서로 바르세요!!!!!!,https://www.youtube.com/watch?v=MMeu_YRr0IQ,17175,2023-06-12,0:08:38,
20,🏆브랜드 쿠션 다 써봤지만 저의 1위 쿠션은 샹테카이🏆,https://www.youtube.com/watch?v=HiJLXXPU9tc,16923,2023-06-07,0:09:05,
21,샤넬 신상 파데 🔥 워터 틴트랑 뭐가 달라진거지? 레 베쥬 뚜쉬 드 뗑 파운데이션 알아보기!,https://www.youtube.com/watch?v=S2ti0zQmBkg,14923,2023-06-04,0:07:11,
22,스킨케어 추천 🏆제가 10통째 쓴 세럼과 요즘 사랑하는 신상 앰플!! 케어놀로지 4차 마켓 오픈!!!!!! [이벤트💙],https://www.youtube.com/watch?v=gUcz59d4nwI,6533,2023-06-01,0:07:42,
23,여름추천🔥 얇은데 피부표현은 예쁜 파운데이션 TOP4 / 내돈내산,https://www.youtube.com/watch?v=umm2yWkxrC8,22708,2023-05-29,0:07:05,
24,화장 뜰때 꿀팁 4가지 (뷰티 브랜드에서 일하며 배운 팁),https://www.youtube.com/watch?v=nVRMq4d3lnA,12220,2023-05-23,0:11:04,
25,지금 내가 제일 좋아하는 샤넬 TOP3 (=꿀피부 만들어줌 ✨),https://www.youtube.com/watch?v=grRylfXILrU,15368,2023-05-16,0:07:17,
26,내돈내산 샤넬 립스틱 19개 딱 예쁜 애들만 뽑아봄.,https://www.youtube.com/watch?v=GSLmZcX_5mk,31897,2023-05-08,0:12:25,
27,구찌뷰티...고급미 그 자체.. 팔레트 퀄리티 진짜 너무 좋습니다!! 💞 구찌 뷰티 추천템 TOP3,https://www.youtube.com/watch?v=VpPCg8cUQNE,11990,2023-05-04,0:13:11,
28,"에르메스 신상 하이라이터, 구찌 팔레트 스포, 저의 데일리 립 추천 그리고 진짜 예쁜 베이지톤 블러셔 찾음!!!!",https://www.youtube.com/watch?v=T_JgZCl07C0,7609,2023-05-03,0:08:28,
29,💗💗최애 쿠션 등극??!!! 진짜 맑은 쿠션 찾음!!! 4월 추천템 & 새로산 제품으로 겟레디윗미💗💗  (feat. 샹테카이 쿠션),https://www.youtube.com/watch?v=O1FPCcMQCwE,27780,2023-04-24,0:32:39,
30,[전 색상 발색] 샤넬의 립 앤 치크 밤을 샀는데....,https://www.youtube.com/watch?v=GAH4g--jAFk,45407,2023-04-18,0:15:41,
31,🏆쿠션 색상 고민이시죠? 브랜드 별 색상 비교해봅시다!!!,https://www.youtube.com/watch?v=GJzq59-nuT8,24124,2023-04-10,0:08:09,
32,코덕15년차..꿀템🍯 파우치 공개 🔥 + 저의 수정화장법 보여드립니다!!!,https://www.youtube.com/watch?v=lFV74t5s0mY,20773,2023-04-06,0:14:14,
33,구독자님들이 뽑으신 🏆 예쁜 색상 1위 파운데이션 🏆 아르마니 파워패브릭 / 네오누드 멜팅 컬러밤 / 아이틴트 / 립 마에스트로 사틴,https://www.youtube.com/watch?v=SsmjghfWa8I,23562,2023-04-02,0:10:29,
34,메이크업포에버의 NEW HD 스킨 매트 파우더 파운데이션 - 진짜 모공이 잘 메워질까요? + 브랜드에서 협찬받은 새 제품들 테스트,https://www.youtube.com/watch?v=av04xdRvEUA,22620,2023-03-29,0:10:03,
35,파운데이션 색상 고민 많으시죠? 화사해서 유명한 색상들 비교해봐요! /밝은 파데 추천!,https://www.youtube.com/watch?v=L-SvSDeWVg4,23872,2023-03-21,0:10:02,
36,구찌 전 제품♥️ 구찌뷰티에서 선물을 보내주셨어요 😭😭 성덕... 된김에 구찌 추천템 🔥 립발색 보여드립니다!!!!!,https://www.youtube.com/watch?v=nqtVPQZ587s,16239,2023-03-20,0:14:26,
37,[원브랜드] 시슬리 쿠션 VS  파운데이션 반반 비교! 건성 쿠션 추천!!! 🔥,https://www.youtube.com/watch?v=M1pX7bVqLNo,11739,2023-03-17,0:15:09,
38,🏆 15년 동안 파운데이션 모은 저... 제가 추천했던 파데들 정리해드릴게요! 🏆,https://www.youtube.com/watch?v=tgqRThLUYlc,50543,2023-03-13,0:13:44,
