,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,에어브러쉬 없이 에어브러쉬 효과내는 법🩵 메탈젤 네일아트/ 크롬하츠네일/ 셀프네일/ 젤네일아트,https://www.youtube.com/watch?v=mfNVkq27J0s,2505,2023-06-17,0:12:53,
1,가장 쉬운 손톱연장방법!! 알리익스프레스 네일팁으로 양손 팁연장 꿀팁✨ 셀프네일,https://www.youtube.com/watch?v=3cwjUqGTWDU,3654,2023-06-17,0:09:23,
2,#셀프네일 폴리젤 손톱연장🤍,https://www.youtube.com/watch?v=K-FsrHFYPbc,2111,2023-02-03,0:01:00,
3,[ENG] 겨울에 찰떡 아가타 체크 눈꽃 네일아트/ 은은한 홀로그램 알리익스프레스 글리터/ 셀프네일,https://www.youtube.com/watch?v=24QRcfHHEBg,4488,2022-12-18,0:17:46,
4,[SUB] 밴쿠버 다이소 네일재료 쇼핑/ 네일 글리터 정리함/ 필오프베이스젤 유지력 높이는 방법/ 알리익스프레스 폴리젤 연장 튜토리얼/ 네일드릴비트 사용법,https://www.youtube.com/watch?v=sLDBeVPtZPE,3156,2022-12-18,0:18:14,
5,[ENG/SUB] 🇨🇦EMS로 받은 재료 언박싱/ 퀼팅네일아트/ 리본파츠 붙이는법/ 손톱연장/ 셀프네일 Nails at Home,https://www.youtube.com/watch?v=ZQTdLP61Ct4,16690,2022-11-19,0:31:08,
6,[ENG/SUB] 알리익스프레스 새 드릴 언박싱🎁 셀프네일/ 절대 안떨어지는 풀스톤네일 하는 방법/ 자석젤 셀프네일,https://www.youtube.com/watch?v=flsTHiD4VHk,10275,2022-10-25,0:17:20,
7,"[ENG/SUB] 알리익스프레스 홀로그램 스티커🪩 이거진짜 반짝임 역대급,,🫢✨할로윈 네일아트🎃🧡 얼음네일 쉽게 하는법!",https://www.youtube.com/watch?v=jD_d5GSmDeI,7949,2022-10-06,0:18:52,
8,[ENG/SUB] 네일 램프&드릴 구매하기전 필수 체크항목!! 피부가 덜타는 핑크빛 네일램프 후기🙌💖 네일 장비 & 유튜버 추천 정보:),https://www.youtube.com/watch?v=ksryei3AGtg,6798,2022-09-17,0:13:31,
9,"[ENG/SUB] 다이소 네일재료로 케어부터 아트까지 28,000원으로 완성!!💸/ 팁연장 셀프네일/ 네일아트 재료추천",https://www.youtube.com/watch?v=M_q7gu6Np9g,15436,2022-08-30,0:17:42,
10,[ENG/SUB] 아크릴연장 연장이 쉬워지는 추천 제품🖌 셀프네일/ 미러파우더 광 안날때 해결방법 🙌✨,https://www.youtube.com/watch?v=c5BKbZkjDLM,8461,2022-08-18,0:16:11,
11,[셀프네일] 독보적으로 화려한 얼음스톤네일 여름 ver.🧊💖 초초초 쉬운 연장방법 알려드려요!!🙌 네일아트/ 손톱연장,https://www.youtube.com/watch?v=w_Rhqm6VnlQ,10847,2022-07-03,0:18:40,
12,[ENG/SUB] 젤오프랩 붙이고 연장&네일아트❤️+일주일 후 제거하는 모습까지!! 젤오프랩 사용시 주의할점/ 샌딩비트 추천/ 픽시네일/ 셀프네일,https://www.youtube.com/watch?v=ZMJJvQjENTo,37912,2022-05-28,0:28:27,
13,[ENG/SUB] 시크한 더블 프렌치 나비네일🦋 셀프네일/ 두가지 쉐입 연장/ 알리익스프레스 워터데칼 네일아트,https://www.youtube.com/watch?v=hrymgF6v6AQ,21065,2022-04-27,0:14:09,
14,[ENG/SUB] 3D 구름네일아트☁️ 새로운 하프듀얼팁 소개/ 광좋은 탑젤 추천/ 셀프네일/ 젤연장/ 투명한 네일,https://www.youtube.com/watch?v=wMGe6nEE4js,23386,2022-03-28,0:14:00,
15,"이벤트&네일재료 언박싱💖ASMR 스와로브스키(사이즈,컬러비교)/ 아이스젤 푸셔/ 피아니시모 발색&컬러차트/ 엔지아,샤이니 니퍼/ 진비껌젤/ 아크릴젤/ 유즈미 바디젤/ 젤오프랩",https://www.youtube.com/watch?v=ESStqBHacWY,59059,2022-03-07,0:20:53,
16,[ENG/SUB] 화사님 빨대손톱st 기본 젤연장🤍 알리익스프레스 펌핑젤/ C커브 심한 스퀘어 듀얼팁 사용법🙌  새 드릴 소개✨/ 젤오프랩/ 셀프네일,https://www.youtube.com/watch?v=zCNkPZitWGc,494466,2022-02-20,0:21:56,
17,[셀프네일] 자석젤 예쁘게 효과내는 방법!! 원석느낌 마블 네일아트💚브이컷스톤 쉽게 붙이는법/ 네일 쏙오프,https://www.youtube.com/watch?v=jG7WNKok0MY,47113,2022-01-24,0:25:17,
18,[셀프네일] 말린장미 트위드 네일아트/ 빌더젤 폼지연장/ 뉘앙스 네일아트/ 네일 Asmr,https://www.youtube.com/watch?v=pWwClJ6vLOk,82333,2022-01-05,0:23:18,
19,"[셀프네일] 설레는 겨울, 포근한 느낌 눈꽃&니트 네일아트❄️아크릴젤 손톱 연장/ 카일리제너 진주 프렌치 네일",https://www.youtube.com/watch?v=GVe0GjX44iY,145738,2021-12-19,0:23:14,
20,[셀프네일] 풀스톤 얼음네일🧊필오프베이스 대신 이 제품 꼭 써보세요!! 팁연장 한번에 성공하는 방법✨,https://www.youtube.com/watch?v=K0YiJ0YkYv8,56973,2021-12-05,0:16:50,
21,[셀프네일] 똥손도 할 수 있는 그라데이션 네일아트/ 팁연장 입문자를 위한 자세한 설명!!,https://www.youtube.com/watch?v=RR_Ru-u3aQA,11684,2021-08-03,0:14:58,
