,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,저 임신했어요!!👶 남편에게 임밍아웃 서프라이즈! 임신 4주차 vlog,https://www.youtube.com/watch?v=4LW6U1uDOaE,114928,2023-09-28,0:09:13,
1,"발리 무조건 가세요!! VLOG🌴 스미냑쇼핑, 우붓투어, 디올 언박싱📦",https://www.youtube.com/watch?v=W1RJd4510YM,34249,2023-09-25,0:18:32,
2,🔥발리에서 핫하게 놀다 왔어요!! 신상 비치클럽 투어 핫플 다 가보기!!,https://www.youtube.com/watch?v=fBmRh4LIla0,38379,2023-09-16,0:19:21,
3,어떻게 지내냐구요? 너무 바쁘게 지낸답니다🔥 일상 VLOG,https://www.youtube.com/watch?v=_ciBOJTWHUE,55442,2023-08-25,0:22:56,
4,"다이어트를 시작하자마자 실패했다.VLOG 피어싱하는날, 홈 발레핏, 겟레디, 사무실투어",https://www.youtube.com/watch?v=Ghu7I1TjPDI,72624,2023-07-28,0:19:01,
5,"오랜만에 택배뜯기📦 샤넬 & 디올 쇼핑, 미친 얼굴 거상팩, 괄사추천 , 술꾼 꿀템💛",https://www.youtube.com/watch?v=5owffjGN3Q4,74755,2023-06-17,0:17:20,
6,"한달 일상Vlog✨ 열정의 하늘🔥 사무실 이사, 다이어트 오꼬노미야끼, 플리마켓, 주말데이트",https://www.youtube.com/watch?v=ICwByTIX-QY,69624,2023-05-23,0:19:00,
7,"파리 브이로그🇫🇷 진짜 맛있는것만 알차게 먹는 파리먹방!!! / 지베르니, smts, 마리아갈랑 방문기✨",https://www.youtube.com/watch?v=fc1uAfLR6CQ,44264,2023-05-15,0:22:17,
8,독일 브이로그🇩🇪 첫 독일 방문기✨ 유기농 끝판왕 닥터하우쉬카 방문✨ 독일맥주 마시기🍺 +이벤트,https://www.youtube.com/watch?v=F5UtybLqXgU,39082,2023-05-08,0:25:53,
9,일년 기다려야하는 사주보고 왔어요! 소름ㅋㅋ 일상 vlog✨,https://www.youtube.com/watch?v=taevQiJtWYM,86104,2023-04-15,0:12:19,
10,저 드디어 쌍수했어요!! 오랜만의 일상 Vlog,https://www.youtube.com/watch?v=tjYTapZAovE,415672,2023-02-25,0:18:10,
11,"프랑스 Vlog 🇫🇷 맥시멀로 프랑스즐기기✨ 스트라스부르, 파리",https://www.youtube.com/watch?v=-vg0rk2GgQ0,314405,2023-01-08,0:23:12,
12,드디어 찍었어요!! 물결고데기 예쁘게 하는방법💕 요즘하는 메이크업 GRWM!,https://www.youtube.com/watch?v=Dd5lj486yWk,112097,2022-12-17,0:17:40,
13,2박3일 Tokyo🇯🇵 일하러 갔지만 핫플에서 먹기만하는 브이로그🍺,https://www.youtube.com/watch?v=lyr8sDBXnT8,103298,2022-12-12,0:21:16,
14,"프라이빗 투어로 즐기는 스위스 Vlog🇨🇭패러 글라이딩하고 루체른, 베른, 이젤발트, 융프라우 도젼🍾",https://www.youtube.com/watch?v=S_fg1BpbAGM,73617,2022-11-22,0:33:00,
