,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,미쳤.. 인생 속옷 찾았다👙 편하고 디자인까지 예쁜 브라 추천✨ 자연스러운 볼륨 브라 | 편한 운동용 브라 | 부유방&군살 커버,https://www.youtube.com/watch?v=Dbiqq9T6r7I,4754,2023-09-24,0:05:49,
1,[VLOG] 새로운 카메라로 찍은 일상 브이로그📹 9월의 조각조각 일상 모음집 | 집순이 프리랜서의 하루 | 미니 GRWM | 사실상 먹방 브이로그인듯,https://www.youtube.com/watch?v=OYqv-HdanPw,12611,2023-09-17,0:14:57,
2,또..택배왔다🚛 물욕 폭발한 내돈내산 택배언박싱📦 올리브영 재구매템+신상템 하울 | 어쩌다보니 100만원.. | New 유튜브 카메라 | 오늘의집 쇼핑 | 강아지 용품 추천,https://www.youtube.com/watch?v=UEDo-vam2n4,23716,2023-09-16,0:18:02,
3,[유럽여행 EP.1] 인생 두번째 파리 브이로그🇫🇷 11년지기 친구와 떠난 2주 유럽여행👯‍♀️ 최애 파리맛집 추천 | 오랑주리 미술관 | 파리 디즈니랜드,https://www.youtube.com/watch?v=ozR3dokTeFs,16077,2023-09-12,0:27:43,
4,같이 캐리어 짐 싸요🧳 첫 2주 유럽여행✈️ 해외여행 필수템추천 | 스킨케어&메이크업 인생템 | 다이소 꿀템추천 | 소매치기 방지템 | 왓츠인마이캐리어 | Pack with me,https://www.youtube.com/watch?v=8W61x6_DOe8,12338,2023-08-31,0:24:04,
5,택배 왔다🚛 ALL 내돈내산 택배 언박싱📦 지그재그 여름 옷 하울 | 쿠팡 중독자의 쇼핑 | 위시리스트 원피스 구매 | 올리브영 오늘드림 하울,https://www.youtube.com/watch?v=Ig7rbckQdLw,43054,2023-08-20,0:14:22,
6,"[VLOG] 여름 일상 브이로그⛅️ 설레는 서울 맛집 투어 | 연속 데이트 with 동생 | 무더운 여름철, 나만의 립케어+클렌징 루틴 | 인생 첫 하이디라오 | 탕후루ASMR",https://www.youtube.com/watch?v=kiU2tCr2O-Q,20060,2023-08-10,0:14:18,
7,광고❌ 핫한 신상백부터 최애 데일리백까지👜 4만원~20만원대까지 | 대학생&직장인 가방 추천 | 실패없는 여름 데일리백 | 디자이너 브랜드 가방 추천,https://www.youtube.com/watch?v=q6gJI19pmKM,37342,2023-08-01,0:18:03,
8,[VLOG] 여름휴가맞이 강릉 여행 브이로그🏕 먹기 위해 떠난 가족여행👨‍👩‍👧‍👧 1박2일 여행 코스 | 현지인 맛집 추천 | 양양서피비치 | 강릉 애견동반 숙소,https://www.youtube.com/watch?v=80kttdw7f8s,23217,2023-07-19,0:10:51,
9,"여름 패션하울☀️🍉 11가지 내돈내산 여름 아이템들💸 만원대 존예 카고팬츠 발견 | 여름 데일리백 추천 | 힙한st 최애 반팔티 | 무신사, 지그재그, 에이블리, 29cm",https://www.youtube.com/watch?v=zVmiChr4HSQ,26876,2023-07-07,0:17:17,
