,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,쌍수 썰풀면서 ✧ 뮤트 메이크업 하기 🫧 kashiko 더현대 팝업 GRWM,https://www.youtube.com/watch?v=dNyfnV50GuM,5985,2023-08-26,0:11:51,
1,등을 얼굴로 땡기면 주름은 .. 이자녹스로 관리해야지?ㅣ새로운 도전과 바쁜 일상 vlog,https://www.youtube.com/watch?v=C-D7dJzKyC4,2847,2023-08-22,0:17:38,
2,뒷태여신 혹은 ‘등’신 만드는 법 ㅣ바디트러블관리+다이어트vlog,https://www.youtube.com/watch?v=pHd-kHaCG1g,8049,2023-06-24,0:14:37,
3,웜쿨 논란 종결 ..퍼스널 컬러 진단 후기,https://www.youtube.com/watch?v=4D0mvWT-Lww,12085,2023-06-06,0:08:47,
4,요즘 인스타에 많이 뜨는 골격분석🤔근육부자인 내가 들은 충격적인 골격진단 후기,https://www.youtube.com/watch?v=TonRMmysxME,9519,2023-05-27,0:09:11,
5,이효리st 스모키 메이크업🖤여름에도 기초는 탄탄하게❤️‍🔥키노닉스로 관리하자💚💦,https://www.youtube.com/watch?v=B1YYjFSJurc,3255,2023-05-25,0:14:55,
6,대충했는데 예쁘고 난리🤍🖤청순하면서 힙한 데이트 메이크업˚✧₊ 남자친구가 좋아해요! 메이크업 꿀팁 가득 GRWM 💝,https://www.youtube.com/watch?v=bStsLdroBS8,17301,2023-05-13,0:08:48,
7,"피부 성수기로 만들어준🩵찐수분충전템🩵히알루론산 에센스 추천, 속건조 구원템✧✦",https://www.youtube.com/watch?v=1z4UYxHddGw,3009,2023-05-09,0:05:04,
8,"🩵잔망터지는 남자친구랑 데이트 vlog🩵ㅣ헬스하고 단백질 보충, 홍대 데이트ㅣ커플 vlogㅣ서울데이트",https://www.youtube.com/watch?v=iQghD20ciYI,13169,2023-04-27,0:11:44,
9,ISTP의 계획적인 하루♨️하체하는 날 다이어트 브이로그 💪VLOG,https://www.youtube.com/watch?v=Dq0Ru5SO8UA,9620,2023-04-22,0:13:56,
10,시력 -6인 사람이 렌즈없이 메이크업한다면 .. ㅣNo Contact Lenses Challenge,https://www.youtube.com/watch?v=RhBaNWXoH6g,5363,2023-04-12,0:09:51,
11,집순이도 밖으로 보내는 like ㅁr법의 GRWM ⁺˳✧༚ 뜨거운 봄볕에서♨️ 나를 지켜줄 잇✧템 선스틱🥵💖,https://www.youtube.com/watch?v=_n_MvYHMwiE,8367,2023-04-08,0:09:02,
12,로또 1등 당첨자(예정ㅋ)의 1일 2헬스 + 엉덩이 찢는 하체루틴 🫠헬스 유튜버인가.. 뷰티 유튜버인가..,https://www.youtube.com/watch?v=r7arpxT28HM,8080,2023-03-25,0:11:30,
13,남심저격🔫과즙팡팡🫧러블리 메이크업하고 벚꽃 보러가자🌸💖,https://www.youtube.com/watch?v=uXeOzjFDwHo,605448,2023-03-18,0:11:38,
14,현아님을 뒤잇는 mz대표 뻑킹핫걸♨️현아 커버 메이크업,https://www.youtube.com/watch?v=3FOAY8LtbbQ,4510,2023-03-16,0:03:30,
15,청순 Gir🫧L make🌟up 💖,https://www.youtube.com/watch?v=1sPaloOKhOc,11250,2023-02-20,0:06:10,
16,피부 진정부터 흔적 개선까지 ❤️‍🔥 세럼 하나로 케어 SSAP가능✨ 에스트라 흔적진정세럼 리뷰,https://www.youtube.com/watch?v=ESZiH88je7k,11310,2023-01-31,0:04:48,
17,✧ 피부과 없이 ✧ 여드름 피부 탈출하는 생활습관❕여드름 피부 극복💓,https://www.youtube.com/watch?v=lZFAmfVCfgE,14036,2023-01-31,0:06:44,
18,🙇‍♂️새해 복 많이 받으세요 🙇‍♂️ 새해에는 하체ㅣ생일이였던 새해 창원에서 보내기 💓,https://www.youtube.com/watch?v=kIBWVDfNI1I,4423,2023-01-19,0:04:57,
19,🫧몽실몽실 I'm Cold Makeup ❄️☃️ㅣ 꽃물처럼 물든 겨울 메이크업 with.FEEV,https://www.youtube.com/watch?v=3epaLh9RdGI,13410,2022-12-28,0:12:00,
20,"바디프로필 D-day 💖 폭식증 극복하고 63kg👉56kg ㅣ인바디, 셀프 헤어메이크업, 촬영 끝나고 먹방브이로그",https://www.youtube.com/watch?v=Q54BD8BWGbQ,22932,2022-12-26,0:10:03,
21,"죽음의 하체, 레그프레스 5장 꼽는 헬린😎+또 다른 바디프로필✨ㅣ바프 D-2,1🙌ㅣ브라질리언 왁싱, 태닝ㅣ다이어트 브이로그",https://www.youtube.com/watch?v=ZJM9aQ-NiXo,5535,2022-12-25,0:09:38,
22,점점 커지는 허벅지 감당가능?💪 폭식증 극복 후 셀프바프 준비 D-4 ㅣ 다이어트 브이로그,https://www.youtube.com/watch?v=OzQ7N-BwDO0,7895,2022-12-24,0:10:18,
23,Black Lion Make-up 🎱🖤 l 연말 주인공은 나 ..? ✧ 데일리한(?) 컷크리즈 메이크업 ✧,https://www.youtube.com/watch?v=xm57Ai_dMp8,5015,2022-12-19,0:05:12,
24,태닝하고 섹시핫걸 메이크업❤️‍🔥ㅣ✨NEW✨데일리 메이크업,https://www.youtube.com/watch?v=DKDUBDq6tgk,26390,2022-11-30,0:14:51,
25,서울 최고의 데이트 명소..버터짐... ㅣ일상 브이로그,https://www.youtube.com/watch?v=kto3EaFnq50,6207,2022-11-17,0:10:44,
26,"갱생불가였던 내 머리,,이젠 뉴진스보다 찰랑거려❤️‍🔥 중단발 셀프 스타일링💇‍♀️ ㅣ 헤어에센스 추천",https://www.youtube.com/watch?v=y3zFvXCM6B4,5578,2022-11-14,0:11:28,
27,10만 구독자 기념 Q&A 🙇‍♂️♥️,https://www.youtube.com/watch?v=3PSQ1wmplmg,11040,2022-11-08,0:06:11,
28,나도 시켜줘 뷰티 모델..ㅣ💓 화보 st 메이크업 + 힙한 까치머리💄 글로우 립으로 무드 챙기기 with. BANILA CO,https://www.youtube.com/watch?v=IuW7-7LAeXc,16765,2022-10-22,0:11:16,
29,"극한의 하체충 진유나,, 일주일 하체하면 생기는 일 ㅣ 바디프로필 D-37, 다이어트 브이로그",https://www.youtube.com/watch?v=P7jQzjJYvjM,15814,2022-10-19,0:11:43,
30,"웜톤vs쿨톤 여러분의 선택은⁉️ 데이지크 니트 컬렉션으로 웜쿨 메이크업 다 해보기✨ 색감 맛집이 글리터도 잘 뽑네,,🤤 펄 러버들 모여라 💖",https://www.youtube.com/watch?v=xTos6hYuMyY,112898,2022-09-30,0:09:39,
31,갑 분 코 (갑자기 분위기 코로나),https://www.youtube.com/watch?v=fp8emoWo2E0,7424,2022-09-27,0:03:37,
32,"블랙핑크 핑크베놈 지수 커버 메이크업 ㅣ 가을 웜 분들 필수시청,,🍂💖  l blackpink pinkvenom JISOO cover makeup",https://www.youtube.com/watch?v=9gvrqsqT23I,11757,2022-09-05,0:07:32,
33,"🌿여름에서 가을, 💖간절기 데일리 룩북ㅣ교복 필수템 & 대학생 개강룩ㅣLOOKBOOK",https://www.youtube.com/watch?v=X7zS9uZu_tk,21937,2022-08-26,0:04:36,
34,요즘 핫한🔥 #뉴진스 민지 커버 메이크업 ✨ 모공 완벽커버 파운데이션 추천,https://www.youtube.com/watch?v=MH_5aD1X0yA,48548,2022-08-24,0:13:41,
35,인생 별거 있나요 닭가슴살 뜯어 먹으며 대충 살아요 ㅣ바프 D-40,https://www.youtube.com/watch?v=PONTNDnkDE0,14677,2022-08-16,0:09:44,
