,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,[𝗽𝗶𝗮𝗻𝗼] 마음이 안정되는 파도 소리와  피아노 음악 | 명상 | 불면증 | 편안한 음악,https://www.youtube.com/watch?v=Rm_2zCLlY9o,1145,2023-09-14,8:04:37,
1,[𝐩𝐥𝐚𝐲𝐥𝐢𝐬𝐭] 오롯이 나를 위한 시간에 듣는 피아노 음악(중간광고없음)| 8시간 반복 재생 |책읽을때  | 공부할때 | 집중 | 잠잘때 | 수면유도 | 불면증 |,https://www.youtube.com/watch?v=Gzi-m1M5y6k,945,2023-09-04,8:29:36,
2,[𝐏𝐢𝐚𝐧𝐨] 아리에티의 노래 | 8시간 반복 재생 | 지브리 | Relaxing sleep music | 잠잘때 | 수면유도 | 자장가 | 공부할때 | 불면증 | 집중,https://www.youtube.com/watch?v=SbjkawPin1k,3432,2023-08-21,8:03:54,
3,[24/7] Healing Time : Piano 마음이 편안해야 잠도 푹 잘 수 있어요 | 잠잘때 듣기좋은 음악 | 수면유도 | 꿀잠 | relaxing piano music,https://www.youtube.com/watch?v=vSYFYvmwVWU,1879,2023-08-13,8:11:46,
4,[𝐏𝐢𝐚𝐧𝐨] 최애의 아이 OST - 아이돌 | 8시간 반복 재생 | Relaxing sleep music | 잠잘때 | 수면유도 | 자장가 | 공부할때 | 불면증 | 집중,https://www.youtube.com/watch?v=F6CdzBcYouE,11253,2023-08-06,8:04:07,
5,🎉윰탁스튜디오가 3주년을 맞이했어요🎉 +구독자 이벤트🎁,https://www.youtube.com/watch?v=XRDaFw9NPOI,996,2023-07-31,0:06:58,
6,[윰탁스튜디오]  엘리멘탈 OST-Steal the show  piano | 8시간 반복 재생 | Relaxing sleep music | Healing |수면 | 잠잘때 | 힐링,https://www.youtube.com/watch?v=C0Y37iK4cJk,18275,2023-07-27,8:01:13,
7,잠못드는 오늘🌙 마음을 위로하는 수면음악 | 잔잔한 피아노연주곡 | beautiful piano music for sleep | relaxing music,https://www.youtube.com/watch?v=RLrT4cxS3NU,1571,2023-07-23,8:10:00,
8,[윰탁스튜디오] 변하지 않는 것 - 시간을 달리는 소녀 OST | 8시간 반복 재생 | Relaxing sleep music | Healing |수면 | 잠잘때 | 힐링,https://www.youtube.com/watch?v=h24ABUQfAkw,3648,2023-07-16,8:07:01,
9,[윰탁스튜디오] Healing Time : Piano 잠자기 전에 듣기 좋은 음악 | 명상 힐링 음악 | 잔잔한 피아노연주곡 relaxing piano music,https://www.youtube.com/watch?v=i4-xrbB2j54,1629,2023-07-09,8:07:01,
10,[🎹악보제작] 벼랑위의 포뇨(PONYO ON A CLIFF) - 벼랑 위의 포뇨 OST🧡 | piano cover,https://www.youtube.com/watch?v=vTfDDZ_HaT8,1167,2023-07-06,0:03:58,
11,[윰탁스튜디오] 아이브 (IVE) - I AM | 8시간 반복 재생 | Relaxing sleep music | Healing |수면 | 잠잘때 | 힐링,https://www.youtube.com/watch?v=-4o5ATz4SIg,4584,2023-06-25,8:07:01,
12,[윰탁스튜디오] 젠이츠 테마곡 piano | 귀멸의 칼날 OST | 8시간 반복 재생 | Relaxing sleep music | Healing |수면 | 잠잘때 힐링,https://www.youtube.com/watch?v=bh02XShXWgk,5351,2023-06-15,8:04:20,
13,[윰탁스튜디오] 유우리 - 회전목마 | 거울 속 외딴 성 OST | 8시간 반복 재생 | Relaxing sleep music |Healing |수면 | 잠잘때 힐링,https://www.youtube.com/watch?v=5ssTdmaVC3w,1979,2023-06-11,8:00:55,
14,"[윰탁스튜디오] 오늘 밤, 세계에서 이 사랑이 사라진다 해도 OST - 좌우맹 | 8시간 반복 재생 | Relaxing sleep music |Healing |수면 | 잠잘때 힐링",https://www.youtube.com/watch?v=n3M5-ih8FMA,4188,2023-05-29,8:04:10,
15,[윰탁스튜디오] 스즈메의 문단속 - 저멀리 | 8시간 반복 재생 | Relaxing sleep music | Healing |수면 | 불면증 | 잠잘때 공부할때 힐링,https://www.youtube.com/watch?v=4HI4c4BJNxM,7824,2023-05-17,8:03:29,
16,[윰탁스튜디오] 위로되는 음악 | 선우정아 - 도망가자 | 8시간 반복 재생 | Relaxing sleep music | Healing |수면| 불면증 | 잠잘때 공부할때,https://www.youtube.com/watch?v=_rAk2Qywquo,2576,2023-05-07,8:05:26,
17,[윰탁스튜디오] 귀멸의 칼날 3기 : 도공마을편 - 인연의 기적 | 8시간 반복 재생 | Relaxing sleep music | Healing |수면| 불면증 | 잠잘때 공부할때,https://www.youtube.com/watch?v=1TmaKFMcd-k,13644,2023-05-01,8:05:26,
18,[윰탁스튜디오] 스즈메의 문단속 - 스즈메의 눈물 | 8시간 반복 재생 | Relaxing sleep music | Healing |수면 | 불면증 | 잠잘때 공부할때 힐링,https://www.youtube.com/watch?v=CCvPBw8fXWU,9366,2023-04-19,8:05:26,
19,[잠잘때 듣는 음악] 라푼젤 OST - 치유의 주문 | 7시간 반복 재생 | Relaxing sleep music | Healing |수면|불면증,https://www.youtube.com/watch?v=Sg_WG7uQngI,6782,2023-04-09,6:59:35,
20,[잠잘때 듣는 음악] 스즈메의 문단속 - 참새 | 8시간 반복 재생 | Relaxing sleep music | Healing |수면|불면증,https://www.youtube.com/watch?v=Q4luJrCkqGc,31569,2023-03-28,8:05:26,
21,[잠잘때 듣는 음악] 윤하 - 오르트구름 | 6시간 반복 재생 | Relaxing sleep music | Healing |수면|불면증,https://www.youtube.com/watch?v=IToraJ_TEg0,3047,2023-03-16,6:04:50,
22,[잠잘때 듣는 음악] 지금 만나러 갑니다  OST - 시간을 넘어서 | 3시간 반복 재생 | Relaxing sleep music | Healing |수면|불면증,https://www.youtube.com/watch?v=UDlAh-MUOAY,2771,2023-03-12,3:06:09,
