,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"vlog, 초보운전 브이로그🚗, 무신사 라방, 아기 백일상 차리기, 칸초 강아지 스튜디오 촬영📸",https://www.youtube.com/watch?v=i4qy5rAOJrM,4199,2023-09-17,0:12:44,
1,"SUB) vlog, 출산 후 첫 출근👩🏻‍💻,  드파운드 모델은 누구?👜 옹알이 시작한 60~80일 신생아 브이로그 👶🏻",https://www.youtube.com/watch?v=9GzzyMJyzXk,8717,2023-08-29,0:17:40,
2,"SUB) vlog, 출산 후 옷입기👖, 생후 두달 신생아 브이로그 👶🏻, 운전면허따기 도전 🚘, 강아지인형키링",https://www.youtube.com/watch?v=UGVRMgZHhgU,8368,2023-08-10,0:20:41,
3,"SUB) vlog, 생후 한달 신생아 본격 육아 브이로그 👶🏻, 산후도우미, 신생아 감기, 아기와 강아지",https://www.youtube.com/watch?v=_uNDqsoArF0,20618,2023-07-21,0:17:50,
4,SUB) 신생아를 처음 본 강아지 반응❤️ 아기와 강아지 👶🏻🐻,https://www.youtube.com/watch?v=cY-qxblHp6M,15884,2023-07-07,0:08:51,
5,"SUB) vlog, 여기는 천국..🪽조리원 브이로그,  단유에 대한 나의 생각🍼 출산 후 배크기",https://www.youtube.com/watch?v=X9qcdnlX10k,11592,2023-06-23,0:17:34,
6,"SUB) vlog, 출산 브이로그 👶🏻🔥 매운맛 제왕절개 리얼 후기&회복과정, 단유약",https://www.youtube.com/watch?v=5P8n7YzIn_8,39414,2023-06-09,0:24:17,
7,"SUB) VLOG, 출산 일주일전 브이로그🤰🏻, 37주 만삭 임산부 일상, 유기견 입양 가족 동창회🐶, 하얏트호텔 테판",https://www.youtube.com/watch?v=4I-4GDl8QMM,13057,2023-05-20,0:23:27,
8,"SUB) 5만원 이하 센스있는 선물 추천 🫶🏻 +이벤트🎁 (1만원대~ 가격대별 집들이 선물, 집꾸미기 소품)",https://www.youtube.com/watch?v=-kxqwt4Fy3s,8039,2023-05-12,0:06:32,
9,"SUB) 10만원대~30만원대까지 디자이너 브랜드 가방 6가지 하울 👜(드파운드, 루에브르, 에테, 플로르, 리멤버제인)",https://www.youtube.com/watch?v=_5TvgNnnais,13346,2023-05-05,0:11:37,
10,SUB) 임산부도 이쁘게 입을 수 있다구요🤰🏻 만삭 임산부 옷입기 꿀팁🍯  룩북 LOOKBOOK,https://www.youtube.com/watch?v=sPIkU2-koEU,8723,2023-04-28,0:08:29,
11,SUB) 애견동반 제주 여행 🐶✈️ 셀프 만삭사진 촬영 도전한 임신 31주차🤰🏻 강아지 비행기 탑승부터 숙소정보 모두 공유해요🌴,https://www.youtube.com/watch?v=JkFaZaj1zwc,10997,2023-04-23,0:28:50,
12,"SUB) vlog, 임신 29주차 생일주간 브이로그🤰🏻, 스토케 유모차부터 애착인형까지 출산 선물 추천 🐰, 임산부 머리하고 칸초강아지도 미용하기",https://www.youtube.com/watch?v=ybVFHl28vbI,12036,2023-04-10,0:20:02,
13,"SUB) 명품 부럽지 않은, 디자이너 브랜드 지갑 추천 👛 + EVENT",https://www.youtube.com/watch?v=8TFcTYcuFIM,25360,2023-03-27,0:08:28,
14,SUB) 명품지갑 잘산템 9가지👝 명품 입문템으로 추천하는 지갑 하울,https://www.youtube.com/watch?v=CR6x8yHZm9s,98510,2023-03-20,0:10:10,
15,"SUB) 명품하울💰 샤넬 프리미에르 시계🕰️, 코코크러쉬 귀걸이와 목걸이, 르메르 크루아상 지갑🥐, 마르지엘라 데님자켓",https://www.youtube.com/watch?v=oTBQImkb0l4,19311,2023-03-12,0:08:54,
16,SUB) PARIS VLOG 🇫🇷 23주 임산부 14시간 비행하기✈️ 맛집과 박물관 추천 파리 여행 브이로그,https://www.youtube.com/watch?v=xx2oExb5UyU,9897,2023-03-06,0:18:00,
17,SUB) 명품신발 잘산템 8가지👟 한번 사면 코디 뽕뽑는 로퍼와 운동화들,https://www.youtube.com/watch?v=Qwiryok22VQ,28480,2023-02-22,0:11:51,
18,"SUB) 삶의질 상승템 ⬆️ 7가지 (각질제거, 수면램프, 임산부 튼살 관리)",https://www.youtube.com/watch?v=vKkX9-AfRFQ,5014,2023-02-13,0:11:17,
19,SUB) 임밍아웃 브이로그 🤰🏻 칸초동생 나초를 소개합니다 🌮💛 소소한 임산부 일상,https://www.youtube.com/watch?v=OkE0fGm501Q,15860,2023-01-22,0:12:02,
20,"SUB) 칸초 강아지 옷장소개🧸 + 이벤트🎁 (패션하울, 강아지옷)",https://www.youtube.com/watch?v=_AADrcMZNjc,9654,2023-01-12,0:06:05,
21,"SUB) 명품 하울 💸 (프라다 패딩, 샤식스, 샤넬 메리제인) 그리고 위시리스트 아이템들 🛒",https://www.youtube.com/watch?v=uS0QEfcS2lE,18820,2023-01-05,0:10:34,
22,"SUB) vlog, 크리스마스 브이로그🎄,산타 케이크🎅🏼, 애견펜션도 놀러가고 5만원대 선물 교환식, 회사 송년회",https://www.youtube.com/watch?v=e9c5Dh1S84g,9534,2022-12-25,0:15:40,
23,"SUB) What's in my bag?👜 왓츠인마이백 (보테가베네타 아르코백, 샤넬 지갑, 아이폰14pro, 직장인 가방)",https://www.youtube.com/watch?v=Z4H4iEQG_Ik,35011,2022-12-20,0:07:00,
24,SUB) 5만원 이하 가성비선물부터🎁 10만원대 고급선물까지💰 가격대별 연말선물 추천,https://www.youtube.com/watch?v=mgnbStAbUbw,8782,2022-12-17,0:06:52,
25,SUB) 연말룩 포인트는 이걸로👑 홀리데이 악세서리 추천💎🎀 (feat. W컨셉),https://www.youtube.com/watch?v=jlsszgElk7c,6683,2022-12-12,0:11:15,
26,"SUB) 일출 바다뷰 숙소 🌊🌄 칸초 강아지와 함께한 2박3일 힐링 여행 (애견동반 강원도 펜션, 양양 맛집, 강릉 카페 추천)",https://www.youtube.com/watch?v=2EYNHUagiBw,30272,2022-12-01,0:18:27,
27,SUB) 명품백 잘산템 7가지 💼 써보니 더 추천하는 가방들,https://www.youtube.com/watch?v=BZHa6V_nKSo,263658,2022-11-18,0:12:19,
28,"日本語) 🇯🇵 일본 여행 브이로그, 도쿄 맛집 추천🍜 드파운드 도쿄 팝업스토어, 살로몬 매장, 야끼니꾸, 곱창구이, 돈키호테 쇼핑",https://www.youtube.com/watch?v=NHeLNYQE7dM,19663,2022-11-09,0:18:01,
29,SUB) 명품백 후회템 7가지 💼 이쁘긴한데.. 괜히 샀나..🤔,https://www.youtube.com/watch?v=4RXJJUNQLVI,114685,2022-10-28,0:12:18,
30,"SUB) vlog, 칸초 강아지 모델 촬영🐶📸, 셀린느 버킷백 리폼, 맛있는 베이글맛집과 프렌치레스토랑 🥯",https://www.youtube.com/watch?v=ljJRrbEqxs8,14335,2022-10-21,0:16:42,
31,"SUB) 내돈내산 10가지 패션하울💸 가을겨울 꾸안꾸템 (바버 자켓 대신 마시모두띠, 드파운드,시아쥬, 아모멘토,르바 등)",https://www.youtube.com/watch?v=UcEm_BiQ59Q,24241,2022-10-14,0:12:20,
32,"SUB) JEJU VLOG🐴🌴 2박3일 제주도 여행 브이로그 (마음샌드, 말목장, 연꽃잎차, 제주신라호텔, 애월 서귀포 맛집, 오픈카 타고 인생샷 찍기)",https://www.youtube.com/watch?v=KNwsCqbcvE0,8724,2022-10-07,0:13:13,
33,SUB) 미니백부터 빅백까지 👜 10~20만원대 디자이너 가방 추천 (feat.W컨셉 드메리엘),https://www.youtube.com/watch?v=RMTDqSO9rdY,36845,2022-09-30,0:11:50,
34,"SUB) vlog, 눈물의 라섹수술 브이로그👀, 입양 1주년 기념 강아지 케이크 🧁, 드파운드 겨울 룩북 촬영",https://www.youtube.com/watch?v=optq-CjqG8c,11131,2022-09-21,0:17:02,
35,SUB) 유기견 입양을 망설이는 분들에게 💌  칸초 입양 1주년 기념 영상 🎂,https://www.youtube.com/watch?v=mhu1wlWNo5c,23451,2022-09-04,0:06:44,
36,SUB) 6개월간의 대장정🏠🔨 드파운드 합정쇼룸 투어 함께해요👷🏻 매장 인테리어 브이로그,https://www.youtube.com/watch?v=yuDffvYw_WQ,11485,2022-08-25,0:13:23,
37,SUB) 휴먼과 강아지의 패션하울 🧸🌞 귀여움 그 잡채..,https://www.youtube.com/watch?v=CZQUode4fwE,12706,2022-08-14,0:14:47,
38,"SUB) vlog, 한여름에 겨울 룩북 찍기🌞 드파운드 룩북촬영 with 차정원님, 콘래드호텔, 더현대 맛집, 더바넷 니트, 샤넬 쁘띠삭",https://www.youtube.com/watch?v=OKtvkJnlT2g,12924,2022-07-31,0:18:15,
39,"SUB) vlog, 여름 카라티 추천🦊❤️ (메종키츠네, 꼼데가르송), 완두콩 부라타치즈 샌드위치, 한남동 쇼룸 투어, 회사 워크샵 🪧",https://www.youtube.com/watch?v=diIcvrFzOQw,17467,2022-07-16,0:21:07,
40,"SUB) vlog, 여름 트위드자켓과 원피스 데일리룩, 오이에이드 맛보다..🥒 강아지 우비 입고 장마철 산책 🌧",https://www.youtube.com/watch?v=Wk4w7WG7W8k,15799,2022-07-04,0:18:37,
41,"SUB) vlog, 일주일 데일리룩, 완두콩 샌드위치, 마켓컬리 추천템으로 주말엔 요리하는 일상",https://www.youtube.com/watch?v=tLGEXy8d-kI,13035,2022-06-12,0:19:36,
42,"SUB) vlog, 폴로 반팔니트 직구, 셀린느 선글라스, 강아지 패션쇼🐻, 코로나 막차 탄 후기 🤧",https://www.youtube.com/watch?v=mZvJizwGz-k,24750,2022-05-31,0:17:38,
43,"SUB) 패션룩북👗출근룩, 하객룩, 데이트룩까지 책임질게요🫶🏻 (feat.이아)",https://www.youtube.com/watch?v=a-_WRIyykCs,14739,2022-05-20,0:09:25,
44,"SUB) vlog, 꽈배기니트 코디는 이렇게⛓ 강아지 털크업 전후🐻✂️ 용산 맛집, 부추비빔밥, 드파운드",https://www.youtube.com/watch?v=NrasAYQ75yI,22592,2022-05-14,0:16:48,
45,"SUB) Q&A 🙋🏻‍♀️ 패션브랜드 CEO가 하는일, 화려했던(?) 과거패션, 남편과의 돈관리, 딩크족?",https://www.youtube.com/watch?v=48Jw3WouuiY,17394,2022-05-08,0:23:11,
46,"SUB) vlog, 디올 새들백 언박싱, 봄 코디, 성수동과 한남동 구경하고 결혼기념일엔 애견운동장 가는 브이로그",https://www.youtube.com/watch?v=BEdE0co5qsE,26720,2022-04-23,0:20:04,
47,"SUB) CHANEL HAUL 샤넬 언박싱 같이해요 📦 (골드볼 쁘띠삭, 발레리나 플랫, 코코크러쉬 반지, 샤넬 미니백)",https://www.youtube.com/watch?v=JC1HWXPV1vY,49342,2022-04-15,0:12:04,
48,"SUB) vlog, 칸초강아지 팬미팅?🤣 셀프생일선물로 샤넬 가방 쇼핑한 브이로그🛒 드파운드 신제품 룩북 촬영, 봄맞이 단발머리",https://www.youtube.com/watch?v=cSHkMhqrB1s,18918,2022-04-06,0:13:01,
49,"SUB) 믹스매치 데일리룩 패션하울 🛒 (토즈 드라이빙슈즈, 트렌치코트, 봄 맨투맨 추천, 자라 신상, 진주목걸이)",https://www.youtube.com/watch?v=P5rh9Vwg9jU,25678,2022-03-31,0:15:16,
50,SUB) 가성비와 센스 모두 챙기는 🎁 1만원~4만원대 선물추천 (feat. 29cm),https://www.youtube.com/watch?v=BDMKFmP1ZZ8,12493,2022-03-25,0:11:27,
51,"SUB) vlog, 르메르 범백 🥐, 트렌치코트 개시하고 성수 소품샵 나들이, 강아지와 함께하는 잔잔한 일상 브이로그",https://www.youtube.com/watch?v=7bXMWaIhAHQ,27509,2022-03-17,0:15:40,
52,SUB) 봄 신상 가방부터 스테디셀러까지👜 W컨셉에서 골라본 디자이너 브랜드 가방 하울 (feat. 아뜰리에 드 루멘),https://www.youtube.com/watch?v=le7Rf60XMtg,49519,2022-03-10,0:10:39,
53,SUB) 20-30대 데일리백 추천👜 디자이너 가방 브랜드 '루에브르',https://www.youtube.com/watch?v=P4m346cdEvw,62685,2022-03-04,0:11:26,
54,"SUB) 취향가득 봄 패션하울🌼 (자라 신상, 드파운드, 마시모두띠, 토리버치), 2022 여자 패션 룩북",https://www.youtube.com/watch?v=oO35DmS_PL0,44630,2022-02-24,0:12:18,
55,"SUB) vlog, 겨울 끝자락 쇼핑 하울, 낫띵리튼 패딩 코트, 어그부츠, 미나리 떡볶이, 깻잎논쟁, 펫드라이기",https://www.youtube.com/watch?v=EszfNriZshQ,18715,2022-02-18,0:17:02,
56,"SUB) 비누향🧼 시트러스향🍋 좋아하는분! 캔들 & 디퓨저 브랜드 추천 (딥디크, 조말론, 바이레도, 아쿠아디파르마, 트루동, 탬버린즈), my favorite scents",https://www.youtube.com/watch?v=ld0CSB2qIS8,64297,2022-02-08,0:09:52,
57,"SUB) vlog, 겨울 니트 코디 🐏, 유기견 입양센터, 채소 라자냐🍳,드파운드 룩북촬영, 용산 맛집 가는 브이로그",https://www.youtube.com/watch?v=I9nexHmgxew,15607,2022-01-29,0:15:48,
58,"SUB) vlog, 🥪정말 맛있는 샌드위치 레시피, 강아지 슬개골탈구 2기😢, 막스마라 코트, 셀린 박스백, 르주르 드레스퍼퓸",https://www.youtube.com/watch?v=xEsMQR2Pe_E,21636,2022-01-21,0:19:21,
59,SUB) 유기견 입양 전후 놀라운 변화 🧸 겁많은 강아지의 100일간 브이로그,https://www.youtube.com/watch?v=1mjamoOVzo4,1476583,2022-01-07,0:07:12,
60,"SUB) vlog, 떡볶이코트와 숏패딩 코디, 칸초와 보내는 첫 크리스마스 🎄🎅🏼 홈파티 요리, 3만원대 연말 선물 교환",https://www.youtube.com/watch?v=668XhrJbS7k,28690,2021-12-24,0:20:15,
61,"SUB) vlog, 구찌 재키백 데님 스몰 언박싱, 당일치기 미국 갔다가 파리여행, 아싸 강아지와 애견운동장, 뉴이스트 콘서트",https://www.youtube.com/watch?v=Jixdt8Xnk38,28567,2021-12-16,0:22:34,
62,"SUB) 겨울 아우터 하울, 취향가득 양털자켓부터 롱코트까지, 겨울 룩북 코디",https://www.youtube.com/watch?v=BhekicCdN-Y,24443,2021-12-09,0:13:13,
63,"SUB) 1만원대~10만원대💰가격대별 연말 선물 추천 🛒 (드파운드 머플러, 장갑, 멜릭서 핸드크림) holiday gift ideas",https://www.youtube.com/watch?v=_LvBMmPa4nk,50665,2021-12-02,0:10:04,
64,"SUB) vlog, 터프팅 러그 만들기🧵강아지랑 같이 시댁 간 브이로그, 하객룩, 겨울 수분크림 추천💦",https://www.youtube.com/watch?v=d0yl8eJlKOY,18681,2021-11-26,0:19:04,
65,"SUB) vlog, 직장인 데일리룩, 까르보나라 샌드위치 🥓🫒 개모차 바로 적응한 강아지, 일상 브이로그 🐕",https://www.youtube.com/watch?v=Q9TMFpzM8R0,20543,2021-11-19,0:17:28,
66,"SUB) vlog, 자주하는 목걸이 추천, 출근룩 소개 👞 마음을 열기 시작한 유기견 강아지 🧸",https://www.youtube.com/watch?v=5ol8YGjQYig,33526,2021-11-12,0:18:05,
