,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,페이커가 비싸다고 한 라면!? 정말 맛있는지 저도 먹어보았습니다!,https://www.youtube.com/watch?v=l0oiW2hxTyY,4655,2023-09-15,0:06:46,
1,생방송어서옵쇼 물총녀...,https://www.youtube.com/watch?v=7mfzmM5sdTY,4553,2023-08-23,0:07:01,
2,어후 나 이거 계속해도 되는 월드컵 맞아??????,https://www.youtube.com/watch?v=Bz1lFVgqEgY,3969,2023-08-15,0:08:05,
3,특이점이 와버린 요즘 아이돌 노래 특징ㄷㄷ,https://www.youtube.com/watch?v=jCVslYCpnhY,2766,2023-08-12,0:03:08,
4,코스프레하고 인생네컷 찍으러가기ㅜㅜㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://www.youtube.com/watch?v=2B9F1mhszMQ,3163,2023-08-04,0:06:48,
5,삐삐야 이래도 괜찮은거야?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://www.youtube.com/watch?v=y1khZ0Et3l0,3218,2023-08-02,0:05:55,
6,엉큰녀 박쥬쥬 vs 클럽죽순이 박삐삐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://www.youtube.com/watch?v=b0pcDDfBW3U,9382,2023-07-31,0:05:14,
7,쥬쥬네 쥬민들을 모집합니다! :: 멤버쉽 공지,https://www.youtube.com/watch?v=42v_2NLX-pk,2087,2023-07-29,0:04:27,
8,공개연애 후 첫합방;; 쫀득 괴롭히기에 신난 쥬쥬 삐삐 주둥ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://www.youtube.com/watch?v=PvC28NUa2eM,2878,2023-07-28,0:05:25,
9,맘스터치X농심 꿀꽈배기???? 콜라보 치킨 리뷰,https://www.youtube.com/watch?v=zUTpEuJWqX0,3193,2023-07-26,0:08:39,
10,쿠빈: 쥬쥬님 섹시한거 해주세요!!!!!!!! [쥬쥬 야몽음인 리액션],https://www.youtube.com/watch?v=kWJ8KzNbPYc,17110,2023-03-31,0:05:57,
11,[단발] 금강연화: 쥬쥬야 블루야 제발 그만싸워,https://www.youtube.com/watch?v=cDXgdA-b_V0,16886,2023-01-21,0:08:21,
12,크리스마스 촬영갔다가 징글벨 피아노 연주하기,https://www.youtube.com/watch?v=iS7M789zy1Q,3219,2022-12-23,0:07:03,
13,유진이와 고양이는 왜 이렇게 살까 w.남자친구,https://www.youtube.com/watch?v=aOMD9odpo3c,15571,2022-10-15,0:07:19,
14,쥬쥬 흰티 청바지 제로투,https://www.youtube.com/watch?v=oRD5kLY6NEE,46775,2022-09-17,0:07:03,
15,유튜버들한테 스피드퀴즈했다가 크게 당했습니다 ㅠㅠㅠ 근데 짱웃김ㅋㅋㅋㅋㅋ,https://www.youtube.com/watch?v=QXLFC8Es2lI,7625,2022-09-09,0:09:50,
16,그 날 홍대에서 있었던 일 w.리플s,https://www.youtube.com/watch?v=khPNmggrNMQ,16036,2022-07-01,0:10:48,
17,유진이 1일 매니저 했습니다 feat.홍대 롤린 버스킹,https://www.youtube.com/watch?v=iu2DszJNvX4,27824,2022-06-11,0:09:23,
18,셔츠 내려가는 롤린 직캠,https://www.youtube.com/watch?v=_UE8lS5Hli8,90328,2022-05-27,0:01:27,
19,관심있는 여자 꼬시는 방법,https://www.youtube.com/watch?v=tWurWcPySXw,28587,2022-04-15,0:01:55,
20,말랑한 볼살 안녕꒰⍤꒱🤚,https://www.youtube.com/watch?v=e36Khj0L82U,16724,2022-03-27,0:07:36,
21,미도랑 영둥이 앞에서 토끼춤췄습니다...,https://www.youtube.com/watch?v=vNJVNYSizdU,75103,2022-02-02,0:03:09,
22,쥬쥬 코카인,https://www.youtube.com/watch?v=TBeTQe47EXo,72580,2022-01-29,0:02:13,
23,자고 싶은 쥬쥬 vs 깨우려는 시청자,https://www.youtube.com/watch?v=7mDlnQAbeGU,17930,2022-01-27,0:10:09,
24,얼린 청포도 양볼에 넣어먹다가 ...,https://www.youtube.com/watch?v=C3Ulhc9H8F8,20731,2021-11-17,0:01:41,
25,얼굴 막 쓰는 쥬쥬 +캡쳐타임,https://www.youtube.com/watch?v=E9ED7rqU3ss,18296,2021-10-24,0:02:25,
26,춤추다가 넘어지는 쥬쥬 (체리블렛 - 큐앤에이),https://www.youtube.com/watch?v=g9nGML9Y1iQ,55714,2021-09-30,0:04:03,
27,쥬쥬쥬츄 공주님 (핑크퐁 공주송),https://www.youtube.com/watch?v=YoUwbiBpIWs,11384,2021-09-24,0:01:16,
28,미모 레전드 찍은 한복 쥬쥬,https://www.youtube.com/watch?v=HyTLS78dzRU,13629,2021-09-23,0:08:47,
29,스트리머의 새로운 필수템! 루프덱 라이브 리뷰 & 가이드 | loup deck review,https://www.youtube.com/watch?v=ZwPp-GUtZTc,13024,2021-09-02,0:06:18,
30,촬영 기다리는 쥬쥬와 잭굽 그리고 푸딩푸딩푸딩푸딩,https://www.youtube.com/watch?v=KebHJISd_AM,65500,2021-04-07,0:01:25,
31,빙고쥬쥬 둘은 어떻게 아는 사이에요?ㅣ쥬쥬쥬세요,https://www.youtube.com/watch?v=x60yD1GN-SA,102710,2021-02-24,0:06:56,
32,새해 복 많이 받으세요! (Hale in Ocean 정혜일),https://www.youtube.com/watch?v=pdN5PFFjxC4,21772,2021-02-12,0:04:11,
33,인수한테 내기져서 일일 운전 기사가 되었습니다...,https://www.youtube.com/watch?v=FBXcDLnGmO0,40220,2021-02-08,0:09:58,
34,"경상도 사람만 할 수 있는 '그것' (with.유진,잭굽,마태,썬)",https://www.youtube.com/watch?v=LB8UBs4A3xo,128636,2021-01-19,0:03:43,
35,쌩얼공개?! 집에서 브이로그 찍어달라고 해서 찍어왔습니다 (신년계획/다이어리/다꾸스티커),https://www.youtube.com/watch?v=8-pza-wbPOE,45234,2021-01-12,0:13:53,
36,쥬쥬 사쿠란보 ♡,https://www.youtube.com/watch?v=a0TcncAgUfk,310317,2020-12-25,0:04:08,
37,"리플 새 멤버 인수 신고식 (feat.인수,마태,썬피디)ㅣ쥬쥬쥬세요",https://www.youtube.com/watch?v=68CDQABFB1c,14730,2020-12-12,0:03:37,
38,바삭쫀득꾸덕♡누텔라 스모어딥 만들기&먹방 (feat.썬피디)ㅣ쥬쥬쥬세요,https://www.youtube.com/watch?v=wY2Jx3-Mllc,16393,2020-12-06,0:13:13,
39,400만뷰 나온 어몽어스 노래 후기 ! !ㅣ쥬쥬쥬세요,https://www.youtube.com/watch?v=96LyUIYZjAI,38345,2020-11-27,0:05:32,
40,가을맞이 톤다운 셀프염색하기!!ㅣ쥬쥬쥬세요,https://www.youtube.com/watch?v=jRGwOOqIi38,12294,2020-11-07,0:09:59,
41,다은이랑 증명사진 브이로그 ♡ㅣ쥬쥬쥬세요,https://www.youtube.com/watch?v=YGT7qfXolh8,36473,2020-11-04,0:10:02,
42,랜덤코디 챌린지인데 마태옷 피하기 같은 그런 영상 (리플s 지황)ㅣ쥬쥬쥬세요,https://www.youtube.com/watch?v=MDwwIwmwooE,24390,2020-10-17,0:10:16,
43,주둥이 스타일체인지로 속이고 여장시키기ㅋㅋㅋ (feat. 주둥이방송)ㅣ쥬쥬쥬세요,https://www.youtube.com/watch?v=KKkumuNDvgM,12318,2020-10-10,0:05:02,
44,"멋찐 선글라스와 함께하는 쥬쥬의 일상 브이로그! 선글라스는 화장품이다✨드라이브, 남양주 오로라 베이커리, 하남 스타필드ㅣ쥬쥬쥬세요",https://www.youtube.com/watch?v=fCpJ4wQKnvc,10444,2020-09-30,0:14:47,
45,추석맞이 학생 아우터 추천!! 같이 겨울 아우터 준비하쟈 💕 (리플s 지훈)ㅣ쥬쥬쥬세요,https://www.youtube.com/watch?v=uVkWZGF6Eh0,32625,2020-09-26,0:11:02,
46,다은이랑 스타일 체인지 2탄! 쥬쥬가 여리여리 청순룩을 입었을 때 (리플s 다은)ㅣ쥬쥬쥬세요,https://www.youtube.com/watch?v=S3uW17dVTHU,57410,2020-08-15,0:07:00,
47,쥬쥬와 다은이의 스타일 체인지!! 👗 청순한 스타일인 다은이가 꾸꾸꾸 룩을 입었을 때 (리플s 다은)ㅣ쥬쥬쥬세요,https://www.youtube.com/watch?v=SoVCddFb07o,93105,2020-08-08,0:09:00,
