,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,곤한 내 영혼 편히 쉴 곳과 I have found sweet rest | cover by Gina,https://www.youtube.com/watch?v=dxMPtruq7YY,133704,2023-08-25,0:04:29,
1,당신은 사랑 받기 위해 태어난 사람 You were created to receive the Greatest Love | cover by Gina,https://www.youtube.com/watch?v=TDcGWrfWieI,128552,2023-07-28,0:04:36,
2,나의 안에 거하라 Abide in Me | cover by Gina,https://www.youtube.com/watch?v=NO8Lwz_MS4s,273603,2023-06-30,0:03:51,
3,하나님께서 당신을 통해 May the Love of God | cover by Gina,https://www.youtube.com/watch?v=lBS5ZG_KobU,158635,2023-06-16,0:04:08,
4,때로는 너의 앞에 (축복송) The Blessing Song | Cover by Gina,https://www.youtube.com/watch?v=aT7sw5IgUVY,200369,2023-06-09,0:03:16,
5,주의 가정 Family protected by God | with Gina,https://www.youtube.com/watch?v=jcxQKPe31_I,293657,2023-06-02,0:04:13,
6,주 이름 찬양 Blessed be Your Name | cover by Gina,https://www.youtube.com/watch?v=oFoPyRUorgA,381020,2022-10-28,0:04:22,
7,나를 향한 주의 사랑 I Could Sing Of Your Love Forever | Cover by Gina,https://www.youtube.com/watch?v=Lr_feQuxAEo,317288,2022-10-21,0:04:23,
8,사도신경 주기도문 송 | cover by Gina,https://www.youtube.com/watch?v=ECDIHvVEfAk,215430,2022-10-14,0:03:18,
9,"주의 친절한 팔에 안기세 What a fellowship, what a joy divine | cover by Gina",https://www.youtube.com/watch?v=JKTIDSFIX9k,193457,2022-10-07,0:03:18,
10,내 맘에 한 노래 있어 There comes to my heart | cover by Gina,https://www.youtube.com/watch?v=Wj2R0uRhPiA,588355,2022-09-30,0:05:20,
11,하나님은 너를 만드신 분 | cover by Gina,https://www.youtube.com/watch?v=xdd5-ic12zo,612668,2022-09-23,0:04:00,
12,[1시간 찬양모음] 걸으면서 듣는 경쾌한 찬양,https://www.youtube.com/watch?v=bGo14bITb9A,920219,2022-09-13,0:59:57,
13,마음속에 근심 있는 사람 Are You Weary | cover by Gina,https://www.youtube.com/watch?v=aIvV_g0VaJI,327248,2022-09-09,0:04:02,
14,이 눈에 아무 증거 아니 뵈어도 Down in the valley where the mists of doubt arise | cover by Gina,https://www.youtube.com/watch?v=yx58Sx9DREQ,571471,2022-05-20,0:03:12,
15,주 안에 있는 나에게 The Trusting Heart to Jesus Clings | cover by Gina,https://www.youtube.com/watch?v=_Cb-q8O-F14,844542,2022-05-13,0:05:26,
16,목마른 내영혼 My Soul Today is Thirsting | cover by Gina,https://www.youtube.com/watch?v=neBmvgIKdPs,610177,2022-05-06,0:04:23,
17,[1시간 찬양모음] Gina 찬양 연속듣기 #4,https://www.youtube.com/watch?v=pEbVPpzGd0U,2199634,2022-04-29,0:55:07,
18,마음이 상한 자를 He Binds The Broken-Hearted | cover by Gina,https://www.youtube.com/watch?v=INBCN6BLbVg,629990,2022-04-15,0:04:03,
19,나는 예배자입니다 I'm a worshipper | cover by Gina,https://www.youtube.com/watch?v=Kk9Z2oYS9fM,457338,2022-04-08,0:03:39,
20,"주께 가까이 날 이끄소서 Lord, draw me closer to You | cover by Gina",https://www.youtube.com/watch?v=xA_n_PnRKMc,1181606,2021-10-15,0:04:01,
21,오직 주만이 God Alone | cover by Gina,https://www.youtube.com/watch?v=btlFT7hVZoY,1537077,2021-10-08,0:05:58,
22,모든 상황 속에서 In all circumstances | cover by Gina,https://www.youtube.com/watch?v=X90cIrS3h6o,1161613,2021-10-01,0:05:28,
23,[1시간 연속듣기] 우리는 주의 움직이는 교회,https://www.youtube.com/watch?v=X5JElGd-UkY,652712,2021-09-29,1:04:28,
24,약할 때 강함 되시네 You are my All in All | cover by Gina,https://www.youtube.com/watch?v=KN3c1OMenAQ,944753,2021-09-24,0:03:52,
25,누군가 널 위해 기도하네 Someone is praying for you | cover by Gina,https://www.youtube.com/watch?v=W3KElVsukPU,1340528,2021-09-17,0:04:48,
26,눈을 감아요 (어린이 찬양) | cover by Gina,https://www.youtube.com/watch?v=FfzGlx2UV7A,470263,2021-09-10,0:02:00,
27,[1시간 찬양모음] 하루를 깨우는 신나는 찬양,https://www.youtube.com/watch?v=W3W0nleykzo,3365071,2021-05-28,1:07:06,
28,예수 십자가에 흘린 피로써 Have You Been to Jesus | cover by Gina,https://www.youtube.com/watch?v=1gna3Nc9YBU,580015,2021-05-21,0:04:47,
