,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"집에서 쉽게 블랙헤드, 모공 잡아주는 꿀팁 대방출✨(+ 에스테틱에서 쓰는 블랙헤드 꿀템, 처지고 커진 모공 애정템 추천)",https://www.youtube.com/watch?v=89yRuVy22E4,3312,2023-03-12,0:07:05,
1,"회사 쉬는 날 브이로그🌿 ( +귀여운 고양이 출현😽, 올리브영 쿨톤 13만원 하울, 우당탕탕 3분 브라우니 만들기🍩, 부산 갈비집 추천)",https://www.youtube.com/watch?v=3mZW2q7JZTE,2324,2023-03-01,0:08:40,
2,"✨지금까지 했던 시술 총 모음✨ ( +비추천❌, 추천 시술⭕️ , 볼패임 스트레스 있는 사람 다 모여 !!!)",https://www.youtube.com/watch?v=tLtz3F1eJ_I,337124,2023-01-30,0:08:28,
3,"❄️겨울철 무쌍 겟레디윗미☃️ (+ 요즘 잘 쓰는 촉촉한 립, 저 중단발했어요 !!!!!! )",https://www.youtube.com/watch?v=_V7FD0s4Uog,7603,2023-01-19,0:07:29,
4,봄라이트 무쌍 출근 겟레디윗미 (+어피 5분만에 하는 꿀팁 대방출✨),https://www.youtube.com/watch?v=BkUyhDPWoWc,11763,2022-02-11,0:11:19,
5,💖My favorite lips💖요즘 맨~~~날 쓰고 있는 립 추천영상 !!,https://www.youtube.com/watch?v=RJVJl1xLYvc,10023,2021-09-04,0:06:29,
6,"현직 승무원 파우치 털기 | 항공과 시절부터 비행기까지 잘 쓰건 파우치 공개 !😙😙 (+ 베이스부터 스프레이까지 ! 승무원 ,항공과 꿀템소개)",https://www.youtube.com/watch?v=k4sg7oQbkow,8933,2021-03-01,0:09:38,
7,"왕초보도 따라하기 쉬운 무쌍 속눈썹 뷰러 & 마스카라 하기 ( 눈곡률에 딱 맞는 뷰러 찾기, 눈 곡률 구하기, 처진 속눈썹들 다 모여라 !!!)",https://www.youtube.com/watch?v=m-UfvOQSpCg,40070,2020-10-02,0:06:37,
8,"지옹이 취향 100% 담음 | 트렌디한 부츠와 함께하는 가을 룩북 169/50 (+ 웨스턴 부츠 , 가성비 갑 워커, 앵클 부츠 추천, 서울스토어 협찬 )",https://www.youtube.com/watch?v=C27vEgmdFD0,12698,2020-09-22,0:06:59,
9,✨하이라이터&쉐딩 제품 추천 ✨ 하루도 빠짐없이 하이라이터를 하는 사람에게 유용한 영상 (광고아님),https://www.youtube.com/watch?v=GxPI7tQiwo8,39538,2020-09-20,0:09:51,
10,[MAKEUP] 에뛰드 따끈한 신상 ✨ 무쌍 뮬리 로맨스 팔레트 꿀조합으로 가을 메이크업 해봤어요 🍂,https://www.youtube.com/watch?v=UO_M38N_VEM,8678,2020-09-09,0:04:34,
11,"쿨톤 다 모여랏🙋‍♀️흔하지 않은 쿨톤립 대방출 안보면 손해 !!!!! (+ 쿨톤 누드립 , mlbb , 퍼플립 다 들고옴 )",https://www.youtube.com/watch?v=MZwjWLPitvE,74675,2020-08-16,0:13:08,
12,🍋금발에 잘 어울리는 무쌍 데일리 메이크업 🍋 (+ 금발 과정) | 지옹이 jiong,https://www.youtube.com/watch?v=hMJkr-IN2i8,31728,2020-05-11,0:16:59,
13,GRWM 바쁘다 바빠 시간없어서 급한 무쌍 겟레디윗미🕙 피팅촬영 하러가요 !  (+ 조금의 브이로그 ) | 지옹이 JIONG,https://www.youtube.com/watch?v=6-p2SonxLfo,29967,2020-04-30,0:14:29,
14,"[MAKEUP]샵에서도 칭찬했던 무쌍 항공과의 면접 메이크업 (+ 입꼬리 꿀팁 , 메이크업부터 머리까지)|JIONG",https://www.youtube.com/watch?v=dNXBXm_-qns,588438,2020-03-25,0:11:08,
15,"[DAILYLOOK] 나의 심플한 봄 데일리룩🚶🏻‍♀️ (지옹이 굿즈 증정  , 169/49)",https://www.youtube.com/watch?v=sZSd81EYhcI,16141,2020-03-10,0:06:27,
16,"[MAKEUP] 🍑과즙미 넘치는 무쌍 새내기 메이크업 🍑(+ 화장 초보 다 드루와 ! , 가성비갑 섀도우 팔레트 추천 , 반말주의)",https://www.youtube.com/watch?v=S9tJ9F7PKAc,128024,2020-03-06,0:11:59,
17,[GRWM]무쌍 겟레디윗미 🎀 따뜻한 핑크 메이크업,https://www.youtube.com/watch?v=dSh0Cz0GPdM,71499,2019-12-31,0:12:15,
18,[MAKEUP]쿨톤의 반짝반짝 핑크메이크업 💕,https://www.youtube.com/watch?v=K-KsyAub1p0,19120,2019-11-29,0:06:36,
19,[MAKEUP]무쌍 아이라인 그리는 법 👀,https://www.youtube.com/watch?v=oF6_-qsfSvA,289041,2019-11-22,0:10:11,
20,[VLOG] 항공과 졸업사진 찍는 날 (허접한 첫 브이로그),https://www.youtube.com/watch?v=nesSr8IYIX0,25785,2019-05-20,0:03:17,
