,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"대표 코덕들의 신제품 수다🤗 맥  파운데이션, 누즈, 뮤드, 힌스, 클리오, 홀리카홀리카, 웨이크메이크  / 깡나",https://www.youtube.com/watch?v=JrbQPu7qzGg,26518,2023-09-21,0:22:10,
1,[나눔이벤트] 졸부머니룩이 되어버린 올드머니룩 메이크업 GRWM😎 / 깡나,https://www.youtube.com/watch?v=WJXPAo72skk,14288,2023-09-19,0:18:06,
2,합법적 약쟁이의 영양제 추천 & 비추천💊  / 깡나,https://www.youtube.com/watch?v=PUg7C9D48c4,11660,2023-09-15,0:13:24,
3,택배깡나 📦 I 40분 동안 같이 택배 언박싱 해봅시다 / 깡나,https://www.youtube.com/watch?v=TqP7aLtEp8c,35768,2023-09-08,0:36:17,
4,어뮤즈 듀웨어 파운데이션 리뷰 I 깡브스 선정 '손으로 발라도 짱 예쁜 파운데이션' I 데이지 에디션 쭉 훑어보기! / 깡나,https://www.youtube.com/watch?v=Gmv0utLoaeM,11817,2023-09-03,0:08:19,
5,프로 여행러의 여행 필수템! 추석 연휴에 여행 갈꺼죠? 준비물 챙겨가세요~  / 깡나,https://www.youtube.com/watch?v=gZBHO54Oq_o,15177,2023-08-31,0:16:50,
6,별 거 안하는데 말 많은 Vlog l 이사 계약 완! l 운동하고 먹고 l 찐 데일리 메이크업까지 🚲/ 깡나,https://www.youtube.com/watch?v=UQSGP1PFSwA,15325,2023-08-24,0:19:40,
7,수다 겟레디위드미🤗 현실적인 에프터 바캉스 케어 해봅시당 / 깡나,https://www.youtube.com/watch?v=uLqC6ikrX10,15028,2023-08-14,0:18:43,
8,택배깡나 📦 I 택배 까다 늙고 지치는 중...백팩 이벤트 예고🩵 / 깡나,https://www.youtube.com/watch?v=XxEAkqS1S7s,64479,2023-08-09,0:23:48,
9,드디어 레전드 레티놀 크림 공개💙 이니스프리 레티놀 시카 흔적 크림 I 레티놀 맛집에서 레티놀 덕후랑  일냈쥬? / 깡나,https://www.youtube.com/watch?v=a3qxZwyHWZg,29880,2023-07-22,0:10:32,
10,2023년 상반기 결산 추천템 💜깡추템💜 찐코덕이 고르고 골라 왔슴다 / 깡나,https://www.youtube.com/watch?v=p48E4mcWQv8,103007,2023-07-21,0:18:30,
11,"(구독자 이벤트❤) 텍스처, 효능, 패키지까지 다 내가 고를 수 있다고 ㄴㅇㄱ?!/ 깡나",https://www.youtube.com/watch?v=ay-CoSvZmSU,13802,2023-07-15,0:08:29,
12,"삶의 질 상승템💥 수중 이어폰, 부종 빼는 제품, 교정용 치실 I 안 보면 손해! feat. 부종 타파템 / 깡나",https://www.youtube.com/watch?v=NpQUWwd2jKY,32940,2023-07-11,0:12:23,
13,궁금했던 신상으로 겟레디💕 +운전하다  봉변 당한 썰 / 깡나,https://www.youtube.com/watch?v=OsVVwnylDVs,30282,2023-07-04,0:22:24,
14,문의 많았던 여름 필수템 다 알려드림💦 이거면 올여름 뚝딱^^! I 자외선 철통 방어템 I 여름용 화장품 / 깡나,https://www.youtube.com/watch?v=eG6UeKeCFic,40022,2023-06-26,0:16:04,
15,"트러블,잡티,다크써클 커버까지 한 방에! ❌갈라짐 ❌무너짐 ⭕완벽커버 컨실러 만들어옴 🤗 / 깡나",https://www.youtube.com/watch?v=t1E5ZRQLDKQ,58950,2023-06-24,0:18:17,
16,신상 다 써본 후! 업데이트 버전 올리브영 추천템🎨 소수 정예로 모셔봤습니다 / 깡나,https://www.youtube.com/watch?v=ZFP3tW5g-oI,40082,2023-06-06,0:11:19,
17,"택배깡나 2탄📦 I 깡나 HUB 오픈🤗 장비 업글, 내가 콜라겐 고르는 방법, 자잘한 추천템들 / 깡나",https://www.youtube.com/watch?v=4QQsV8ZRimU,31328,2023-06-05,0:16:45,
18,봄웜 찰떡🤗 시술 받았냐 오해 받는 요즘 데일리 메이크업🧀 올영 추천템 가득~~ / 깡나,https://www.youtube.com/watch?v=lLiVQPs58so,20775,2023-06-04,0:14:28,
19,"돌고돌아 결국 순정! ""피부 예민러""라면 절대 놓치면 안 되는 에뛰드 기획전 공지 💦/ 깡나",https://www.youtube.com/watch?v=aZFh-KI0f_Y,10226,2023-05-28,0:08:58,
20,택배깡나📦 I 택배 까느라 인생 절반 쓰는 사람 나야 나~ (부제 : 드디어 받았다. 실버버튼) / 깡나,https://www.youtube.com/watch?v=nFC44GTTKfQ,44038,2023-05-25,0:25:13,
21,요즘 잘~ 쓰는 Favorite Item💜 /깡나,https://www.youtube.com/watch?v=f7xixEd5yOk,35817,2023-05-16,0:17:43,
22,쌍수 효과?! 내돈내산 아이라인 문신 제거 생생한 후기👁️반영구 문신 후회하는 이유ㅠㅠ 신중하게 하세요 / 깡나,https://www.youtube.com/watch?v=XZWmkS01j1E,20303,2023-05-15,0:12:08,
23,(EVENT) 신상 제품들 같이 사용해봐요! I 에뛰드 신상 최초 스포💟,https://www.youtube.com/watch?v=Jmv4Q_NWmBo,33052,2023-05-03,0:17:45,
