,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,올리브영 세일 때 사야할 모공 뿌시는 2만원 대 제품! 토리든 토너 / 루트리 오디앰플 / 메이블린 핏미 파운데이션,https://www.youtube.com/watch?v=mSHqo84Gse4,604,2023-06-01,0:05:58,
1,머릿결만 카즈하! 카즈하 PICK 제발 아도르 하세요 써본 트리트먼트 중 최고 / 머릿결 좋아지는 방법,https://www.youtube.com/watch?v=AlyTBzeI1js,1100,2023-05-01,0:05:26,
2,일상 브이로그 Vlog : 강민철 레스토랑 디너 34만원 코스 / 우리마끼 / 우물집 / 일산 등촌샤브칼국수 / 은화계 / 브레디 포스트 생일주간 마무리는 인모드 시술,https://www.youtube.com/watch?v=pPwR2r6Yo-o,240,2023-04-12,0:08:05,
3,블로그 리뷰했던 제품 중 좋았던 제품 위주 환절기 스킨케어  꿀템 (열감 건조함 속당김 극건조 트러블 다 해당),https://www.youtube.com/watch?v=ygy-8Rv54Xc,168,2023-04-04,0:07:32,
4,콜레올로지 다이어트 2주 먹음 / 콜레스테롤 개선에 도움을 주는 빨간통 다이어트 / 운동 안함 / BEFORE & AFTER,https://www.youtube.com/watch?v=zFIDSXdvfeQ,417,2023-03-24,0:05:15,
5,가드름 등드름 아토피 민감 피부에게 추천하는 바디로션 / 인그로운헤어 모공각화증 필수템,https://www.youtube.com/watch?v=v7kJwGMeD0Y,853,2022-11-01,0:10:38,
6,주간 브이로그 VLOG : 식비절약 하기  |  독립문 영천시장 투어 : 최가상회 떡갈비 바로굽는빵집 등  |  키엘 뷰티크래스  |  집밥해먹기  |  로또로 마무리,https://www.youtube.com/watch?v=dKi-zNgVFrE,2679,2022-08-28,0:09:33,
7,물결펌 물결웨이브 히피펌 스타일링 똥손도 하뜌이따! 보다나 32mm 물결고데기 (내돈내산),https://www.youtube.com/watch?v=d8ckbuQJPqE,473,2022-08-15,0:04:47,
8,VLOG 일본여행 교토 ... 아니고 동두천 니지모리 스튜디오 / 입장료 / 료칸 가격 / 기모노대여료/ 나츠마츠리 축제,https://www.youtube.com/watch?v=38CHDLCn2HQ,1054,2022-07-26,0:08:07,
9,vlog. 셀프 뿌리매직했더니 하루가 다 감! 시세이도 매직약 / 귀찮아서 그렇지 쉬움 / 셀프매직하는법,https://www.youtube.com/watch?v=a9xjYe4ls2Q,33268,2022-07-19,0:05:53,
10,여드름 자국 흔적 지우기! 여름철 수부지 지성피부 스킨케어 루틴,https://www.youtube.com/watch?v=DUp9m_218KE,415,2022-06-27,0:05:16,
11,머리숱이 이렇게 많은데 내가 탈모라니... 탈모로 산다는건! 내돈내산 탈모관리 방법,https://www.youtube.com/watch?v=xygeZxU_cxA,803,2022-06-14,0:08:22,
12,Vlog. 4월 952만원 벌었다! 내가 조금만 더 부지런했다면 .... ｜쌤쌤쌤｜용산카페 인바이트｜ 행사 ｜글래드코엑스 나홀로 호캉스｜룰루 헤어메이크업 ｜ 촬영｜ 그리고 일일일,https://www.youtube.com/watch?v=i9I_RmXazG4,360,2022-04-30,0:05:05,
13,셀프매직 5년만에! 2만원으로 집에서 매직하는 방법 시세이도 매직약 (Curly to Straight Hair Tutorial) /짱세 zzangse,https://www.youtube.com/watch?v=JbEfps27Pus,134837,2021-10-12,0:11:36,
14,Vlog 드디어 입술필러 했다? 후기 입꼬리 유지 만족도! feat 오버립 그리는 방법,https://www.youtube.com/watch?v=L_K-_mcVY6o,2368,2021-09-29,0:06:55,
15,셀프네일 패디 모두 가능한 미스터바우어! 10분이면 끝 / 젤네일 깔끔하게 붙이는 방법 nail art tutorial,https://www.youtube.com/watch?v=y1v6aj1TF40,247,2021-06-29,0:04:53,
16,짱세 생일기념 미쉐린 1스타 롯데호텔 피에르가니에르 인당 24만원디너코스는!?,https://www.youtube.com/watch?v=kaBtOYH96vs,273,2021-05-29,0:03:20,
