,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"""리프컷 해주세요"" 했는데 이게 맞나요..?",https://www.youtube.com/watch?v=hlnwwxJe0YU,5389,2023-09-09,0:01:44,
1,리프컷 하고 싶은데 가능할까요..?(바가지머리+큰 광대+긴 목+귀ㄷ컷),https://www.youtube.com/watch?v=PlSHVOZpd6s,8207,2023-08-16,0:02:06,
2,쉐도우펌 했는데 머리가 너무 꼬불거려요..도와주세요ㅠㅠ,https://www.youtube.com/watch?v=mBxM7fCfnXI,14104,2023-07-17,0:01:47,
3,얼굴 큰 남자 인생머리 찾는 방법,https://www.youtube.com/watch?v=VpeQtDJZZcc,25038,2023-06-19,0:01:53,
4,미용실 가기전에 보면 도움되는 꿀팁모음,https://www.youtube.com/watch?v=RrzJ1fho_50,16495,2023-05-17,0:01:59,
5,남자 볼륨매직 망했을때 대처법 2가지,https://www.youtube.com/watch?v=msNMMyrNvfM,25670,2023-04-29,0:01:40,
6,다운펌 할때마다 광대가 커보이는 이유,https://www.youtube.com/watch?v=q81k2wuanMk,22074,2023-04-18,0:01:21,
7,"남자 다운펌 종류 총정리(옆머리 다운펌,뒷머리 다운펌,전체다운펌,두상다운펌,전체다운펌,앞머리 다운펌,다운펌 옆머리,다운펌 옆머리 뒷머리,다운펌 옆뒤)",https://www.youtube.com/watch?v=KBLK-GJDyGs,34488,2023-04-07,0:03:31,
8,남자들 인생머리 찾는 꿀팁(남자머리 성공하는 꿀팁),https://www.youtube.com/watch?v=XIIouktWenI,73280,2023-03-25,0:03:03,
9,얼굴 큰 남자들이 하면 안되는 헤어스타일,https://www.youtube.com/watch?v=x0-sWNjQsmA,23656,2023-03-16,0:02:00,
10,내 머리에 파마할 때 다운펌을 해야할까 말아야할까?,https://www.youtube.com/watch?v=akLl5PRPj4w,9942,2023-03-06,0:01:40,
11,전역하고 머리 예쁘게 기르는 방법(짧은머리 남자들 꿀팁),https://www.youtube.com/watch?v=N_agvGoFCU0,18778,2023-02-22,0:02:16,
