,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,가을 타는 요즘 근황🥲 잡담 많은 겟레디윗미 (+ 쌍수 예고?) :: 채소(CHAESO),https://www.youtube.com/watch?v=s2vZWtIj-74,9840,2023-09-29,0:17:44,
1,"예쁜 포인트템 모두 모아! 가을 패션 추천템👞👢(맨투맨, 레더자켓, 프라이탁, 버킷햇, 롱부츠, 나이키) :: 채소(CHAESO)",https://www.youtube.com/watch?v=0krqiA77RHU,26599,2023-09-23,0:13:47,
2,"💸가을 쇼핑을 시작했는데요..? 250만원 지른 언박싱 하울🛍️(폴로 가을신상, 마뗑킴, 자라, 슈프림, 운동화, 크리드 향수, 가성비갑 고데기)",https://www.youtube.com/watch?v=eoetF3FRWFM,38478,2023-09-22,0:18:56,
3,🧦질리지 않고 오래 입을 수 있는 가을 필수템 추천 🍂2023 가을코디룩북 :: 채소(CHAESO),https://www.youtube.com/watch?v=wG9cY4CGRIk,39289,2023-09-12,0:13:03,
4,"자취 브이로그 ep.07 🍲 명란솥밥 만들기, 여름 일상조각 모음, ESTJ ♥ ISTP :: 채소(CHAESO)",https://www.youtube.com/watch?v=ZGfsI6jmd2M,16108,2023-09-12,0:14:30,
5,"머리부터 발끝까지 민감한 피부 관리 꿀템 추천🛀🏻🧴(바디로션, 트러블 흔적세럼, 백화점 수분크림, 스팟패치 정착템):: 채소(CHAESO)",https://www.youtube.com/watch?v=SX5DdzHrnC4,7597,2023-09-07,0:09:58,
6,"🧸🖍️FAVORITE*。‘ 8월의 잘 쓴템 모음(극손상 네일케어, 아이폰케이스, 스크런치, 캐논V10 추천?, 스킨케어, 촉촉파데 꿀조합) :: 채소(CHAESO)",https://www.youtube.com/watch?v=kH7F7liLS0k,18042,2023-08-31,0:15:29,
7,"WHAT’S IN MY BAG👜❤️‍🔥데일리백/지갑 추천, 브이로그 카메라, 뉴진스 선글라스부터 파우치까지 탈탈털어봄 :: 채소(CHAESO)",https://www.youtube.com/watch?v=fCJSlTdKAho,27696,2023-08-30,0:13:51,
8,"💸재구매를 부르는 쿠팡추천템(뷰티부터 자취꿀템, 홈트 용품까지 모두 모아) :: 채소(CHAESO)",https://www.youtube.com/watch?v=Zhu7crjHLyA,17118,2023-08-27,0:12:25,
9,"오랜 기간 매일 착용해도 안 질리는 악세사리 추천템`*。(실버, 골드 주얼리 추천 / 까르띠에 여자시계 / 애착템) :: 채소(CHAESO)",https://www.youtube.com/watch?v=vrA8tFqDMQ4,35350,2023-08-26,0:13:58,
10,"🛋️24시간 집콕 자취 브이로그∪。*゜새카메라 언박싱, 화장품 하울, 미니 겟레디, 홈케어 추천템, 셀프젤네일, 다이어트 식단 :: 채소(CHAESO)",https://www.youtube.com/watch?v=jj0DbM9RSHY,23974,2023-08-19,0:23:45,
