,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"자기계발 힐링주간 브이로그 (위스키 스터디 모임, FW 뉴시즌 신상 올드머니룩 준비, 카페에서 책 읽기, 요리학원 보양식 장어요리 & 구절판 만들기)  |  치유 CHEEU",https://www.youtube.com/watch?v=PN-6F9W8GPc,8797,2023-09-13,0:12:48,
1,"30대 후반 노처녀의 보양 브이로그! 러닝 메이트들과 배꼽 빠지는 하계 MT (헌팅, 방팅의 현실), 혼자 칵테일 마시는 멋진 언니(주정뱅이), 블러셔 뭐예요? | 치유 CHEEU",https://www.youtube.com/watch?v=wqGYbd565-o,9036,2023-09-01,0:10:29,
2,"제주에서 강아지랑 산책하고 요가하고 제철 음식 먹는 일상 (인스타와 현실의 괴리?! 위기를 기회로 전환하는 방법, 챗 GPT, 은비복숭아, 제주 갈치)  |  치유 CHEEU",https://www.youtube.com/watch?v=uqKel68RvBY,10464,2023-08-23,0:13:32,
3,"171cm 53kg 루이비통 2023 컬렉션 입어보기! (잘 먹고 잘 노는 브이로그👍🏻 이태원 맛집추천, 힙한카페, 압구정 한식집 추천)  |  치유 CHEEU",https://www.youtube.com/watch?v=sFoBybIdcH8,18030,2023-08-07,0:11:01,
4,"코로나 끝나고 4년만에 간 일본 도쿄 여행 Vlog (긴급여권 당일 발급 방법, 도쿄타워 시티뷰 호텔 추천, 나를 욕하는 사람 대처법, ENFP들의 우정여행) | 치유 CHEEU",https://www.youtube.com/watch?v=p9iysevpzeM,18855,2023-07-27,0:24:48,
5,"센스 있는 5만 원대 선물 추천! 어디서도 볼 수 없었던 유니크 & 실용적인 스페셜 아이템 🎁 (썸남, 친구, 부모님 선물로 강추!)  |  치유 CHEEU",https://www.youtube.com/watch?v=f1g7Kf2ZdV4,11610,2023-07-19,0:08:29,
6,"퀸카들의 파티, 술 그리고 연애💕 (파티 모음집! 청담동 핫플 추천, 미술 유학?)  |  치유 CHEEU",https://www.youtube.com/watch?v=-2IDcsQjMjA,29705,2023-06-16,0:19:59,
7,패션회사 사장의 의류 제작 vlog  |  치유 CHEEU,https://www.youtube.com/watch?v=9DhzMngTyOo,40668,2023-05-19,0:34:27,
8,"제주에서 혼자 일주일 살기 (바프촬영, 노상포차 혼술토크, 최근 다시 시작된 나의 공황장애 이야기, 요가)  |  치유 CHEEU",https://www.youtube.com/watch?v=zKaOaEBH_v8,43115,2023-05-02,0:20:31,
9,"혼자사는 롯데 시그니엘 집꾸미기! (맥시멀리스트, 루이비통 인테리어 소품, 가구 재배치, 인생향수, 미드센츄리 드세데, knoll, 노만체르너 가구 소개)  |  치유 CHEEU",https://www.youtube.com/watch?v=gv56RgF_b1Y,37728,2023-04-14,0:15:34,
10,"200만원으로 멘탈관리 하는 법 (셀프 꽃꽂이, 치유의옷장 신상 구경해요)  |  치유 CHEEU",https://www.youtube.com/watch?v=hfxglPiA45o,25835,2023-04-11,0:12:39,
11,"한 달 생활비 최소 1,000만원 쓰는 커리어우먼의 무지출 챌린지 (유튜브 수익 포기하고 올리는 영상! 학력위조?? 돈 안쓰고 깨달은 것들)  |  치유 CHEEU",https://www.youtube.com/watch?v=QaCSAAlfBRc,37599,2023-03-31,0:19:20,
12,"햅삐 제주! (웃음과 사랑이 넘치는 일상 시트콤❤️ 만남이 있으면 이별도 있지, 한 달 내내 생일파티, 신상 촬영, 호텔조식 추천) | 치유 CHEEU",https://www.youtube.com/watch?v=IyahUqqqR_o,53240,2023-03-27,0:23:02,
13,"신년을 맞이하는 커리어우먼의 자세 (미라클모닝 새벽 5시 독서클럽 & 토론회, 신상 촬영 맛보기, 양스러운 탈색(?), 연중행사 꽃꽂이 모임, 집밥 치선생)  | 치유 CHEEU",https://www.youtube.com/watch?v=N9MZMyJrsnI,20098,2023-03-23,0:11:37,
14,"갓생 커리어우먼 라이프 (새벽 운동, 재택근무, 홈오피스 공개, 콘란샵 VIP 행사, 데이트 코스 추천, 늦깎이 셀프 메이크업 입문, 운동하고 야식먹는 집순이) | 치유 CHEEU",https://www.youtube.com/watch?v=9sTK02HYh00,28173,2023-03-21,0:20:46,
15,"오픈런 도대체 왜 해요? (에르메스, 샤넬, 디올 오픈런 & 자라 봄 신상 쇼핑 )  | 치유 CHEEU",https://www.youtube.com/watch?v=xzcmukzQUeA,109505,2023-03-03,0:19:53,
16,"재료비만 50만원 한우 갈비찜만들기 (바카라 크리스탈 언박싱, 한복입고 경주여행 vlog) | 치유 CHEEU",https://www.youtube.com/watch?v=_qBc6zoPRsM,26853,2023-02-28,0:14:39,
17,"파티퀸의 연말 & 신년 홈 파티🎉 (시그니엘 홈파티, -3kg 다이어트 레시피, 마이클볼튼 내한공연) | 치유 CHEEU",https://www.youtube.com/watch?v=XL3qPG0fNVo,30595,2023-02-14,0:20:18,
18,"새해맞이 시그니엘 집청소하기 (살림초보 정리정돈 집안청소, usm haller 수납 정리, 집꾸미기, 정리꿀템, 다이소 정리정돈, 다이어트꿀템) | 치유 CHEEU",https://www.youtube.com/watch?v=MoFMtQwKTdc,58201,2023-02-02,0:18:10,
19,"샤넬 19백 239만원에 득템하는 방법 👜 에르메스, 샤넬, 루이비통 랜선 가방 룸 투어  | 치유 CHEEU",https://www.youtube.com/watch?v=74R3T-61yA4,56920,2023-01-31,0:15:34,
20,"명품백 사지마세요 (입문백추천, 크리스마스, 리릭 스피커, 아이폰 14, 난자채취, 홈케어 끝판왕) | 치유 CHEEU",https://www.youtube.com/watch?v=N-mH-c07IHg,42523,2023-01-12,0:20:45,
21,배낭여행가서 에르메스 버킨을 사고 나는 40억을 벌었다 | 치유 CHEEU,https://www.youtube.com/watch?v=Rj1jlUMt8Rs,62910,2023-01-03,0:11:28,
22,대구 투어 + 먹방 + 쇼핑💝 | 치유 CHEEU,https://www.youtube.com/watch?v=aAWaXpLn4-4,20860,2022-12-31,0:15:14,
23,30대 싱글 자취녀의 따뜻한 겨울집밥 브이로그 | 치유 CHEEU,https://www.youtube.com/watch?v=YEweD5xZyVs,31297,2022-12-15,0:11:46,
24,"파티퀸 치유 생일파티 🎉, (1400만원짜리 알렉산더맥퀸 드레스, 생일 선물 언박싱, 에르메스, 샤넬 , 시그니엘 VLOG) 🎁🎂✨ | 치유 CHEEU",https://www.youtube.com/watch?v=GWgNKYGfZkw,71029,2022-12-08,0:19:37,
25,"30대 싱글 잠실 주민 여자의 동네 투어 (시그니엘 레지던스 겨울맞이 집꾸미기, 와인 1병에 1억, 잠실 최애 맛집 소개, 싫어하는 사람 유형 tmi) | 치유 CHEEU",https://www.youtube.com/watch?v=LvJbD7bvA-U,69224,2022-11-23,0:17:05,
26,"남들보다 빠르게 부자가 되는 방법 (파라스파라 리뷰, 돈이 모이는 방법, 한살이라도 어릴 때 배워야 하는 것들) | 치유 CHEEU",https://www.youtube.com/watch?v=CyrBQ-H0V1c,39150,2022-11-17,0:18:19,
27,보이스피싱에 사기당하고 백화점에서 스트레스 풀기 (feat.테이스티대구) | 치유 CHEEU,https://www.youtube.com/watch?v=PpjRHbmk5t0,33311,2022-11-11,0:17:53,
28,"친구없음 어때? 혼자 집에 있으면 하는 일들 (가을맞이 셀프 인테리어, 이광호 작가 전시회, 명품그릇 소개, 잠실사는 사랑들이랑 소개팅하는 vlog) | 치유HEEU",https://www.youtube.com/watch?v=cULElp8d6eM,38930,2022-10-24,0:22:34,
29,매일이 갓생 챌린지인 치유의 일상vlog (feat.랜덤박스 보물선) | 치유 CHEEU,https://www.youtube.com/watch?v=-Eri2BD1dJs,85814,2022-08-31,0:25:11,
30,퀄리티? 이랴도 돼? 루이비통x에어포스원1 솔직리뷰  | 치유 CHEEU,https://www.youtube.com/watch?v=n8mh_SAps9E,34789,2022-08-09,0:13:26,
31,[혼술토크] 남의 시선에서 자유로워지기 | 치유 CHEEU,https://www.youtube.com/watch?v=I-7NrGZ4pPM,54068,2022-07-11,0:25:45,
32,3kg가 빠지는 마법스프 레시피 (프로 등산러의 눈바디 복근 공개 / 셰프 남사친이 집에 놀러오면 생기는 일/ 요리하고 술먹고 커피랑 포도 공부하는 vlog) | 치유 CHEEU,https://www.youtube.com/watch?v=OquGGMPGo9k,79877,2022-02-28,0:25:20,
33,"명품백 너무 많아서 이제는 가구 쇼핑합니다. 30대 싱글 여자의 시그니엘 드레스룸 공개, 명품 가방 관리법, 최애 향수 추천, 홈 Bar | 치유 CHEEU",https://www.youtube.com/watch?v=r-SbIchZ1hw,188003,2022-02-16,0:33:24,
34,30대 맥시멀리스트 싱글 여자의 홈투어 (시그니엘 3년차 입주민 랜선 집들이) Part1 | 치유 CHEEU,https://www.youtube.com/watch?v=Zvt65iYh2js,372718,2022-02-01,0:28:31,
35,Q.제품 언제 들어오나요? A.들어올지 안 들어올지 저희도 몰라요 | 치유 CHEEU,https://www.youtube.com/watch?v=FIWqmPWzbrk,154876,2021-12-10,0:18:11,
36,"죽고싶지만 오래 살고싶어 (아빠의 과거, 산삼 먹방, 매일 러닝하며 깨달은 것들, 양평 부모님 댁에서 차박 캠핑하는 vlog) | 치유 CHEEU",https://www.youtube.com/watch?v=8P4KRjFgtAI,193708,2021-12-03,0:25:10,
37,신상 호텔 스위트룸에서 하루에 천만원 썼어요 (feat.남자친구와의 사업/동업 tmi) | 치유 CHEEU,https://www.youtube.com/watch?v=Tf8vPXZbkwQ,134494,2021-11-30,0:17:05,
38,VIP 비밀 금고 최초 공개? 부자랑 놀아야 부자가 된다 l 치유 CHEEU,https://www.youtube.com/watch?v=i4XVRNJq2oE,54469,2021-11-23,0:17:59,
39,지금 샤넬백 사면 후회합니다 l 치유 CHEEU,https://www.youtube.com/watch?v=178B2pN3m6g,236350,2021-10-15,0:20:38,
40,안녕하세요 치유입니다. (유튜브 쉬는동안 뭐하며 살았는지 근황 보고) 보고싶었오요 l 치유 CHEEU,https://www.youtube.com/watch?v=03bGQgxLf6Y,131841,2021-10-08,0:36:51,
41,여기.. 미슐랭 레스토랑 맞습니다.. 숟가락 안주는 레스토랑.... 가간 (Gaggan) 리뷰 l 치유 CHEEU,https://www.youtube.com/watch?v=EuWsJf1dwZ0,253286,2020-03-19,0:15:43,
42,Pack With CHEEU❤️ 프로 여행러의 3박 4일 방콕 여행같이 짐 싸요 🌸 (짐 잘 싸는 꿀팁 대 공개) | 치유 CHEEU,https://www.youtube.com/watch?v=km7ZzVxRW8A,98567,2020-03-03,0:13:21,
43,제가 무슨일 하는지 궁금하신가요? 의상 제작과정 모두 공개합니다 (치유 아뜰리에 소개) | 치유 CHEEU,https://www.youtube.com/watch?v=zFxTWG0IY-Y,128630,2020-02-28,0:17:54,
