,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,파리 현지 친구보증! 파리 가면 꼭 가봐야할 잇 플레이스,https://www.youtube.com/watch?v=inoWjoG-7Mk,26873,2023-08-25,0:06:25,
1,"파리지앵 현지인도 줄서는 파리 맛집 2곳 소개! (지지, 마리아주 프레르)",https://www.youtube.com/watch?v=BUjRirarn1Q,26319,2023-08-18,0:05:23,
2,역대급 아름다움 그리스 산토리니! 찍는 족족 인생 사진 가득한 호텔과 맛집 소개,https://www.youtube.com/watch?v=8MfrJ3CJk0A,54658,2023-08-11,0:09:11,
3,미국생활 25년차 동생의 왓츠인마이백. 미국에는 없어서 못산다는 추천템 리스트.,https://www.youtube.com/watch?v=SinDWsttODc,133012,2023-08-04,0:07:14,
4,요즘 예쁜 MZ세대는 미우미우를 입는다고 해서 코코언니도 사봤습니다,https://www.youtube.com/watch?v=xrBUtuZubhA,36260,2023-07-28,0:04:32,
5,"디올의 여름 컬러는 핑크! 모자부터 블라우스, 라운지 의자까지 풀세트로 보여드립니다.",https://www.youtube.com/watch?v=gl3XpeYaIuM,42470,2023-07-21,0:05:10,
6,명품 입문자라면 합리적인 가격의 디올을 추천합니다~  디올 가을옷 구경,https://www.youtube.com/watch?v=d5Y4dPezt60,35630,2023-07-14,0:04:24,
7,제일 비싼 샤넬 공방컬렉션에서 건진 까멜리아 데님팬츠 + 데님 백팩,https://www.youtube.com/watch?v=JH4qXBDToWU,46780,2023-07-07,0:04:51,
8,"여름 휴가룩에는 무조건 라피아지~ 이미 품절이라는 샤넬모자, 셀린느 샌들, 미우미우 가방 명품 라피아 모음",https://www.youtube.com/watch?v=5DvjawPpobQ,43939,2023-06-30,0:04:18,
9,파리 샤넬에서 몽땅 털어온 머리끈 모음,https://www.youtube.com/watch?v=8xvMbK3G-CQ,34434,2023-06-23,0:04:21,
10,아식스 VS. 샤넬 데일리로 신기좋은 최고의 운동화는?,https://www.youtube.com/watch?v=SfvXSsxIIZo,33496,2023-06-16,0:05:37,
11,경제적인 명품 쇼핑을 원한다면 디올에 투자하세요,https://www.youtube.com/watch?v=xI8hmJDB_Gw,75454,2023-06-09,0:05:08,
12,질문 쇄도했던 인스타 패션템 5가지! 데일리룩부터 하객룩까지 스타일링 비법 공개,https://www.youtube.com/watch?v=OkyYG_kCMK4,57461,2023-06-02,0:05:51,
13,"가격은 10만원 이하, 만족도는 럭셔리! 삶의 질 상승템 추천 (+ 여행용 오거나이저 세트 증정 이벤트)",https://www.youtube.com/watch?v=c8HttB-cBp4,44651,2023-05-26,0:07:47,
14,"셀럽만 신는다는 샤넬 시스루 메리제인, 코코언니가 도전해봤어요",https://www.youtube.com/watch?v=wOs2eIRamPs,39260,2023-05-19,0:04:56,
15,건강한 이태리식 다이어트 식단 공개! +공복에 안먹어도 되는 유산균,https://www.youtube.com/watch?v=abDk97vgHp4,29556,2023-05-12,0:08:10,
16,아직도 샤넬 에르메스 롤렉스 오픈런 하세요? 강남부자 1%의 선택 캉카스백화점 전격공개,https://www.youtube.com/watch?v=YxnJE4vWnG0,124183,2023-05-05,0:07:57,
17,부산토박이 코코언니의 부산여행 1박2일 브이로그.  찐로컬맛집 알려줄게~,https://www.youtube.com/watch?v=atH9rlRqSgk,77157,2023-04-28,0:09:43,
18,샤넬 모자 쇼핑의 끝판왕이 나타났다!!,https://www.youtube.com/watch?v=ysLlvzmWWJ8,36315,2023-04-21,0:03:25,
