,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,겨울 무드 일주일 코디❄️ 좋은 사람들과 맛있는 거 먹으며 보내는 연말 Vlog. 연말룩. 파티룩. 하객룩. 생일파티,https://www.youtube.com/watch?v=I7d-vmP61bk,1249,2022-12-23,0:10:43,
1,하나씩 채워가는 행복♥ 예비신혼부부의 신혼집 꾸미기 Vlog. 오늘의 집. 드로잉카페.  발매트 추천. 네스프레소 커피머신,https://www.youtube.com/watch?v=8nN_l7b65wI,4416,2022-12-03,0:06:09,
2,하루에 10시간만 공시생 VLOG✏️ | 아이패드 필기. 열품타. 스터디카페. 스터디윗미,https://www.youtube.com/watch?v=5d8wiZ6C5pQ,2219,2022-03-03,0:05:32,
3,손목 얇은 사람도 맞는 애플워치 스트랩 추천 1편 | 애플워치 줄질👛 |정품비교,https://www.youtube.com/watch?v=q1KLTXHhy70,15637,2021-05-16,0:06:19,
4,아이패드로 영상편집 쉽게하기(feat.VLLO) | 영상편집 어플 추천 | 아이패드 에어3 사용 팁,https://www.youtube.com/watch?v=Hx9pz77dU4Y,137066,2020-10-13,0:08:36,
5,"가을 컬러로 꾸며입은 코디 룩북(데이트룩,카페룩) | autumn lookbook",https://www.youtube.com/watch?v=3tFSGPgCipU,8190,2020-09-27,0:11:42,
6,"아이패드 에어3 언박싱 ASMR | 블루투스 키보드 추천, 로지텍 마우스 | ipad air3 unboxing asmr",https://www.youtube.com/watch?v=g5zVDLyZfdY,7873,2020-09-21,0:06:24,
7,👝과제하다 찍는 대학생의 실용템 왓츠인마이백👝(노트북/아이폰SE2/악세사리추천) | What’s in my bag,https://www.youtube.com/watch?v=unLwm1NBFUo,87394,2020-05-25,0:09:56,
8,"왓츠인마이백. 취향다른 친구들 가방털기 (취준생,카페사장님,직장인) | what’s in my bag?",https://www.youtube.com/watch?v=ukesEryX46o,189338,2020-04-23,0:14:57,
9,돌아온 무채색 겨울 코디룩북(feat.일주일) | 겨울코디.데일리룩 | VLOG,https://www.youtube.com/watch?v=vBuaeMsniO0,33861,2019-11-24,0:14:10,
