,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"바람막이, 여기서 사세요!",https://www.youtube.com/watch?v=qvMih90xES0,19006,2023-09-24,0:08:31,
1,폼 미친 가을 아우터 7가지,https://www.youtube.com/watch?v=yaDr8l3NW-g,27662,2023-09-22,0:09:14,
2,지금 트렌드가 중요한게 아니야,https://www.youtube.com/watch?v=H8qydlanytY,16461,2023-09-18,0:09:01,
3,진짜 멋을 아는 브랜드 추천,https://www.youtube.com/watch?v=-vwC297aqI8,29481,2023-09-15,0:08:05,
4,3분컷 핵쉬운 남자 헤어스타일링,https://www.youtube.com/watch?v=UVHNMvvLi1M,18038,2023-09-14,0:09:23,
5,가을 필수템 후드티 5가지 추천드립니다,https://www.youtube.com/watch?v=S2xM2ebTvM0,34484,2023-09-12,0:09:22,
6,오래 기다렸지? 가을 아우터 6가지 추천,https://www.youtube.com/watch?v=6ZrpkLeuemY,36820,2023-09-09,0:10:29,
7,이번 가을 이 브랜드는 인정이지 ㅋㅋ,https://www.youtube.com/watch?v=9DHOn3hAZtQ,30261,2023-09-08,0:07:49,
8,본격적으로 준비하는 가을 패션 하울,https://www.youtube.com/watch?v=zb6Yvvy4G5U,32581,2023-09-06,0:10:40,
9,가을코디 15가지! 이렇게 입자,https://www.youtube.com/watch?v=51oFovXkfzg,33452,2023-09-01,0:03:04,
10,가격도 괜찮은데 예쁜 가을 브랜드 추천,https://www.youtube.com/watch?v=H87z0WYyEZ4,34911,2023-08-30,0:07:09,
11,2023 가을 쇼핑 가이드!!!,https://www.youtube.com/watch?v=dHy-TeRLwEY,36777,2023-08-29,0:12:04,
12,내 기준 가을 기본템 총정리,https://www.youtube.com/watch?v=FD4SQE4R0KM,72330,2023-08-26,0:10:57,
13,2018년~2023년 가을코디 변화,https://www.youtube.com/watch?v=oHXDaArN8iU,24048,2023-08-24,0:09:02,
14,이번 가을 이 브랜드에서 준비합시다,https://www.youtube.com/watch?v=QARQmHxKWIU,41275,2023-08-22,0:07:19,
15,2023 FW 최애 브랜드 10가지! 역대급인데..,https://www.youtube.com/watch?v=tF1IAs8Zuow,30428,2023-08-19,0:14:11,
16,내가 사고 가장 만족하는 옷들 전부 보여드림,https://www.youtube.com/watch?v=i2HXrStQsZY,44656,2023-08-16,0:12:19,
17,가을에 꼭 입어봐야할 브랜드,https://www.youtube.com/watch?v=HLHuotwVjaE,42264,2023-08-14,0:08:11,
18,필수템 가방 전부 다 가져왔습니다,https://www.youtube.com/watch?v=Yv3_pP7oxYc,25719,2023-08-09,0:09:33,
19,8월 지금 딱 입기좋은 남자 코디 25가지,https://www.youtube.com/watch?v=yuGVHEs2nCc,27942,2023-08-05,0:04:09,
20,내가 사고 대만족한 신발 10가지,https://www.youtube.com/watch?v=9HxlqigNP5g,70504,2023-08-03,0:08:29,
