,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"5회 77.1% / 6회 67.4% 합격률 / 맞춤형화장품조제관리사 2023 촬영 All New 7회 대비 교재/영상강의 김상현교수(핑피박) ""오리엔테이션""(학습방법) 소개",https://www.youtube.com/watch?v=kwQiyu4iQ5A,1788,2022-11-01,0:38:18,
1,"합격률77.1% / 맞춤형화장품조제관리사 2022 촬영 All New 6회 대비 교재/강의 김상현교수(핑피박) ""오리엔테이션""(학습방법) 소개",https://www.youtube.com/watch?v=_TdEj-j9g6k,2387,2022-04-04,0:43:27,
2,맞춤형화장품조제관리사 김상현교수(핑피박) 직강 “맛보기 강의” (강추) 꼭 보시고 결정하세요,https://www.youtube.com/watch?v=r0I-GWMJnQs,5491,2021-05-30,0:35:36,
3,맞춤형화장품조제관리사 [33차시] : 화장품 원료_기능성고시원료 by 핑피박 김상현교수,https://www.youtube.com/watch?v=jryiLWaiFxU,1887,2021-05-30,0:15:41,
4,맞춤형화장품조제관리사 [69차시] : 피부 및 모발 생리구조_표피구조 (기초 이론) by 핑피박 김상현교수,https://www.youtube.com/watch?v=xspIP9j0HNI,2216,2021-05-30,0:25:56,
5,맞춤형화장품조제관리사 [26차시]  : 화장품 원료_유성원료 (동물성원료) by 핑피박 김상현,https://www.youtube.com/watch?v=mp2h4p8_ttU,1190,2021-05-30,0:16:10,
6,맞춤형화장품조제관리사 [28차시]  : 화장품 원료_계면활성제 by 핑피박 김상현교수,https://www.youtube.com/watch?v=zN27VJ4rIdU,1183,2021-05-30,0:17:09,
7,맞춤형화장품조제관리사 [9차시]  : 맞춤형화장품 판매업 신고 & 폐업 신고 by 핑피박 김상현교수,https://www.youtube.com/watch?v=Ih2ysxBnkJU,431,2021-05-30,0:06:10,
8,맞춤형화장품조제관리사 [31차시] : 화장품 원료_보존제 & 향료 by 핑피박 김상현교수,https://www.youtube.com/watch?v=60iVyZvtwC4,888,2021-05-30,0:11:35,
9,"맞춤형화장품조제관리사 [16차시]  : 화장품의 사후관리_화장품 기재,표시 사항 by 핑피박 김상현교수",https://www.youtube.com/watch?v=uR2EBVZx4LQ,534,2021-05-30,0:18:52,
10,맞춤형화장품조제관리사 [40차시] : 화장품 관리_사용상 주의사항 by 핑피박,https://www.youtube.com/watch?v=rLbzm8vXSiE,904,2021-05-30,0:30:38,
11,"맞춤형화장품조제관리사 [7차시]  : 화장품영업의 종류 (제조업자, 책임판매업자, 맞춤형화장품조제관리사) by 핑피박 김상현교수",https://www.youtube.com/watch?v=lzXQ6rAVxUU,662,2021-05-30,0:10:08,
12,맞춤형화장품조제관리사 [6차시]  : (1) 화장품법의 정의_맞춤형화장품 & 화장품의 유형 by 핑피박 김상현교수,https://www.youtube.com/watch?v=cLhprr_4V-I,643,2021-05-30,0:20:18,
13,"맞춤형화장품조제관리사 [17차시]  : 화장품의 사후관리_화장품 표시,광고 (1) by 핑피박 김상현교수",https://www.youtube.com/watch?v=HkO_nLkcuEo,384,2021-05-30,0:14:33,
14,화장품 다이어트 아무렇게나 하면 피부 나빠집니다. 올바른 화장품 다이어트 방법 ^^ by 핑피박,https://www.youtube.com/watch?v=i2qdpeZ1oHU,13269,2020-05-07,0:10:34,
15,실내에서도 선크림 발라? 말아? 유리창이 있는데! by 핑피박,https://www.youtube.com/watch?v=e3vKkV91svE,21912,2020-04-30,0:05:50,
16,"수부지 원인 및 관리법, 수부지 세안법으로 이젠 정말 수부지 탈출하자 by 핑피박",https://www.youtube.com/watch?v=Nn8Tjnfq1pw,29749,2020-04-23,0:13:41,
17,"레드와인, 폴리페놀 항산화 성분이 함유돼있으니 피부에 바르면 피부가 좋아질까? by 핑피박",https://www.youtube.com/watch?v=NZ3YHP7iRGw,6677,2020-04-16,0:02:59,
18,"아토피 치료방법, 자녀를 직접 관리 성공해본 경험담! 한번 꼭 들어보세요... by 핑피박",https://www.youtube.com/watch?v=_TecjiGHlWk,7088,2020-04-09,0:21:33,
19,여드름 압출 후 후시딘? 마데카솔? 뭘 발라야 좋을까? by 핑피박,https://www.youtube.com/watch?v=0QmSpPjAwWY,216512,2020-04-02,0:08:31,
20,개기름=피지 꼭 나쁜건 아니에요. 인생 깁니다 ^^ by 핑피박,https://www.youtube.com/watch?v=E225RxKfEWo,9433,2020-03-26,0:07:55,
21,"필러 후기, 필러 부작용 셀프 측정법, 안전한 필러시술 병원 선택법 by 핑피박",https://www.youtube.com/watch?v=fW1027sRSsM,5728,2019-12-19,0:14:00,
22,"여드름 압출 후, 패치 사용...(test 자료) 압출 후 바로 부착하면 공기 안통해서 재생 안된다? by 핑피박",https://www.youtube.com/watch?v=GpVN3Sezt2U,56104,2019-12-12,0:06:47,
23,"좁쌀여드름 #1 원인, 추출 잘하는 법, 압출 잘하는 피부과 찾는법 by 핑피박",https://www.youtube.com/watch?v=YzL1Ng_aa1Q,24633,2019-11-28,0:05:58,
24,"올인원화장품! 과연 토너,에센스,크림 따로 바르는 것과 효과 차이 어떨까? by 핑피박",https://www.youtube.com/watch?v=VaBMAFFYMxw,55727,2019-11-21,0:04:36,
25,에센스 제대로 사용하려면 꼭 크림을 발라주셔야해요! 에센스 & 크림 사용법 by 핑피박,https://www.youtube.com/watch?v=uxDqBxYA5Mg,8067,2019-11-14,0:05:44,
26,"로션 vs 수분크림 차이, 피부타입 / 계절에 따라 내 피부에는 뭘 바를까? by 핑피박",https://www.youtube.com/watch?v=7bOGUQBUPgI,47905,2019-11-07,0:07:29,
27,"술 vs 담배 피부에 더 안좋은 것은? 여드름,색소,노화,예민 등 피부 문제에 따라 다르다 by 핑피박",https://www.youtube.com/watch?v=Thld55QwMn8,47959,2019-10-31,0:06:50,
28,바세린 피부암? 바세린 바르면 피부 탄다?진실은?? 2부 못다한이야기 by 핑피박,https://www.youtube.com/watch?v=jwacQuuEZ2I,139324,2019-10-24,0:06:00,
29,"(약국)도미나크림 vs (약국)랑스크림  vs 미백기능성화장품 효과, 사용법, 부작용 by 핑피박",https://www.youtube.com/watch?v=Pa3yPgXzcLI,270402,2019-10-17,0:10:35,
30,"탈모 예방, 치료. 탈모레이저 = 헤어빔 6개월 사용 솔직 후기 by 핑피박",https://www.youtube.com/watch?v=ZaUf35edwDU,37988,2019-10-10,0:05:38,
31,스티바에이크림 효능 vs 부작용 주의사항 ... 제발 알고 사용해주세요. by 핑피박,https://www.youtube.com/watch?v=DFvaTkcXw-0,90794,2019-10-03,0:07:46,
32,"다이어트. 3개월간 –13kg 감량 성공한, 간헐적단식 리얼후기_먹을거 먹으면서 뱃살빼기 성공, 얼굴 작아지기 성공 by 핑피박",https://www.youtube.com/watch?v=Xe6f9bUb6i4,14624,2019-09-26,0:28:20,
33,바세린. 잘 못 바르면 독? 잘 바르면 땡큐! 제발 알고 발라주세요 by 핑피박,https://www.youtube.com/watch?v=mA_oak-Wigw,663133,2019-09-19,0:10:17,
34,"여드름/비만 유발하는, 7대 커피전문점 & 오렌지주스,우유,미에로화이바, 요거트 등 나쁜 순위를 공개합니다 by 핑피박",https://www.youtube.com/watch?v=AWLLkG0r284,19527,2019-09-05,0:10:03,
35,"콜라겐, 히알루론산 성분 화장품으로 피부 주름 분명히 도움됩니다! by 핑피박",https://www.youtube.com/watch?v=D4l2tM6hU48,30858,2019-08-29,0:05:52,
36,"작은 얼굴, 얼굴축소관리 리얼후기. 다이어트 후 처진 얼굴 리프팅&사이즈 변화 by 핑피박",https://www.youtube.com/watch?v=uP6WvPg6-l0,17616,2019-08-22,0:13:59,
37,"모낭충 화장품... 마케팅이 아닌, 진짜 모낭충 이야기 by 핑피박",https://www.youtube.com/watch?v=s2I0pEJX-L4,32047,2019-08-15,0:07:58,
38,"피부 유전 극복가능할까? 여드름, 아토피, 닭살, 기미, 탈모 등 대부분이 주로 유전이다. by 핑피박",https://www.youtube.com/watch?v=QW_OudVuKZs,7497,2019-08-08,0:06:51,
39,"비립종 레이저 추출 vs 니들 추출, 2명에게 관리(시술)한 영상 및 시술 후 만족도 인터뷰 by 핑피박",https://www.youtube.com/watch?v=LzGQM0Jq5J0,332082,2019-08-01,0:19:25,
40,"심각한 닭살, 아토피, 비립종, 화농성여드름, 모세혈관 확장 등등 ... 과연 화장품만으로 해결될까? by 핑피박",https://www.youtube.com/watch?v=XzVj-zNPm4s,6651,2019-07-18,0:05:17,
41,"햇빛 알레르기 예방 쿨팁 2가지, 셀프태닝 그리고 인공선탠 노하우, 스테로이드연고는 이제 그만 by 핑피박",https://www.youtube.com/watch?v=lnwz6ILviyM,10449,2019-07-11,0:09:01,
42,하얀피부 vs 검은피부... 더 좋은 피부는 무엇일까? 나름 장단점이 있답니다 by 핑피박,https://www.youtube.com/watch?v=5g5d-2OCwWE,5495,2019-07-04,0:04:58,
43,"마사지 효능 원리, 마사지는 사랑의 호르몬을 분비, 스킨쉽을 해도 마사지 효과 나타난다 by 핑피박",https://www.youtube.com/watch?v=fdW1svPp1c8,10075,2019-06-27,0:10:52,
44,"화장품 사용기한 의미, 그대로 믿어도 될까? 화장품 보관방법 by 핑피박",https://www.youtube.com/watch?v=Ou-K-W-3_mg,27367,2019-06-20,0:12:57,
45,"쥐젖 원인, 제거방법, 본인의 쥐젖을 실제 제거한 레이저 치료 장면, 전후 사진 by 핑피박",https://www.youtube.com/watch?v=scJkB2RNeGo,142825,2019-06-13,0:07:35,
46,"아이크림, 아이에센스, 아이젤 효능차이? 사용순서? 하나만 사용한다면 무엇? by 핑피박",https://www.youtube.com/watch?v=MUmGm_OnKSM,4052,2019-06-06,0:05:42,
47,"#6 선크림 바르는 양? 너무 얇게 바르면 효과 없다! 선스틱, 선쿠션, 선밀크 마다 바르는 두께 차이 by 핑피박",https://www.youtube.com/watch?v=PVdMq9Gz3VY,51222,2019-05-30,0:04:43,
48,화장품 올바른 사용순서 ... 그 이유! 판매자도 혼돈되는 너무도 많은 화장품의 올바른 사용방법 by 핑피박,https://www.youtube.com/watch?v=4jMJ9NWD1uk,40952,2019-05-23,0:10:25,
