,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"10년째 하는 시술없이 브이라인 만드는 최고의 방법👍탈모,볼처짐,팔자주름 한방에 해결!!",https://www.youtube.com/watch?v=Uq2heHond_o,14849,2023-09-17,0:06:29,
1,종갓집 시어머니랑 물김치 만들기 브이로그/김치에 이걸 넣으면 사이다보다 더 톡 쏘고 깊은 맛이 나요(추석음식 추천),https://www.youtube.com/watch?v=4ccAhfG4Ij4,9082,2023-09-09,0:08:40,
2,"팔자주름 완전정복 홈케어,시술,습관 팔자주름의 모든것!!효과검증 팔자주름 쫙~피는 최고의 마사지👍",https://www.youtube.com/watch?v=QWTUDufw3pw,38939,2023-09-02,0:11:20,
3,"40대 동안부부 3년째 먹는 식약처인정 최대함량 콜라겐,엘라스틴 최대혜택 공동구매 12월3일(일) 오픈입니다",https://www.youtube.com/watch?v=oPLf_beIIjM,10494,2023-08-26,0:09:26,
4,"동안습관 모든것 이거 한편이면 끝!!3백만뷰 얼굴운동 절대 하면 안돼요(리프팅운동,입꼬리 올리기,팔자주름없애기)",https://www.youtube.com/watch?v=Kg7na2pqQ0U,29267,2023-08-19,0:08:57,
5,청담샵에서 배운 절대 들뜨지않게 쿠션 바르는법/1분 초간단 연예인 물광메이크업 쿠션의 신세계,https://www.youtube.com/watch?v=SfCNmm10mx4,74554,2023-08-12,0:08:01,
6,"체지방 감소 식약처인정 다이어트 유산균,발효효소,다이어트커피 최대혜택 공동구매 10월29일(일) 오픈입니다",https://www.youtube.com/watch?v=4C8NpLDFcDg,12358,2023-08-05,0:09:56,
7,전세계 명의들이 인정한 30년 젊게 사는 비결은?이 영상이 당신의 인생을 바꿉니다!!,https://www.youtube.com/watch?v=NfX2XA9tfuM,20581,2023-07-29,0:06:13,
8,"9박10일 먹고 수영하고 쉬고 여기가 천국 세부 보홀 여행 브이로그(헤난리조트,찐맛집들,인생마사지,바캉스룩,보홀여행 꿀팁)여름휴가 이대로 당장 떠나세요✈️",https://www.youtube.com/watch?v=YReZ2V4O6hE,13235,2023-07-22,0:19:21,
9,"수천마리 물고기랑 바다속 데이트 보홀 첫 스쿠버다이빙 4일간의 일기(발리카삭 디이빙,보홀 알로나비치 맛집)",https://www.youtube.com/watch?v=WdaXiLDP4eU,7273,2023-07-15,0:13:29,
10,100만원 주고 배운 모공실종 연예인 베이스 메이크업 다 가르쳐드릴게요!!수정없이 하루종일 깐달걀피부🥚,https://www.youtube.com/watch?v=Ic8Y4uqRbIU,21681,2023-07-08,0:08:02,
11,7년째 사용중인 명품 크림마스크팩 최대혜택 공동구매 10월3일(화) 오픈입니다,https://www.youtube.com/watch?v=9Bq0K7_q4sA,11426,2023-07-01,0:06:43,
12,하나의 삶의 질이 업그레이드 되는 나만 알고싶은 인생템 다 공개할게요 쉿!!비밀~,https://www.youtube.com/watch?v=g8KFRY_uNXY,36145,2023-06-17,0:09:25,
13,3천원으로 얼굴 주름 쫙~펴준다는 바세린?이 영상 꼭 보시고 바르세요🙏(ft:바세린 생활꿀팁),https://www.youtube.com/watch?v=klioKyNwBxA,14296,2023-06-10,0:05:56,
14,요리천재 종가집 시어머니랑 황금 매실청 담그기 요리 브이로그🫒매실청 이렇게 담궈야 독 빠지고 진~해요(남은 매실 200% 활용법),https://www.youtube.com/watch?v=SnNSvFyuShM,13119,2023-06-03,0:10:41,
