,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,aespa 에스파 Dreams Come True MV REACTION | just me being a proud mama for 14 mins straight,https://www.youtube.com/watch?v=lbhUU9U3iyE,1180,2021-12-20,0:14:12,
1,[EN/KO] 확진자 격리치료 브이로그 2편 | COVID vlog part 2,https://www.youtube.com/watch?v=mbUJ4oyv-dQ,989,2021-12-08,0:11:54,
2,"[KR] 샤월의 고잉세븐틴 EGO #1 리액션 | Going Seventeen ""EGO"" #1 reaction",https://www.youtube.com/watch?v=TtTZm_vxcNI,3394,2021-11-01,0:30:14,
3,[EN/KO] 😥😥코로나 확진된 썰 브이로그 1편 | COVID vlog part 1,https://www.youtube.com/watch?v=rn-XyS1DOIE,6805,2021-08-16,0:09:43,
4,TAEYEON 'Weekend' MV Reaction,https://www.youtube.com/watch?v=q8q1H98Fg70,511,2021-07-07,0:16:17,
5,Unboxing & Haul Pt.2 || TAEMIN/ SHINee/ SuperM Albums || Catching up with a Decade of Hiatus,https://www.youtube.com/watch?v=pMevANxx8ao,350,2021-07-03,0:17:30,
6,SHINee / TAEMIN Unboxing & Haul Pt.1 || Concert Vids/Merch || Catching up with a Decade of Hiatus,https://www.youtube.com/watch?v=NkVjUaLNqCk,327,2021-06-27,0:11:16,
7,VLOG | full day dedicated to SHINee | A Day in the life of a Returnee Shawol,https://www.youtube.com/watch?v=s2STz72KEgA,272,2021-05-24,0:05:38,
8,Returnee Shawol's TAEMIN ADVICE MV Reaction,https://www.youtube.com/watch?v=lzd5MHCQow4,1346,2021-05-19,0:17:52,
9,AESPA Next Level MV Reaction,https://www.youtube.com/watch?v=tkkUml1off8,873,2021-05-17,0:09:11,
10,손 빠는 고양이🐱🍼집사가 집에서 일 못 하는 이유.mp4 | Kitty Distracting Human for 3 Mins Straight,https://www.youtube.com/watch?v=lQJCr4admOw,1345,2019-12-19,0:04:32,
11,김거봉 쭙쭙이+꾹꾹이 모음집 | My Cat's Smurgling Compilation,https://www.youtube.com/watch?v=xs1vlJx4JJo,633,2019-11-18,0:02:59,
12,[KR only] 케이캣 페어 박람회 하울 with 거봉&코리,https://www.youtube.com/watch?v=Z2eyeMiv01U,1042,2019-07-26,0:19:21,
13,신부전 고양이 집사의 하루 | Daily Cat Care Routine,https://www.youtube.com/watch?v=-gNuFDRlBD4,3975,2019-06-02,0:25:01,
14,"[EN CC] DIATV 리워드존에서 받아온 기초, 색조, 바디제품 언박싱 | Unboxing Skincare, Makeup & Body Products from my MCN!",https://www.youtube.com/watch?v=NpCFxjaasrY,1396,2019-04-13,0:18:46,
15,[ENCC] 좋아하는 제품+리워드존에서 득템한 제품으로 수다 쩌는 겟레디 | Chatty Get Ready with Me,https://www.youtube.com/watch?v=ch82hyj21eM,1120,2019-03-31,0:18:43,
16,거봉이의 5일 신부전 입원일기 ;ㅅ; | My cat was hospitalized for 5 days...,https://www.youtube.com/watch?v=YftPM19HuTw,759,2019-03-10,0:17:55,
17,미셸판 em코스메틱 트루립글로스 전색상 발색 | Michelle Phan's em Cosmetics True Lipgloss Swatches,https://www.youtube.com/watch?v=AukaqtbwToI,4421,2019-02-25,0:22:32,
