,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,(2탄)예쁜 피부표현을 위해!쿠션 유목민을 위한! 리얼 내돈내산 1일 1쿠션!!쿠션리뷰 2탄!!! 이예요!! 홍띠끄가 평소에 바를 최종1등 쿠션은???,https://www.youtube.com/watch?v=M7w11TdTHKo,3499,2022-10-16,0:23:48,
1,홍띠끄의 피부미인처럼 보이기 첫걸음 쿠션선택!!🤍 쿠션유목민을 위한 내돈내산 1일1쿠션 리뷰 1탄‼️ 궁금한거 사다보니 너무 많 아 동영상을 두개로 나눌수밖에 없었어용😂,https://www.youtube.com/watch?v=yjxoV0t5pRg,2713,2022-10-16,0:17:34,
2,자연스러운 수분광채 폭발!🌊언니가 1년동안 써보고 추천하는 스킨케어 제품들 모두 공개🤍,https://www.youtube.com/watch?v=1hlU1NRpRIQ,3383,2022-05-22,0:20:28,
3,드디어 진단 받고 왔습니다!!홍띠끄의 퍼스널 컬러 진단 결과는??🎨,https://www.youtube.com/watch?v=3yjPUNBVsTI,2619,2021-10-14,0:16:41,
4,⭐️마스크에 묻지않는 메이크업⭐️마스크에는 묻지않아 걱정없고 눈화장만으로도 이쁨 장착하기❤️,https://www.youtube.com/watch?v=NxA_9iMeVZY,2534,2021-05-28,0:19:49,
5,요즘 마스크때문에 화장하기 너무 귀찮지않아요? 파데프리선언!!🙅‍♀️ 톤업크림 비교분석!! 가장 추천하는 톤업크림은 무엇일까요??💙,https://www.youtube.com/watch?v=dOAqUHQbaFU,8867,2021-02-07,0:35:02,
6,"뒷광고 절대 아님❌캠핑가서 12시간동안 쿠캣마켓 먹방 리뷰😆(콘치즈새우,원팩감바스,새우범벅페스토,마라족발,칼바사소세지,직화양념삼겹살,감자탕볶음밥,매콤크림닭갈비,납작막창,부대찌개)",https://www.youtube.com/watch?v=nMdchzCtTjs,2846,2020-12-15,0:25:35,
7,"사이즈도 안맞는 노트북 파우치 들고다니는 강피디한테 새로운 파우치 선물하기💻 | 무직타이거,맥북 파우치,노트북 파우치",https://www.youtube.com/watch?v=Aw3jL0BGyB8,2762,2020-12-11,0:04:20,
8,🎃할로윈 마녀 메이크업🎃 | 환불원정대 제 5의 맴버?쎈언니st 스모키 메이크업🖤,https://www.youtube.com/watch?v=ATDweuroaYs,2580,2020-10-28,0:18:23,
9,"NO광고!! 마스크를 하루종일 쓰고 다녀도 지워지지않는 타투메이크업 ""포렌코즈 특집""",https://www.youtube.com/watch?v=2gX8ap-Ixc8,1659,2020-10-21,0:10:59,
10,강피티가 몰래 준비한 홍띠끄 깜짝 생일파티 같이 구경하실래요??🥳🥳,https://www.youtube.com/watch?v=UQdc7bhV-2w,2577,2020-09-22,0:08:56,
11,[VLOG]급 납치당해서 합천 놀러갔다왔어요..😂😂,https://www.youtube.com/watch?v=yrpPfcF8RBc,2115,2020-08-19,0:13:58,
12,[PUPA] 지속력 끝장나는 스포츠 메이크업! 땀 뻘뻘 흘려도 무너지지않는 워터푸르프 메이크업을 해보자💦,https://www.youtube.com/watch?v=Wjrq8DC-T04,1661,2020-06-09,0:18:34,
13,동안피부 홍띠끄! 의학의 힘을 빌리다??! 내돈주고 한 첫 샤넬주사&더블로리프팅 후기💉,https://www.youtube.com/watch?v=zIkmoDVIfuU,3174,2020-06-04,0:09:06,
14,[CUSHION REVIEW]쿠션 고민하고 있는 유목민들 주목!!📢신상쿠션으로 준비한 1인1쿠션 리뷰~광고없는 100% 내돈 주고 산 솔직한 후기!!🔥과연 1등을 차지한 쿠션은??,https://www.youtube.com/watch?v=DDH3xlNXFw0,20504,2020-05-06,0:30:08,
15,저 결혼해요....❤️웨딩드레스만 10벌 촬영하고 왔어요!!👗 | 달빛스쿠터_부산,https://www.youtube.com/watch?v=FLXcI0INGIk,8722,2020-04-19,0:11:03,
16,'디어달리아' 블루밍 에디션 시크릿 가든 팔레트로 하는 봄맞이 '연보라 메이크업' | Light Purple Makeup,https://www.youtube.com/watch?v=EjolLbsGQcg,4523,2020-04-13,0:16:37,
17,'네츄럴 마스크 메이크업' 마스크 끼고도 살아남는 법! 마스크 끼더라도 우리 예쁘게 껴볼까요??😷,https://www.youtube.com/watch?v=o_jjwpOolbE,1790,2020-04-07,0:09:28,
18,[호-옹삶]'초보 오일파스텔 그림그리기' 강제 집순이 모드중..다들 뭐하고 보내세요?? 너무 심심해서 오일파스텔로 그림이나 그려볼까 하는데 같이 해보실래용??,https://www.youtube.com/watch?v=O4igiJ5gg9U,1478,2020-04-02,0:14:54,
19,에르메스 립스틱 5종 & 구찌 립스틱 5종 비교 리뷰!! 가격차이 두배! 과연 어떤 립스틱이 BEST일까요??,https://www.youtube.com/watch?v=mXthAEPv6zw,9281,2020-03-30,0:24:35,
20,다가오는 봄 메이크업하려다 서양언니 메이크업 해버리기..!! | CLIO 스트릿 파스텔 프로 아이팔레트 6호,https://www.youtube.com/watch?v=5xp3CeBotms,3040,2020-03-17,0:25:52,
21,[GRWM]에스쁘아 리얼아이팔레트 사용해서 10분만에 화장하고 제일 화려하게 간 깡피디 생일파티 VLOG🎂,https://www.youtube.com/watch?v=xDoWX5DWviU,1631,2020-02-27,0:19:40,
22,[GRWM]해외여행가서 물놀이하기전 같이 수다떨면서 준비해볼까요?,https://www.youtube.com/watch?v=6S5EgWcNNv8,1601,2020-02-17,0:09:01,
23,2020년 S/S 메이크업 트랜드는?? 내추럴하면서 빛나는 피부표현과 피넛버터 컬러로 한듯 안한듯 자연스러운 메이크업을 연출해보자✨,https://www.youtube.com/watch?v=SlSuzxazQl8,2834,2020-01-23,0:14:34,
24,'크랩사운드' 사장님과 함께 크랩사운드 메뉴 7가지 먹방!!,https://www.youtube.com/watch?v=ilqh3hYnEKo,1725,2020-01-15,0:18:03,
25,쇼핑몰 12년차 모델이 알려주는 가슴 커보이는 꿀팁&상체 사진 찍는 꿀팁까지 대방출!!!,https://www.youtube.com/watch?v=hkUL62-aWx0,62702,2020-01-08,0:09:39,
26,[LENSSIS] 렌시스에서 핫한 렌즈 4종 리뷰!각 렌즈에 어울리는 메이크업까지 준비했어요! 데일리렌즈/학생렌즈/혼혈렌즈/아이돌렌즈,https://www.youtube.com/watch?v=d8myiUNtun8,6185,2020-01-02,0:07:16,
27,핫한 7가지 쿠션 비교 실험!! 꿀광! 물광! 연예인 피부화장을 위한 광쿠션 리뷰~ 과연 1등을 차지한 쿠션은?,https://www.youtube.com/watch?v=4PAO4wf1DOQ,99038,2019-11-30,0:29:34,
28,일주일동안 3kg 감량 성공 비법 공개!! 지방을 이렇게나 먹는데 살이 빠질수 있는 이유는?? 저탄고지 (키토제닉) 다이어트가 대체 뭐길래!!,https://www.youtube.com/watch?v=f4rN4pK85nc,5006,2019-11-22,0:21:43,
29,[VLOG]호텔 루프탑에서 ' 2019 부산 불꽃축제 ' 구경하기,https://www.youtube.com/watch?v=igt8L1YLXq4,2748,2019-11-14,0:08:01,
30,[GRWM] MAC 홀리데이에디션2019 ' 스파클링 오브 샤인 키트 ' 를 이용한 홀리데이 메이크업!,https://www.youtube.com/watch?v=0JAT0ulcefk,1705,2019-11-11,0:19:04,
31,"[VLOG]주말밤, 여자셋 서면 뿌수기! (feat. ac바,청불)",https://www.youtube.com/watch?v=Gy8QCWRtBxs,12003,2019-11-05,0:14:07,
32,"가을 웜톤 메이크업 2탄, 코랄 립스틱 꿀조합 팁!",https://www.youtube.com/watch?v=iGedIdfOBXY,4013,2019-10-19,0:12:01,
33,에스쁘아 ' 19 F/W 룩북 : 더스티브릭 ' 으로 가을 웜톤 코랄 메이크업 하기!,https://www.youtube.com/watch?v=RxPG8p0NKAY,5222,2019-10-11,0:16:22,
34,에뛰드하우스 ' 메이플로드 ' 로 하는 가을 분위기 업! ' 레드립 메이크업 ',https://www.youtube.com/watch?v=EAmCSjNWORA,3112,2019-09-24,0:19:35,
35,[레드탐구]하늘 아래 같은 레드 없다! 내게 맞는 레드립은? 전격 레드립 비교!,https://www.youtube.com/watch?v=ezQPDF9bfuA,3017,2019-09-16,0:11:38,
36,"[VLOG]여름 막바지, 해운대로 떠나자!(feat. 상국이네)",https://www.youtube.com/watch?v=fcok5-sNKaE,460,2019-08-29,0:15:58,
37,호텔델루나 ' 장만월 커버메이크업 ' Hotel Dal Luna IU Cover Makeup,https://www.youtube.com/watch?v=L_bfj9Pnvlg,451,2019-08-21,0:17:13,
38,[ VLOG]Happy Birthday To HONGTIQUE,https://www.youtube.com/watch?v=X2UfKL8O9N0,371,2019-08-09,0:09:51,
39,[GRWM] 생일파티엔 이렇게 준비하자! ' 코링코 샤밤샤밤 아이섀도우 ' 를 이용한 독보적인 주인공 메이크업,https://www.youtube.com/watch?v=uTg-vVvaSmg,466,2019-08-05,0:18:46,
40,"[VLOG]잘노는 언니, 홍띠끄",https://www.youtube.com/watch?v=f7G_V1xbuuQ,818,2019-07-28,0:07:30,
41,도화살 메이크업 하고 술먹으러 갔더니..그 결과는?? (feat.머리 웨이브 넣는법),https://www.youtube.com/watch?v=Sv1hP8sagyM,5170,2019-07-15,0:11:04,
42,' 도화살 메이크업 ' 코링코 샤밤샤밤 섀도우로 남자 홀리는 관상 만들기!,https://www.youtube.com/watch?v=5EvQ1wOkMPo,2250,2019-07-13,0:21:49,
43,' 워터프루프 메이크업 ' 안지워지는 화장은 없다! 피할수 없다면 이쁘게 지워지자!,https://www.youtube.com/watch?v=Vg9fqoaeA7I,345,2019-07-11,0:13:43,
44,"워터프루프 쿠션의 실체! 대망의 1위는? (feat. 포렌코즈,3ce,더페이스샵,메이시크)",https://www.youtube.com/watch?v=tVG0KOafefs,8866,2019-07-06,0:24:31,
45,[GRWM] 초간단 데일리 메이크업! ' 애플레드 메이크업 ',https://www.youtube.com/watch?v=7clitFQL_Rk,800,2019-07-04,0:16:44,
46,[VLOG] 홍띠끄는 촬영중~/야채곱창 먹방,https://www.youtube.com/watch?v=zUWdqLQDpnk,575,2019-06-28,0:08:52,
47,[GRWM] ' 클리오 프로아이팔레트 ' 데일리메이크업! 옷고르기부터 같이 준비하고 같이 놀자!,https://www.youtube.com/watch?v=tvNvlNjpJRo,1088,2019-06-26,0:20:43,
48,' 글리터 메이크업 ' 페스티벌 메이크업 이렇게 준비하자!,https://www.youtube.com/watch?v=4NBL1haSD6c,455,2019-06-24,0:20:32,
