,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수,채널명
0,"보스이조후쿠오카에서 꼭 해야할 6가지, 뻔하지 않은 후쿠오카 여행하기",https://www.youtube.com/watch?v=02OZK_8FzOM,1444,2023-05-30,0:03:39,31,@Mingokim
1,🌊청량하고 시원한 블루 실버 바다🧜‍♀️ 네일 / Blue sea nails,https://www.youtube.com/watch?v=R4eXK5TWPxc,761,2023-08-19,0:04:37,,benny8282_nail
2,🌈3가지 컬러로 6가지 칠한 느낌 나는 마블 그라데이션 네일 / Neon marble & smile nails,https://www.youtube.com/watch?v=3AQRtRTBJco,2435,2023-07-21,0:03:51,,benny8282_nail
3,🎨수채화 같은 잉크로 빈티지하게 드로잉🖋 네일 / Ink drawing nails,https://www.youtube.com/watch?v=FZalg86QaXA,1616,2023-06-10,0:04:09,,benny8282_nail
4,반전있는 반사 글리터젤로 핑크💗 그라데이션 네일 / Reflective Glitter Pink gradation nails,https://www.youtube.com/watch?v=NNlL-ghkxM0,1342,2023-05-19,0:04:27,,benny8282_nail
5,상큼한 고드름🧊 아이스크림 같은 네온 치크 네일 / Neon cheek nails,https://www.youtube.com/watch?v=xnBM322tLvc,4143,2023-05-14,0:04:31,,benny8282_nail
6,고급스러운 네이비💙 자개 네일 / Navy Mother of pearl nails,https://www.youtube.com/watch?v=Vmp_MfaBHIo,1291,2023-05-05,0:05:29,,benny8282_nail
7,알록달록 프렌치 복숭아🍑 치크 네일 / French cheek nails,https://www.youtube.com/watch?v=MqiNSgBAgz4,7312,2023-04-30,0:03:21,,benny8282_nail
8,몽환적인 보라&파랑 마블 달🌙 네일 / purple&blue marble nails,https://www.youtube.com/watch?v=qrdcyli079E,1658,2023-04-21,0:06:02,,benny8282_nail
9,반짝반짝✨ 핑크빛 얼음 그라데이션 네일 / Ice gradation nails,https://www.youtube.com/watch?v=NgCs5uKZkH4,1203,2023-03-25,0:04:15,,benny8282_nail
10,🐇뽀송뽀송한 파스텔 체크 토끼 네일 / pastel check rabbit nails,https://www.youtube.com/watch?v=WPNVyD_At3M,1840,2023-02-18,0:06:39,,benny8282_nail
11,2023년은 검은토끼의 해!🐰 힙하게 블랙토끼 네일 / Black Rabbit Gel Nail,https://www.youtube.com/watch?v=es4YwlBLxR0,1640,2023-01-22,0:08:37,,benny8282_nail
12,연말 네일로도 좋은 핑크💗 크리스마스🎄 네일 / Pink Christmas Gel Nail,https://www.youtube.com/watch?v=fREgRw2zoI0,1565,2022-12-24,0:07:48,,benny8282_nail
13,연장하고 젖소🐄 얼룩무늬 포인트로 네일하기🖤🤍 / Cow Print Gel Nail,https://www.youtube.com/watch?v=pROIDCYiVCA,1774,2022-11-13,0:06:57,,benny8282_nail
14,🍂저는 가을하면 골드와 브라운이 먼저 떠올라요..🥺 그래서 해본 반지 네일 / Gold Brown Gel Nail,https://www.youtube.com/watch?v=o4H5AbygoYk,1540,2022-10-23,0:06:28,,benny8282_nail
15,힙한데 색이 오묘해서 너무 예쁨.. 메탈 스마일🙂 네일  / Metal Smile Gel Nail,https://www.youtube.com/watch?v=hebMJGBS1t8,1819,2022-10-16,0:05:02,,benny8282_nail
16,블랙&화이트로 귀여운 🎃할로윈👻 네일 준비하기!  / Halloween Gel Nail,https://www.youtube.com/watch?v=gMCr9FpGYMs,2232,2022-10-07,0:05:31,,benny8282_nail
17,손톱연장과 그라데이션을 한번에! 파츠만 올리면 웨딩네일💍 완성 / Canoe Tip Nail Extension / Wedding Nail,https://www.youtube.com/watch?v=_NupF0x_U0Q,1925,2022-09-23,0:07:12,,benny8282_nail
18,베이비부머 네일에 펑키한🖤 스티커와 파츠를 콕콕!  / Baby Boomer Gel Nail,https://www.youtube.com/watch?v=6ptjjXYcowU,4280,2022-09-08,0:04:14,,benny8282_nail
19,(귀여움 주의❗) 꽃밭에 놀러간 큐티 강아지🐶 네일 / Flower Puppy Gel Nail,https://www.youtube.com/watch?v=RZSBMlwYvmU,1532,2022-09-03,0:07:04,,benny8282_nail
20,나의 최애 🌈무지개 컬러와 우주가 만난 덩어리 네일 / Rainbow Universe Gel Nail,https://www.youtube.com/watch?v=tFt80pCwBtI,2841,2022-08-28,0:08:44,,benny8282_nail
21,보기만해도 차가운 얼음꽁꽁🧊 네일 / Ice blue Gel Nail,https://www.youtube.com/watch?v=ouEdTQ5aU2s,1982,2022-08-13,0:05:23,,benny8282_nail
22,"7-8월 나의 페이보릿 ! 🥽🩱🩵드디어 배송 온 나의 레인부츠.. ♡ 인생 그립톡, 볼캡러버, 반팔티ㅣfashion haulㅣ패션하울ㅣbird정은",https://www.youtube.com/watch?v=7b6AHuj5odc,8837,2023-08-05,0:12:06,,bird 정은
23,(SUMMER LOOKBOOK) 돌려입기 좋은 여름 룩북 🍉🍹🏝️주구장창 입게 될 나의 핫썸머 아이템 .. ♡ ㅣ쇼핑몰+브랜드ㅣ여름패션하울ㅣbird정은,https://www.youtube.com/watch?v=UuYfKkFVfMs,14879,2023-07-10,0:03:16,,bird 정은
24,"BAG haul👝디자이너브랜드, 가방별 코디룩북 (나만 알고싶은) 퀄리티,가성비 좋은 가방추천..🖤미닛뮤트,스퀘어라인,오소이,URBANIC30,렉토,시눈ㅣbird정은",https://www.youtube.com/watch?v=I1XRhv2VLYc,7047,2023-05-31,0:10:31,,bird 정은
25,"여름 코디 모음.zip 🌞🔭 패션하울 • 여름 스타일링ㅣ최애코디ㅣ직장인코디,꾸안꾸룩,데일리룩ㅣ할인쿠폰🩵ㅣbird정은",https://www.youtube.com/watch?v=0_YMK5BVrEs,4846,2023-05-29,0:11:53,,bird 정은
26,"바지없이 못사는 사람의 ‘Must have’PANTS 👖🩵 바지하울 청바지 모음.zip 슬림핏,일자핏,와이드핏ㅣ인생바지, 데님추천ㅣbird정은",https://www.youtube.com/watch?v=c89t_69dG1o,6542,2023-05-28,0:11:55,,bird 정은
27,"필수템 패션하울🌞꾸안꾸 데일리룩,하객룩,오피스룩ㅣ직장인 코디ㅣ트위드 셋업,자켓코디,반바지추천,와이드팬츠,필수 이너 추천 (OCO) ㅣbird정은",https://www.youtube.com/watch?v=xKfnsAlhiwc,5234,2023-04-30,0:08:49,,bird 정은
28,"(쇼핑몰+브랜드) 봄 패션하울 2탄 🥭퀄리티 좋은 애정템만 모아! 트위드 자켓,티셔츠 추천! 데님 셔츠,인생바지,스니커즈,미니백ㅣfashion haul 🧆ㅣbird정은",https://www.youtube.com/watch?v=CJXiyV0kgVc,10846,2023-04-08,0:09:04,,bird 정은
29,"(쇼핑몰 위주) 봄 패션하울 1탄🌼 봄을 위한 14가지 찐템 • dailylook 최애 블라우스, 이너 추천,가디건, 맨투맨, 바시티자켓, 데님추천 인생바지ㅣbird정은",https://www.youtube.com/watch?v=UG7RYi2mbOY,18992,2023-03-28,0:14:34,,bird 정은
30,"이른 봄 패션하울 ! 🎐🧺 데일리 니트 코디ㅣ개강룩 & 출근룩ㅣ에잇세컨즈 추천템ㅣ로퍼, 운동화 추천ㅣ아모멘토,낫띵리튼,구호플러스,디애퍼처ㅣbird정은",https://www.youtube.com/watch?v=GZogeU_10PU,10262,2023-02-14,0:13:57,,bird 정은
31,"12-1월 페이보릿..♡ 위시리스트와 생일선물 그사이ㅣ고체향수 추천ㅣ어썸니즈 모자ㅣ탬버린즈 바디워시,캔들ㅣ글로니ㅣ미닛뮤트 가방ㅣ토프 진주목걸이ㅣ교복템 조거팬츠ㅣbird정은",https://www.youtube.com/watch?v=wNg8ZsN7bqI,6559,2023-01-15,0:13:41,,bird 정은
