,youtube_id,comment,like_num,comment_date
0,useryg2tf7nq2m,언니 타채널 출연하신 거 보고 유트루채널 카메라가 지인짜 사실적이고 평소에는 잘 보이지도 않을 결점까지 다 잡는다는 걸 느꼈어요 덕분에 평소에 파데나 기초 선택할 때 더 객관적으로 판단할 수 있고 언니에 대한 신뢰도가 올라가는 거 같아서 너무 좋아요 유트루의 장비욕심(?) 평생가자,147.0,2개월 전(수정됨)
1,dlatjdus,"언니 근데 저는 언니가 퍼스널컬러에 너무 갇혀있지 않았으면 좋겠어요..!언니는 눈동자 색이 선명해서 중명도의 고채도 립도 잘 어울리고, 무엇보다 눈이 길고 예뻐서 스모키도 잘 어울린다구요!! 지금 화장들이 찰떡이지만, 언니가 다양한 시도를 하는 모습도 보고 싶어 살짝 댓글 남겨봅니다ㅎㅅㅎ...",379.0,3개월 전(수정됨)
2,userqg6rt9rh4r,"언니 영상 볼 때마다 피부 타입, 기초 취향, 컬러 취향까지 너무 똑같아서 항상 큰 도움 받고 있어요! 감사합니다",13.0,3개월 전
3,userdb6gi3ty1j,블러셔 은은하고 맑게 발색되서 넘 이뻐요 ㅠㅠㅠ 패키지도 깔끔하니 이쁘고!,8.0,2개월 전
4,usertd6nh9ud5l,트루언니의 찐추천템인거 넘 잘 느껴지고요..패키지부터 깔끔하게 생겨서 손도 잘 갈거같고 제품력도 넘 좋은거 같아요 ㅠㅠ 백화점 제품보다 더 좋은거 같다는건 최고의 칭찬 아닌가요!? 은은하게 자연스러운 발색이라 고급지고 이쁘게 메이크업 할 수 있을거 같아요 ,11.0,2개월 전
5,usertg6lc3hf2z,옛날의 다양한 시도 하시는 트루님 보고싶어요 !!! 화려하고 쎈메이크업 같은!!,11.0,2개월 전
6,seoyoungcho9988,오늘 옷 진짜 진짜 너무 잘어울려요!! 메이크업이랑도 완전 찰떡,7.0,2개월 전
7,Dearesty,수다 왕창 더보기란에 글도 왕창 써주시는 거 너무 좋아요 찐시리언니!!!!!!!!!!!,29.0,3개월 전
8,jjy1397,와 진짜로 이번 메이크업 역대급이고 젤 잘어울리고 깔끔하고 고급스러워요!!!!!!,4.0,2개월 전
9,useruo8iu5dn8k,"이제 언니가 ""눈썹은"" 하면 나도 ""쌍둥이가 아니라 자매다~~~"" 바로 나옴ㅋㅋㅋㅋㅋ 반복세뇌교육의 효과는 대단했다",34.0,3개월 전
