,youtube_id,comment,like_num,comment_date
0,sooyummy3005,"언니 ! 퍼스널 컬러처럼 요즘엔 자기 체형분석 ?이라는게 있더라구요!! 저도 검사해보니까 스퀘어타입이어서 옷입는데 도움많이 되었어요  언니두 검사 한번해보시면 더 쉽지않을까싶어요!!!!! 글구 청치마는 좀 더 기장 길거나 A라인이 잘어울리실거같아요 ㅎㅎ 색감 다 너무 예쁘게 잘 고르신 언니  ㅎㅎㅎ 
쇼핑몰 추천하면 PVCS , 바이옌(원피스맛집),원로그(슬랙스맛집) , 라룸 - 콜드팬츠 추천드려요! 저도 키 170 인데 거의 여기서 다 구매해요 >__<",90.0,3개월 전
1,userhp2mr8gq2h,언니 뻔뻔한 패피 영상 넘 좋아요!! 특히 이번엔 언니 싱가폴/부산 브이로그 보면서 어디 옷일까 궁금했던 옷들이 많았어서 더 재밌게 봤어요ㅎㅎㅎ 역시 언니는 밝은 파스텔톤 옷들이 참 잘어울리네요w컨셉에서 광고 들어왔으면 좋겠어융,31.0,3개월 전
2,userwe4ks8bb3p,다들 길이감 얘기하시는데 길이감보다도 트루언니는 A라인 치마가 더 잘어울리시는 것 같아용,234.0,3개월 전
3,userqn1dr6hh6j,언니 이젠 뻔뻔한 패피 아니고 패피된것같아요 ,14.0,3개월 전
4,userdk2fe3wj7u,언니 패피시리즈 너무 좋아요! 점점 언니 스타일 찾아가는 모습인 거 같아여,66.0,3개월 전
5,zzalcoon,"언니 파스텔 색감의 옷은 흰끼가 낭낭하다보니 
중청보다는 연청이 훨씬 잘 어울려용 화장처럼 

명도와 채도로 톤온톤, 비슷해야 어울리더라구용!

청치마가 파스텔톤에 비해서는 쨍하니 
쨍한 어찌보면 푸른감이 있는 하얀색과 홈페이지 매칭한 사진처럼 쨍한 블루랑 잘 어울리는거에용

마쥬에서의 셋업이랑 보라색 블라우스는 흰끼가 섞여있는 희끄무리이니까 색감이 낭낭한 중청이랑은 무언가 따로노는 느낌이 들어서 언니가 안어울린다고 이야기 하는거같아용!",54.0,3개월 전(수정됨)
6,wodnskx,"언니 데님 러버로서 팁 하나 드리자면 연청, 진청 문제보다도 너무 푸른기 낭낭한 것 보다 살짝 회색이나 노란기 섞인게 색 매치하기 편해요!!! 워싱도 약간 있으면 베스트 파란 데님은 뭔가 아쉬운 느낌쓰 ,, 아마 그래서 데님이 어렵다고 느끼시는 것 같아용",14.0,3개월 전(수정됨)
7,luvyoon8397,언니에게 이 브랜드 추천해주고 싶어요. pvcs(private closet) ㅇ이미 너무 유명하지만 기본티도 언니가 좋아할만한 좋은 소재 많고 가격도 좋아요!! 키큰 분들한테 어울리는 옷 많이 나옵니당~~,68.0,3개월 전
8,gnbindang,"온니,,, 약간 찰랑이는 느낌의 핀턱없는 깔끔한 슬랙스 한번 사서 입어보셔영 은근 여기저기 입기좋고 편해요 ㅎㅎ 유트루 패션 귀여워여 ㅋㅋ",22.0,3개월 전
9,sewakim6108,하이염 온닝!! 영상 너무 잘 봤어요ㅎㅎ 다음엔 꼭 COS에서 옷 사서 뻔뻔한 패피 영상 찍어주세요! COS 옷이 깔끔하고 고급져서 온니랑 너무 잘 어울릴 거에용 ,28.0,3개월 전(수정됨)
