,youtube_id,comment,like_num,comment_date
0,kiudesign,"투표해주세요 !!
1등 10만원
2등 8만원
3등 5만원 :)",229.0,6개월 전
1,HoAih6jy,"1번   0:56  민트 그라데이션
2번   1:09  타투이스트
3번   1:23  밤늦게 히메컷염색
4번   1:50  혜서니
5번   2:04  K변발
6번   2:20  인턴시절 여성스크래치
7번   2:33  핫핑크
8번   2:53  아기잔디머리
9번   2:57  파마아기
10번  3:14 웻스타일
11번  3:20 셀프투블럭(aka.엄지)
12번  3:35 의도한 운전면허증
13번  3:44  헤이아치
14번  4:02  무지개
15번  4:20  민트 4등분
16번  4:30  라임단발
17번  4:41  얼굴말고 머리를봐
18번  5:02  머리기부 풀뱅",79.0,6개월 전
2,gureanuelena5563,I love seeing you all together ,3.0,5개월 전
3,yyk4833,"K변발이 제일 기억에 남고 재밌었네요ㅋㅋ 버전이 있다니ㅋㅋㅋㅋㅋㅋㅋ여름버전 겨울버전으로 더우면 까고 추우면 덮고ㅋㅋ
멋있는 머리들 많았지만 무지개랑 투톱으로 뇌리에 강하게 박혔어요ㅋㅋㅋ",42.0,6개월 전(수정됨)
4,elizabethtangora4353,"I love the girl with rainbows in her hair! It’s so pretty, it looks like she hasn’t even dyed her hair she’s just always standing in perfect light. ",61.0,6개월 전
5,sumeya6120,I think the last guy is unique and the best because 1. it really suits him and looks pretty and the fact that he did it for donating makes it even more meaningful and special :),6.0,5개월 전
6,userbe9uy6qe8f,무지개 머리 하신 분!! 분위기도 그렇고 무지개랑 너무너무 잘어울리심... 저러기 쉽지 않은데 너무 튀지도 않고 딱 어우러지는 느낌,138.0,6개월 전(수정됨)
7,naurrr,I love the submissions with a good sense of humor!! hair grows back so it helps to laugh and reminisce.,9.0,6개월 전
8,stuckintheblackholeofkpop2043,"Never getting tired of this channel, I swear... ",3.0,6개월 전
9,razinamarjan1110,"Wow, I'm not sure if some of these contestants submitted their pics to the wrong competition  but some were hilarious . Thanks kiu-ah for the laughs ",14.0,6개월 전
10,miyeanshin2354,1.무과장 투톤님 !! 소화하기 힘든컬러감인데 조화로움이 1등 ~ 근데 패션센스도 1등인듯 힙하게 너무 이뻐용  첫번째부터 너무 압도적임용 ,10.0,6개월 전
11,josephlee0227,파마아기 너무 이쁘네요~ 꼭 콘텐츠가 나왔으면 좋겠어요!ㅎㅎ,0.0,5개월 전
12,userxg8tv2us4r,老板年輕又帥唷活潑開店生意興隆有帥氣老板客人也喜歡店内有美女幫忙工作開心加油喔啾蜜愛你們。,1.0,5개월 전
13,userrx7wu9vd4d,라임단발 언니는 제 인생의 구원자입니다 사랑합니다 🫰🫰,2.0,5개월 전
14,userhe6yc7dk8x,"와 무지개 ㄹㅇ 레전드로 예뻐요….
유경님 무지개 머리도 생각나는건 기분탓?",33.0,6개월 전
15,userqf9jt2em3z,3:01 애기 진짜 예쁘다 .. 얼른 기우쌤이랑 만나서 영상 찍어줘요 !!!!!,26.0,6개월 전
16,bjjin,무지개머리가 이쁘긴 진짜 이쁜데 라임단발 머리도 예쁘고 잘어울려요!!!,5.0,6개월 전
17,PhilipdelaTorreSenior,"The rainbow hair is my favorite.  It's unique, subtle and instantly becomes a classic.  #2 The man with the flip back hair.  Long enough to cover the front part of his head but can be flipped back to be expose a shaved head in the front and long hair in the back.  Brilliant!  #3.  The girl with the green fade/gradation.  Eye catching and stunning.",3.0,6개월 전(수정됨)
18,dkdepdkdep,"1.무과장그라(이뻐요)
2.무지개(심플하게 포인트)
3.혜서니(그동안 기우쌤이랑 헤어많이하시며 이뿐색 많이 보여주심)",3.0,5개월 전
19,userop3om1zx2b,무지개 진짜 개성있고 잘 어울리네요!,9.0,6개월 전
20,usernp2cg9uj7u,"1번 민트그라데이션~~~라임색이 너무밝고 발랄해요~
이번주에 셀프도전해보려합니다~~
감각적으고 너무너무 이뻐보여요~~~",4.0,5개월 전(수정됨)
21,userhb1zl4pp7f,머리에 포인트 준분 너무 이쁘네요~무지개처럼요~^^ 핀 꽂은거 같아요!! 이뻐요,3.0,5개월 전
22,paarthurnax4561,"무지개 머리 ㄹㅇ 이쁘네 
진짜 튀지 않으면서도 개성을 살린 머리 같음",8.0,6개월 전
23,usertm2jp2xw2n,"나도 담에 해보고 싶은 머리 생김 ㅋㅋㅋ
머리 짧머 해서 체스판 만들어 보고 싶네",1.0,6개월 전
24,userbt1vb1kr8b,무지개 머리 너무 이쁜것 같아요 ^^,7.0,6개월 전
25,lovehy1004,"9번째 아기한테 투표합니다!!! 
같이 영상찍길 기대합니다!!!",2.0,6개월 전
26,kyeongajeong4391,엌ㅋㅋㅋㅋ 3번으로 나왔네요 ㅋㅋㅋㅋㅋㅋ.... 뽑히다니 영광입니다 ㅋㅋㅋㅋ 밤늦게 삘 받는거 못 참음.....ㅠㅠㅠ,0.0,6개월 전
27,userzf1ub2sq8z,헤이마치 머리가 독보적인것 같은데옄ㅋㅋㅋ용기가 대단하셔요,10.0,6개월 전
28,userkz3nz2yi5f,무지개 머리하신분 넘 예뻐요~나도 하고 싶당~~,3.0,6개월 전
29,usersm7si8uj1c,무지개 머리 진짜 이뻐여 저도 무지개 머리 해보고싶어여,0.0,6개월 전
30,usernh4uh9ir2i,열여덟번째 풀뱅 긴머리 분이요!! 넘 잘어울리세요~,0.0,5개월 전
31,usernp5dt4mi3h,포인트로 무지개 넣은거 무난한데 이뻐서 해보고싶어졌어요,0.0,5개월 전
32,blueming0818,4:48 열세번째분 머리 잘 어울리고 예쁘네요,3.0,5개월 전
33,kr1nn,スヨンオンニまじかわいい！！好き！！,1.0,6개월 전
34,kimverlee7859,2:06 k-Pigtail had me rollin. but 2:57 please do baby's hair.. she's so cute. ♡♡,10.0,6개월 전(수정됨)
35,yein05,무지개 수연님이나 유경님 해주세요!! 개존예,0.0,5개월 전
36,usergz6yd5ps3d,마지막 풀뱅하신분이요! 셋팅하고 긴머리 꿀팁 궁금해요~,1.0,5개월 전
37,PangSoo0808,"진지하다 ..
영상 고마워요 ..",3.0,6개월 전(수정됨)
38,userkl2no7ke7t,9번 아이가 참이국적이고 모델포스가..,1.0,5개월 전
39,daisypinked,Definitely the girl with rainbow details on her hair. So pretty and cool,2.0,6개월 전
40,userxu1kf9tg7e,12번 1등 !! 포인트만 살짝 줘서 싸 보이지 않고 신비로운 느낌 모델이 이쁜 것도 한 몫,0.0,3개월 전
41,jinju5463, 무지개머리 젤 이뻐네요,1.0,6개월 전
42,userfu5pc2fn3d,와 남자 풀뱅 개잘어울려... 모자 정보 물어보고 싶다,0.0,5개월 전
43,userkx6hu8ej4b,민트 사등분 진짜 지대 예쁘다,0.0,6개월 전
44,anakurniawati7367,The girl with  black hair with rainbow point like sejin said.. It was sooo coolll.... I like it.,4.0,6개월 전
45,hobbydog2023,3:44 헤이하치 머리 짱이네요,4.0,6개월 전
46,userih3io5cp4i,K 변발보고 패션대머리인 노돌리님 생각나서 보러갑니다,0.0,6개월 전
47,pinkbloodsquad7766,The girl with rainbow part in her hair reminded me of that rainbow face filter on instagram. So pretty,3.0,6개월 전
48,13ONE,그 개성있고 잘 생기신 분ㅎㅎㅎㅎㅎㅎㅎㅎ,1.0,5개월 전
49,gjqhrud,무지개 머리가 너무 이뻤어요 ㅎㅎ,4.0,6개월 전
50,HasJiDggON,"04:40 머리가 얼굴빨.. 잘생겼다
첨 x_x 잇는 주황머리가 젤 인상적인듯요",0.0,5개월 전(수정됨)
51,useruf6xx8jo2u,K-변발을 어떻게 이겨...,0.0,4개월 전
52,roadstar3323,9번 아가 귀엽네요  ,1.0,5개월 전
53,userjj5zp9ih9o,"저는 무지개 스타일이 예쁘네요.
저런 생각은 매우 창의적인 생각인듯 하네요.",0.0,5개월 전
54,usernf1uf8uq5l,"9번이요!!!!
완전 이뻐요",0.0,5개월 전
55,userqv5qw2bs5o,나도 민트머리랑 해서니님 파랑색머리 해보고 싶어요ㅠㅠ,0.0,6개월 전
56,userls3tr5lu3c,난 두번째 타투이스트분 머리가 제일 이쁜듯. 웃긴건 11번째 헤이아치 머리 ㅋㅋㅋㅋㅋㅋㅋㅋ 헤이아치라니 상상도 못했다구요,0.0,5개월 전
57,woneeno1,9번 애기 아구 귀여워라~!,0.0,5개월 전
58,Nalp1no,파마한 아기 너무 예쁘네요 정호연님 닮은 것 같아요 🫢️,0.0,5개월 전
59,userxb7qm2iy1s,귀여운 아기한테 젤 잘어울려서 전 9번이요 ㅋㅋ,0.0,5개월 전
60,userdy8co3ll3p,2번이요! 대회 한번더 해주세요 저 보낼사진 있어욬!!,1.0,6개월 전(수정됨)
61,useryf2dd5vh6h,진지하게 타투이스트분 ! 머리 멋있어요,0.0,6개월 전
62,zenayoun9065,"젊었다면 무지개
어렸다면 핑크
예뻤다면 무과장",0.0,6개월 전
63,skchatten,The girl with rainbow and black hair is my favorite.,2.0,6개월 전
64,Toppokki,와 1번 14번 고민이다ㅠㅠ,0.0,5개월 전
65,userpq3ge1jt5f,12번 무지개머리 짱이뿌네~,0.0,6개월 전
66,userwp6fl3nq7h,"무지개머리!! 일단 여성분이,, 예쁘ㅛㅣ신 것 같습니닿 여자",2.0,5개월 전
67,userbl4rl2nv7z,12번 무지개머리 귀엽다~,1.0,6개월 전
68,userky7kd8gl6b,선댓글 후감상 들어갑니다^^ 두근두근 기대중,1.0,6개월 전
69,konikim3464,12번 무지개 쩌네 !,0.0,6개월 전
70,janghanbyeol1827,오오 무과장 한표요!!!!!!!!,0.0,5개월 전
71,cherryarabbit,열세번째 머리여 저도 기회되면 한번 해보고 싶네요 하면 한번 지원해볼게여 한 20년 뒤에.. 근데 중간에 예쁜사람있네여,1.0,6개월 전
72,userqx3sh7tk7f,9번 아가 귀엽네요~~,1.0,5개월 전
73,userdt2uf4jm6y,헐.... ㅜㅜ 머리 나도 자랑 할걸,0.0,6개월 전
