,youtube_id,comment,like_num,comment_date
0,DoubleSoup,"Time Table

00:22 설마 아직도 여자친구 선물 준비 못하셨나요…?
00:49 초콜렛은 무조건 여기서 사면 실패 없음!!!
01:55 꼬르소꼬모 초콜렛 박스 언박싱부터 맛 리뷰까지!
02:50 꼬르소꼬모 초콜렛이 품절이라면…?!
03:05 미술 전시회 좋아하는 여자친구분이라면 이제품 강추!
03:47 비이커 초콜렛 박스 언박싱과 맛 리뷰!
04:17 비이커에서 추천하고 싶은 다른 아이템들!
04:30 20만원대 선물 찾는다면?! 비이커에서 살 수 있는 이 제품 강추해요!
04:47 뷰티유튜버 추천 화장품 선물 best 5 !
05:12 화장품 선물 꿀팁!? 이것만 지키면 반은 간다~~
05:51 강추!  케이스부터 가죽, 이니셜까지 퍼스널라이징 립밤 
08:19 불리의 다른 제품도 추천할게요! #카카오톡선물하기
08:29 10만원으로 에르메스 가능?!
09:11 립스틱 선물은 너무 흔하고… 블러셔 선물은 어때요?!
09:34 여친 친구들 앞에서 순식간에 능력남 되는 모먼트…
10:48 에르메스 립에 관심 없었던 이유?!
11:12 에르메스 립 살 때 주의점 ~~~!!!!!!!!!!!!!!!!!
13:26 샤넬 화장품 선물할 때 주의할 점!!!!!!!!!!!! 베이스만은 절대 사지 말아요….
13:52 요즘 인기짱인 샤넬의 OOOO!!!! 
14:38 샤넬 핸드크림 종류가 무려 3가지! 고르는 꿀팁?!
15:13 샤넬에서 남자 선물 하나만 딱 고른다면?!!!!!
15:50 꾸준히 선물 많이 하는 고인물 립스틱들….
16:19 이건 아마 선물로 아직 안 받아 봤을 거야….!!!! 근데 짱예쁜….
17:11 제형샷! 진짜 너무너무노무넘누 예뻐요!!! 꼭 봐주세요 
17:54 립스틱 컬러 고르는 꿀팁!!!!!!!!! (제발 쥐잡아 먹은 빨강은 그만…)",12.0,7개월 전
1,usermk9yh7of1v,우와앙 발렌타인데이 선물 추천이라닝!! 취향저격인 아이들이 많아서 선물하기도 너무너무 좋을거 같구 받는 사람도 기분이 너무 좋을거 같아요 역시 언니가 추천해주는 아이템들은 모두 최고고 믿고 쓰고 선물할 수 있는거 같아요 고마워용🫶,0.0,7개월 전
2,xhahwid,"와…!! 영상 보자마자 언니 핑크니트가 넘넘 예뻐서 깜짝 놀랐어요️️️ 너무 잘 어울려요!!!!!!!! 생머리도 너무 예쁘네요!!!
BULY 처음 들었어요!! 케이스도 예쁘고 새깔도 다 고를 수 있다는게 좋은 거 같아요  HERMES를 선물로 받으면 진짜 기분이 좋을 거 같아요!! 저도 받고 싶어요 ㅎㅎㅎ 이번 영상은 여자끼리 선물하는 거에 대해서도 진짜 도움이 되는 거 같아요️️ 오늘도 잘 봤어요 고마워요️️",0.0,7개월 전
3,loranow,와웅 진짜 습습언니 센스 미쳐따.. 그리고 항상 추천템에 진심 가득 담긴 거 느껴져용 구찌는 진짜 셀프 선물 하고싶네요🫶,0.0,7개월 전
4,userls6fx3qx4y,핑크핑크 !!! 핑크공주 습습언니한테 잘 어울리는 옷 ㅠㅠ 언니는 진짜 모든 색상 다 잘 어울리는것같아요 10만원 이하면 부담도 안되고 선물하기 좋을것같으면서 받았을 때도 기분이 좋겠네요 언니 이번주도 고생하셨어요!,0.0,7개월 전
5,ludwigvanbeethoven5401,"추천템 말하는데 습습님이 더 흥분해서 숨 넘어갈 것 같이 설명해주고 상황극도 많이 하고ㅋㅋㅋㅋㅋ그만큼 꿀템이라는 거지~~~
너무 재밌게 봤어요ㅎㅎ 발렌타인데이 딱!! 맞춰서 이렇게 꿀템 추천 영상까지,, 역시 습습님이에요ㅎㅎ 영상 보니까 저도 사서 선물해주고 싶어요!! 하지만 이번엔 저 자신에게 선물을 하려고요..^^ 왜 눈물이..ㅜㅜ
센스 넘치는 습습님 영상 오늘도 잘 보고 가용ㅎㅎ 빨리 사보고 싶어욥!!!",0.0,7개월 전
6,mychaeyeony,"0:25 세상 천사같은 얼굴로 ""그럼 쳐맞을 준비라도..""하는 거 진짜 너무 웃겨욬ㅌㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저 짤 엄청 재밌게 봤는데 습습웅니의 유튜브에서 보게 될 줄은..ㅋㅋㅋㅋ
3:16 폰케이스 스트랩 순간 깁스하신 줄 알고 깜짝 놀랐어욬ㅌㅋㅋㅋㅋ휴 다행
다 예쁘지만 구찌 112번 진짜..넘 예뻐요ㅠ광도 예쁘고 컬러도 여리여리..",5.0,7개월 전(수정됨)
7,userxq9tm6ov7b,발렌타인데이 선물까지 추천해주는 센스쟁이 언니 남자칭구는 없지만 흑흑 곧 졸업이니까 위시에 이뿐 립밤 담아놔야겠어용ㅎㅎㅎ,0.0,7개월 전
8,eri5405,"소파에 앉아있는 곰이 너무 귀엽다
일본어 자막 항상 감사합니다！！",1.0,7개월 전
9,userkw3zp1yr4k,"발렌타인데이, 크리스마스 시즌 되면 선물 추천 영상 엄청 많이 올라오는데 추천템 볼때마다 저걸 받고 좋아하는 사람이 있다고??
내 남자친구가 저런거 사오면 너무 돈아깝고 안기쁠 것 같다는 생각을 많이 했었는데
오늘 언니가 추천한 제품들은 다 신박하고 실용성있는 소장욕구 복돋아주는 제품들이라 너무 재밌게 봤어요
에르메스 립밤, 샤넬 핸드크림은 많이 봐서 알고있었는데 구찌 립밤은 진짜 신박템!!
웜톤, 쿨톤 코칭까지 해주다니 너무 디테일해ㅋㅋㅋㅋㅋ
역시 언니 하울 영상, 추천템 영상 너무 재밌어️‍

중간에 폰케이스때문에 언니 손가락 깁스한줄 알고 놀래서 돌려봤잖아요ㅠㅠㅋㅋㅋㅋㅋ
다친거 다 나은것 같아서 완전 다행이예요ㅎㅎㅎㅎㅎ",0.0,7개월 전
