,youtube_id,comment,like_num,comment_date
0,onnu1395,크레페 사장님 진짜 천사네요 4명이 크레페 한개,6.0,1년 전
1,userdy3zd3sv2j,해외팬들이 너무 많아서 영어자막도 추가해주세요  사랑해요 ,1.0,1년 전
2,ansoyu,프랑스공주 예콩,1.0,1년 전
3,tir3dchild,Will you had English subtitles one day ? ,0.0,1년 전
4,userxp9we9fe6s,예콩누나 실물로 보면 엄청 이쁘실듯 ,0.0,1년 전
5,Hmhmxh9zx,"Wow, you are beautiful and the atmosphere is great. You make excellent videos",2.0,1년 전
6,userbj8qc9te1v,브이로그를 잘 볼게요,1.0,1년 전
7,Hmhmxh9zx,"I hope you can put an English translator, I can't understand Korean, if you can't, that's okay",2.0,1년 전
8,jungsunhan1698,"숙소예뻐요!
숙소 링크 부탁드려요^^",0.0,1년 전
9,mimiwz2ik,예콩딤 선글라스제품명 알 수 있을까요 완전 존ㅇ예ㅔ엥,0.0,7개월 전
10,son7092,오예콩 Ohi Yekong님 프랑스여행 재밌있었나요,2.0,1년 전
