,youtube_id,comment,like_num,comment_date
0,megamel665,시원해보이는 느낌의 코디네요!! 그리고 신발의 디테일부터 전신이 중심으로 강조되어서 어떤 느낌인지 한 눈에 알 수 있어서 좋네요,1.0,3개월 전(수정됨)
1,usergl7dg5eg3p,"깔끔룩 너무 예뻐요
10:28 목걸이 정보도 알려주세요
실버라 여름용으로 예쁘겠어요",7.0,3개월 전(수정됨)
2,cchanlee,캐주얼 캐주얼한 코디 여름 착장으로 딱인걸요!! 잘어울리십니다!!,0.0,3개월 전
3,useryo2uz9qg3p,매력적인 코디영상 잘봤어요 오늘도 착장이 콜리젯님 만큼 이쁘네요,1.0,3개월 전
4,solstudio,올 화이트 착장 우아하고 예쁘네요앞슬릿도,1.0,3개월 전
5,userru4xg5sf8h,비슷한 린넨자켓 하나만 꼭 찍어주세요.. 콜리젯님 옷은 너무 이쁜데 품절인 경우가 많아서 너무 속상해요...,32.0,3개월 전
6,usergb8kt3bu1k,"콜리젯님~
골드 목걸이는
18케이 인가요, 아님
골드악세사리 인가요^^
두개의 느낌이 참 다르더라구요^^",0.0,3개월 전
7,userix6zc5rk6h,캡슐 옷장 기다렸어요 ,3.0,3개월 전
8,usersr7yg4tb5e,Look4 fit&flare pants 너무 예뻐요! 제품 정보 알 수 있을까요?,2.0,3개월 전
9,userqi7ke7sc3m,화이트바지 너무 이뻐요 브랜드 정보 부탁드려요~,4.0,3개월 전
10,usergs4yz2yt6u,1번룩 컨버스 정보 알 수 있을까요? 늘 예쁜 옷들 올려주셔서 참고 많이 하고 있어요ㅎㅎ,2.0,3개월 전
11,jaeyoonmin8419,우오아 너무 깔끔하니 따라 입고싶어요 ㅎㅎ 혹시 목걸이 정보 알 수 있을까요?,18.0,3개월 전
12,usercl9ny7dy9s,클럽모나코비슷한 여름 긴팔 린넨자켓 부탁드려요,0.0,2개월 전
13,userkz9lp1nn6f,소개된옷들중 콜리젯에 없는 옷들은 어떻게구입하나요 예를들어 룩5에 네이비 포멀린넨셔츠요,3.0,3개월 전
14,jlee4552,제일좋아하는 컨텐츠!!!! ,0.0,3개월 전
15,ninikim3668,골드 목걸이정보 궁금해요  코스 바지 지금은 판매 안하겠죵?ㅠㅠ,0.0,3개월 전
16,userbb8hh9cg3z,Look8스커트 크롭상의 정보 궁금합니다 제가 찾던옷이에요,0.0,2주 전
17,margaretbyeol1178,룩 11 반바지 정보 알고싶어요^^,0.0,3개월 전
18,usernc3ce4ki9l,청바지 품번을 알려주실 수있을까요?부탁드립니다,0.0,2개월 전
19,userlz6mn4ky4z,흰바지 너무 이뻐서 구매하고 싶은데 콜리젯님은 기장 수선하셨나요? 제가 172라 기장이 어떠려나 싶어서요 링크가 보니 제일 큰 사이즈도 총장이 100이 안 돼서 고민이라 여쭤봐요~,0.0,3개월 전
20,koowoo2780,더로우 신발이랑 룩7에 나이키 찾아도 안나와서ㅠㅠ 링크나 제품명 알려주실수 잇나요!?,5.0,3개월 전(수정됨)
21,userqh2un2tf2j,늘. 즐겨보고있습니다. 12번 진청바지. 품번 알려주시면  감사하겠습니다...,2.0,3개월 전
22,userdj5hm6oj8h,마지막룩 화이트셔츠 링크좀 알수있을까요 너무맘에들어용,2.0,3개월 전
23,usernc1rf9pg4u,저거그대로 제옷장에 가져가고싶어요 ㅎㅎ,1.0,3개월 전(수정됨)
24,useruw4bf2vv7m,목걸이정보 부탁드려요,3.0,3개월 전
25,yebeencho559,올드머니룩 유행하기 전부터 입으신 분...,1.0,3주 전
26,usercl4xr7ku8y,화이트팬츠 정보 알고 싶어요  화이트는 한번도 성공한적이 없어서 이 옷은 제 체형에 딱일거 같아요,2.0,3개월 전
27,JIMINfp8gj,"8번, 13번 넘이쁘네요.. 근데 8번은 파는곳을 찾을수가....",0.0,3개월 전
28,yjwj3dq,청바지가 제가딱 찾던거에요. Lee제품중 제품명이나 품번 알수있을까요?,5.0,3개월 전(수정됨)
29,userik4qx3dj2b,맥우드건 청바지 사이즈 궁금해요🥹,0.0,3개월 전
30,kihwancha2713,콜리젯같은 남자옷 안내 체널 없나요? ㅋ,0.0,3개월 전
31,jungwonkim2093,look 10 cos 바지 상품코드 문의드리고싶어요,1.0,3개월 전
