,youtube_id,comment,like_num,comment_date
0,am1229,"언니의 솔직한 얘기를 들을수 있어서 뜻깊은 영상이에요!! 저랑두 비슷한 부분이 있어서 공감하면서 봤어요!
사회적인 출산.임신에 대한 인식? 때문에 아직은 겁먹고 있거든요 그래두 그에 비해 더 큰 행복이 있을거라 믿어서 덜 걱정하려고 하는편이에요!",9.0,11개월 전(수정됨)
1,userhu7vs7sp2v,임신과정이 힘들지만 출산하면 아기가 정말 너무너무 예쁘답니다.ㅎㅎㅎ 육아가 힘든 만큼 아기가 정말 정말 예뻐요!! ㅎㅎㅎ,0.0,10개월 전
2,userou6uz2qr7b,역시나 !! 너무예뻐여 라일리님 저 이제 면접봐요ㅋㅋ 그리고 이번에 공연도 잡히고..ㅎㅎ 힘든 하루하루지만 영상보니 힐링이 되네요언니 봤을때가 중학생이였나 그랬는데 이제 성인이라니 믿기지가 않아요 언니도 행복하시면 좋겠고 저도 행복했음 좋겠네요!!  임신 너무너무 축하드려요 몸조리 잘하세용️️,0.0,11개월 전(수정됨)
3,usertn5wo6gr9m,"헐 진한화장 진짜 잘 어울린다,,저도 라일리님 따라 내일 스모키화장 할래욘",0.0,11개월 전
4,Lyg5951,라일리님 너무 축하드려요!!!!영상에서 말씀하셨듯 저도 라일리님 구독한지 오래됏어요 5년이나 된거같아요 ㅎㅎ결혼하시는거 다 영상으로 봣어요 ㅎㅎㅎ그런저도 그때는 라일리님처럼 아가씨에서 아줌마로 아기엄마가 되엇어요!!앞으로 라일리님 영상도 너무너무 기대되고 우려에 비해 다 잘될거에요!!!저도 그랬어요 ㅎㅎㅎㅎ항상 라일리님 영상기다린답니다그냥 너무 축하드린다는 말 하고 싶엇어요저도 임신했을때 살도 20키로가까이 찌고 착색도 생기고 몸의 변화들 그리고 호르몬의 변화로 많이 슬퍼하기도 했어요 한사람을 품는다는건 정말로 대단한일이잖아요!!그런저도 아기 낳은지 8개월 지낫는데 살도 다 빠지고 몸도 예전과 똑같진 않지만 이쁜 자식을 보면 그런건 아무것도 아니랍니다 ㅎㅎㅎㅎ 스트레스 받지마시고 좋은일 좋은생각만 하셔요항상영상 기다려요 라일리님 영상처음부터 다 하나하나 다 좋아했답니다 ㅎㅎㅎ한번도 이렇게 댓글 남겨본적이 없는데 너무너무 축하드리는 마음에 남겨요이쁜아가 순산하셔요,0.0,11개월 전
5,usered6vf3hl9b,내 마음이기에 내 맘대루 정하고 단정시키는 게 나쁜 건 아니지만 내 맘이 자연스럽게 변화할 수 있도록 기다려주는 것도 필요한 거 같네용 ㅎㅎ 정말 얼마 안 남았는데 출산까지 건강 조심하세요🫶,0.0,11개월 전
6,userpl5xg3cp6l,튼튼이와의 만남이 덩달아 설레입니다용,0.0,10개월 전
7,crazyhambebe,제 친구랑 출산일이 비슷해서 건강한 소식 반갑네요!! 근데 너무 안찌신거 아닌지!!! 손목은 조심하세요 애낳고나면 더 쓸일 많아져요ㅠㅠ 건강하게 출산하시길 바래여!!!,1.0,11개월 전
8,boreumdal,뉴트럴톤 화장 많이 많이 부탁드려요~ 밝고 소프트한 느낌으로 하면 좋대요! (이제껏 여름뮤트 가을뮤트로 살았는데 큰일이에요 ㅠㅠㅠㅠ!!),0.0,10개월 전
9,userfx7cw8bh5x,사랑해요🫶생각나서 들려요 행복하길 바랍니당,0.0,8개월 전(수정됨)
10,userij1wi3zz8j,혹시 렌즈 정보를 얻을 수 있을까요?,1.0,11개월 전
11,kmk9324,手首、大丈夫ですか,3.0,11개월 전
12,uservf9vr5yt8j,살이 좀 붙은것같아영,2.0,11개월 전
