,youtube_id,comment,like_num,comment_date
0,kindjinny,너무 예쁜 강아지부터 여름샌들까지 잘보고가요~!!  신발들 완전 다 제취향이에요!! 저도 오트밀크 꼬수함을 좋아합니당️,0.0,1개월 전
1,useryr3ki7sn8u,진짜 옷 센스입게잘입으세요..,0.0,1개월 전
2,leemongsiri,배롱나무 모야모야 ~~~ 마치 배추같이 귀엽네..Yo..배추야 계속 3등신으로 남아줘.. .. 아냐.. 쑥쑥 커줘.. 아냐.. ㅠㅠㅠㅠ귀여ㅓ워ㅝㄹ어누,1.0,1개월 전
3,wooneodo3725,화장품 홍수속에 화장품 픽해주시니 넘 좋아요,0.0,1개월 전
4,lookateunmi,"오늘도 너무 기여운 배추 
오! 페르마타 메모..  담에 한남동 가면 들려봐야겠어요! >_< 미스트... 라운드넥 넘 갖고 싶은데 ㅠㅠ 역시 넘 이쁘네요 지은님한테 완전 찰떡콩떡!️",0.0,1개월 전
5,yyk9503,"영상 룩 완전 취저! 코랄님의 센스 잘 봤습니다 ㅠ0ㅠ 
혹시 미스트 탑 밑에 입으신 생지데님 정보랑 실버링 정보도 알 수 있을까요..? ",0.0,4주 전
6,esang5151,코디가 미쳤어요…ㅠㅠ 혹시 3일차 흰색 상의는 어디 제품인지 알 수 있을까요??,0.0,1개월 전
7,userri4lh5tk4r,저도 저 자라 샌들 2개 딱ㅜㅠㅜ 위시에 담아놨는데 품절이더라고여..재입고는 없는건지웨지힐 샌들 품번 알 수 있나요🥹,0.0,1개월 전(수정됨)
8,TheErinhong,배추 더 원해여……..,0.0,1개월 전
9,TheErinhong,일빠,0.0,1개월 전
