,youtube_id,comment,like_num,comment_date
0,OhMyDaisy521,영상에서 지겹도록 주구장창 나오던 그 브러쉬들 드디어 공개그 브러쉬 뭐냐고 댓글에 물어보시던 호기심 해결 탕탕입니닷! 저희 내일은 지금 품절나서 구하지도 못하는 제품들 이벤트로 준비한 영상이 기다리구있으니께 후딱 자구 내일 또 만나자구요thank you for watching!,23.0,11개월 전
1,userck8zm4vi4u,에크멀 브러쉬 세척후에도 변형 잘 안되고 너무 좋아요!!,4.0,11개월 전
2,arhitkaadi242,"헐!! 안그래도 브러쉬바꿔보자하고 관련영상들 막 검색해서 보고있었는데 구독피드에 이게 딱..♡
감사해요><",8.0,11개월 전
3,dokdoeastseaarekoreanterri9965,브러쉬들이 있는데도 영상 보고 가지고 싶어졌어요 ㅎㅎ,2.0,11개월 전
4,userrn9xl3zt5s,덕분에 이렇게 또 배웁니다. 추천 감사해용,1.0,11개월 전
5,capa8733,"오 쉐이딩용 브러쉬 사려고 했는데, 찰떡같이 올려주시다니 참고하겠습니다!!",3.0,11개월 전
6,silverhand7785,브러쉬 새로 바꿀때 챙겨볼 영상 생겼다,4.0,11개월 전
7,nosunheesunny,얼마전에 브러쉬까지 다 넣은 파우치 통채로 잃어버렸는데^^.... 감사합니당....^.ㅠ,1.0,11개월 전
8,usermq6rk2jc1i,아뉘...브러쉬만 10만원치 살쭐이야ㅜㅜ 얼릉 받고 싶네요.추천 감사해요.,2.0,11개월 전
9,mingming10,"에크멀 브러쉬 진짜 좋아요!
1호랑 쉐딩 브러쉬 진심으로 강추
블러셔 브러쉬랑 파우더 브러쉬는 그닥..ㅠㅠ",0.0,11개월 전
10,userbh9jj4gz8e,"엌ㅋㅋㅋㅋ 피카소쉐딩브러쉬빼고 다 겹친닼ㅋㅋ
이거슨 운명ㅋㅋㅋ데스티니!!!!",2.0,11개월 전
11,useret8mq8ie3g,고마워요,0.0,8개월 전
12,usermp4sb3ez8f,언니 브러쉬 화장대에 어떻게 놓고 관리하세요?ㅠㅠㅠㅠㅠ,2.0,11개월 전
13,dandelionlily,피카소 에크멀 지분 실화인가...ㄷㄷ,2.0,11개월 전
14,rsefa,"너무 깔끔일목요연,,,,,",1.0,11개월 전
15,useror3du2qy2t,빨땐 어떻게 하세용!! 관리 방법 궁금해요!!,2.0,11개월 전
16,userxz7bv5si8l,日本語の字幕が嬉しいです勉強になります감사합니다,1.0,11개월 전(수정됨)
17,userlp2vo5fh7o,브러쉬 바꿀때 됐는데!!!,2.0,11개월 전
18,reminiscence2732,그래서 때리는 브러쉬는 정보가 뭐예요...?뒤에 안 나온 거 같은데,1.0,11개월 전
19,userbj8qc9te1v,데이지님 너무 예쁘십니다,1.0,11개월 전
