,youtube_id,comment,like_num,comment_date
0,mse1529,촉감도 궁금해요 지난번 코랑 눈 진짜 이쁘게 잘 되셔서 저도 물어봤었는데 정말 친절히 설명해주셔서 진짜 큰 도움이 되었습니다 !! 감사드려요..️️,1.0,7개월 전(수정됨)
1,kimmomospace,말씀을 너무 잘해주셔서 이해가 쉽네요!!,2.0,8개월 전
2,userfk3xp3ph4u,모양 너무 예쁘게 잘된거 같아요!!어디서 했는지 궁금해요~~!! 멘토 CPG 보형물 정보 얻고 갑니당!!,0.0,8개월 전
3,myloveinfinite123,"저도 멘토cpg 밑절로 수술 한달 차인데, 두달 차에는 촉감이 어떤가요?? 살성이 많이 늘어나는 타입이 아니고 밑선이 짧아서 그런지,, 생각보다 한달차에도 아직 촉감이 안풀렸네요ㅜ",0.0,7개월 전
4,userbq7em5fk4g,와 진짜 부러워요 ㅠㅠㅠㅠㅠㅠ,0.0,8개월 전
5,usersd9yr6nz2v,모양 되게 예쁘게 잘 나오신거 같은데 몇cc 넣으신건지 궁금해요,1.0,8개월 전
6,userxq7wj1ol3u,크기 너무 부러워요ㅠㅠ 몇cc 넣은건지 궁금해용!,0.0,8개월 전
7,uservm6uc1lj9d,병원 정보 받고싶어요,0.0,4주 전
8,jubal94,병원정보랑 원장님 정보 궁금해요 메일로 공유가능하실까요?,0.0,7개월 전
9,userhg5pl5cv6l,안하는게 나을듯,0.0,6개월 전
10,userwq2zs9it4c,인스타좌표 어딧나요..,0.0,4개월 전
11,userou7sb9nq2d,병원공유점여^^  ㅊㅅ으로,0.0,7개월 전
12,usernq4yw4zg6g,영상이 안 보여용,2.0,8개월 전
