,youtube_id,comment,like_num,comment_date
0,userly7gb3mm4c,"너무 기달렸어요
28분,!,! 소중하다 아껴볼게요🫣
입고계신 제품도 궁금해요!",2.0,8개월 전
1,Mkmkwp1qd,스타일 진짜 멋있으십미다! 영상 기대할게여~,0.0,8개월 전
2,lemontree3355,와 넘 오랜만이네요ㅠㅠ 새해 복 많이 받으세용🫶,0.0,7개월 전
3,zabi67,어제 갑자기 생각나서 영상 봤는데 오늘 올라오다니 언니 얼굴 보고싶었어여 🥹,0.0,8개월 전
4,seoyum2,영상 잘 봤습니다^_^,0.0,8개월 전
5,smbritnei,와아 자주 올려주세용,0.0,8개월 전
6,usercx1uf7vg8v,영상 잘봤어요~검정색키링 정보 알수 있을까요?  아크테릭스 겨사색가방에 달고 싶어서요~^^,0.0,7개월 전
7,jangchumji,진짜오랜만이네요 ㅜㅜ 모남희 키링 단 가방은 어디 제품인가용??,0.0,8개월 전
8,usernm8uq1xr2j,어머! 오랜만이네욧 .. ^^♡,0.0,8개월 전
9,everythingwillbeok8721,어제도 예전 영상 봤는데!! 기다렸숴요...!!,0.0,8개월 전
10,userkd5yl5wo2k,아크테릭스 가방 몇월쯤에 사셧는지  알수ㅜ 있을까요 ?? 전 갈때마다 없어서요 엄청 자주 가거든요 ㅠ,1.0,5개월 전
11,wm8407,헉 업로드..! 자주 올려주세요 ,0.0,8개월 전(수정됨)
12,seungminlee6526,와 진짜 오랜만 이시네여,0.0,7개월 전
13,lapaz2547,얼마나 기다렸다구요🥹,0.0,8개월 전
