,youtube_id,comment,like_num,comment_date
0,jaelimize,"서울스토어 친구할인코드: 재리마이즈
이벤트 당첨자 @ayoayoooo_

SUBSET 베이직 핏 슬랙스 Black / ₩98,000
https://bit.ly/3CEpIDk

among A RIBBON CABLE KNIT TOP_NAVY / ₩126,000
https://bit.ly/3QyjaMv

EAAH IAN SHORT COAT (NAVY) / ₩299,000
https://eaah.net/101/?idx=378

ANEDIT Collar Rugby Tshirt_Ivory Navy / ₩79,000
https://bit.ly/3k9UVYL

amardew Semi rowrise wide cargo pants_Black / ₩96,900
https://bit.ly/3QzEtxe

tibaeg PETIT D JM 쁘띠 디 점퍼(BLACK) / ₩379,000
https://bit.ly/3iw6t8g

AAKAM Graphic Jacquard Beanie (Khaki) / ₩35,000
https://www.aakam.kr/product/AK22FWACC02KL

BLACKSANDS 트윈스 배색 자수 볼캡_네이비 / ₩39,000
https://blacksands.co.kr/product/트윈스-배색-자수-볼캡네이비/57/

DEBBY UPPER FEED EMBROIDERY DESTROYED BALL-CAP_CAMO / ₩65,000
https://bit.ly/3vW3UiY

dydoshop Reality Pants / ₩80,000
https://dydoshop.co.kr/PRODUCTS/view/3407970

Wooalong VELOUR BOOTS-CUT STRING PANTS / ₩79,000
https://bit.ly/3vVoUq8

RUIRICH CROP HAZZI SET / ₩140,000
https://m.ruirich.kr/product/울-하찌-니트-집업-세트2color/1192/category/25/display/1/

BETWEEN A AND B ATHLETIC LOOSE FIT JOGGER PANTS_BLACK / ₩84,000
https://m.betweenaandb.com/surl/P/700

yuppe Y ZIPPER SWEATSHIRT_BLACK / ₩66,400
https://bit.ly/3X8eJKD

lash STUFF C3 / ₩195,000
https://m.lasheyewear.com/product/stuff-c3/1834/

OJOS Seperate Biker Shorts Black / ₩93,000
https://product.29cm.co.kr/catalog/1600134

ANGELO BIANCO Mela Lab Pants / ₩150,000
https://bit.ly/3itZegW

Kupido Layered leg warmet_ivory / ₩42,000
https://bit.ly/3GxMMF4

ROWKY 스트링 레그워머 / ₩19,000
https://s.zigzag.kr/le5PreYfzh?af=1

HOLD THE LINE 피쉬넷 그물 망사스타킹 / 중망 ₩3,000 대망 ₩3,600
https://s.zigzag.kr/DNHZclT8ua?af=1

ARCTERYX 22FW 맨티스1 웨이스트팩 / ₩69,000
https://www.okmall.com/products/view?no=685792

NIKE 우븐 플로우 자수 레드 / ₩48,000
https://bit.ly/3GAr9nl

NCOVER NO WORKING HOLIDAY CROP SWEATSHIRT-GREY / ₩62,100
https://bit.ly/3CGCvFv

WOVEMENT Pleats Pants Red / ₩98,000
https://bit.ly/3CEPCGW

YUNA J 말랑 후리스 팬츠 / ₩49,300
https://s.zigzag.kr/fv86PNlvgl?af=1

YUNA J 베이직 끈 튜브탑 / ₩8,900
https://s.zigzag.kr/YOfUZT5D7r?af=1

lienlier danggi padding bag - pink / ₩83,000
https://bit.ly/3kb9WcD

Quafe ALPACA MUFFLER BOLERO / ₩113,000
https://bit.ly/3istIQs

Quafe LOGO JOGGER PANTS_Magenta / ₩76,000
https://bit.ly/3vVu9pG

AUTHENTIC WARDROBE SHEARING FUR CROPPED ZIP-UP JACKET / 245,000
https://atwr.co.kr/
_____________________________________________________
Business: jl5755@naver.com
Instagram: http://www.instagram.com/jaelimize",4.0,8개월 전(수정됨)
1,dahid012,"팬츠는 실제로 입어본거 아니면 구매할때 후기필수인 것 같았는데 이렇게 다양한 바지들을 볼 수 있어서 넘 좋았던것 같아요!!️ 저는 바지는 너무 튀거나 편하면 코디하기 오히려 어렵다고 느꼈어서 무조건!스키니!! 
하지만 이제는 이런 팬츠는 이런코디로 입어주면 예쁘다를 알게되었네요ㅎ영상에서 부츠컷 검은츄리닝이랑 니트와 집업세트 너무 제 스타일이예요ㅎ재림님은 하울이나 코디관련 영상이 주로 있다보니까 한 2가지정도? 컨텐츠가 보고싶더라구요!!
첫번째는 ”쇼핑몰 온오프라인 추천영상+같이 쇼핑해요“ 도 한번 보고싶어요! 이제 다가오는 봄에 코디나 어떤옷이 유행할거같다 하시는것도 궁금하고 몰랐던 쇼핑몰을 알아가면서 직접 구매하는 영상까지 같이 영상으로 만들어주시면 너무 좋을것같아요
두번째는 구독자분들의 옷장을 함께 파헤쳐서 안입었던 옷들로 코디를 해주거나, 입고싶었던 스타일로 재림님이 코디해주시는거예요!
올해는 함께하는 영상이 많았으면 좋을것같아요
dahye__99",0.0,8개월 전(수정됨)
2,1852,간만에 패션하울 넘 재밌게 잘봤어요~이뻐요:)♡,0.0,8개월 전
3,userxw1yc6id7u,"오랜만에 패션하울이네요
오늘 나온 상의들이 다 이뻐요
잘보고가요 ~~",0.0,8개월 전
4,hye123,"저도 요새 맨날 편한 옷만 입어요ㅋㅋㅋ
이지웨어 최고..!
오늘 니트 집업 너무 예쁘네요~~
완전 잘 어울려요!
재림님 괜찮으시다면 재림님이 픽한 편한 바지 추천 영상 보고 싶어요!
특히 조거!!
조거가 편한 옷의 대명사라 아무거나 사도 될 것 같은데 막상 예쁜 거 찾기 쉽지가 않더라고요.",0.0,8개월 전
5,whywhats,재림님 패션영상 너무 좋아요!! 옛날보다 적은거같아요 자주해주세용 ㅠ,0.0,5개월 전
6,useryo5fl5cq3s,평소에 쓰시는 화장품으로 메이크업하는거 보고 싶어요ㅜㅜ 재유님 화장법 이뻐요ㅜㅜㅜ,0.0,8개월 전
7,useryu6sh3tz2p,우와 패션유튜버 재림 짜아아앙~ 저는 선물추천 영상도 보고 싶어엿. 재림님만의 선물 추천테에에엠~!!,0.0,8개월 전
8,usergf7to4gq6l,"저번영상에서 올해엔 패션영상도 자주 업로드하겠다고 하셔서 내적환호성 질렀어요>< 
취미영상도 좋지만 저는 옷을 너무 좋아해서 예쁘고 괜찮은 옷추천템도 많이 얻어가고싶어용
아 그리고 저는 재림님 인생템 영상보고싶어용 뷰티나 패션, 생활템 등등 찐으로 잘쓰는 것들 알고싶습니당!
오늘 나온것들 중에선 우알롱 부츠컷팬츠가 제 취향이네요ㅎ 핏대박 멋져요 사러갑니당ㅎ
_mingna.0",0.0,8개월 전
9,joannarobinhood8020,️,0.0,8개월 전
10,usermu6up6px2j,"우왕 언니 패션하울영상 너무 좋아요️
다른 영상들도 너무너무 좋지만
언니 패션하울 영상이랑 택배 언박싱 영상은 못잃어... 
언니의 삶의질 상승템이나 꾸준히 잘쓰시는 추천템 영상 보고싶어요️


@yrj_1205",0.0,8개월 전
11,userbm9dg8kt5l,"@sua.haza

재림님 제가 요즘 레그워머에 빠져있는 거 어떻게 아시구!!!! 소개해주신 Rowky 레그워머두 넘 기엽네용 

다음영상으로 레그워머, 니삭스, 스타킹 같은 아이템 소개 해주심 어떨까요??? 

요즘 이런 포인트 줄 수 있는 패션 아이템들에 눈이 가더라구요!! 뭔가 조그만 아이템에 큰 돈을 쓰기도 고민되고 저렴한 걸 사자니 퀄리티가 걱정되고요ㅜㅜ! 재림님이 추천해주시면 믿고 구매할 수 있을 것 같아요! 항상 좋은 영상 감사합니다 ",0.0,8개월 전(수정됨)
12,aeonianhoney318,"재림님 너무 잘 봤어용  
아직 겨울이 지나간 건 아니지만 아우터 추천 영상도 좋을 것 같아요!! 
aeonian___honey_318",0.0,8개월 전
13,rangada7671,"@darang_a 
겟레디윗미 보고싶오요 
~~",1.0,8개월 전
14,userpw2gi1zz7p,"조거팬츠 찾는데 도움이 될 것 같아요 ㅎㅎ!
저는 자기관리(독서,다이어리,속눈썹,다이어트 등) 하는거 보고싶어요! 

@kippihee",0.0,8개월 전
15,userun1hb6vg4z,"입고싶어요
로드샵 쿠션 영상 보고싶어요
o131_3_",0.0,8개월 전(수정됨)
16,siwooxxi,"재림 님 저하고 키가 비슷해요 
깡총 (내적 친분 상승)   
다가오는 봄에 입으면 예쁜 코트들과 어울리는 코디 영상 보고 싶어요!! 
그리고 영상 처음에 자주 올려주셨던 시술 영상들 보고 싶어요!! (요즘엔 하시는 시술 없으실 까요?? ) 

항상 재미있게 시청 하고 있어요 
앞으로도 유익하고 재미있는 영상 잘 부탁드릴게요 !! 

@ayoayoooo_",1.0,8개월 전
