,youtube_id,comment,like_num,comment_date
0,wonchullee807,진짜 거의 모든 옷의 소화력은 최고신듯 ,4.0,11개월 전
1,userof9er1do1c,최근 영상들 평균 2일에 한번 업로드. 편집 기획도 다 혼자하는 준수형.... 진짜 솔직히 존나 대박난다 무조건....개열심히 산다...,6.0,11개월 전
2,userdd6wr4mr7x,"어떻게 이렇게 제 맘을 잘 아시는지 ㄷㄷ
니트 찾아보고 있었는데 역쉬 준수님 영상은 믿고 시청합니다",1.0,11개월 전
3,usereq5ob3md5u,더니트컴퍼니 제품이 휘뚜루 여기저기 매치하기 좋아보여요️️️,0.0,11개월 전
4,userzd6mm2lq4z,"준수형님,, 항상 잘 보고 있습니다.. 준수형님이 직접 준비하신게 너무 이뻐요",0.0,11개월 전
5,hspark8408,정확한 가격도 같이 알려주시면 좋을 것 같아요!,4.0,11개월 전(수정됨)
6,tvtvow7ms,크 역시 준수님 진짜 패션 유튜버중 핏 센스 다 최고입니닼ㅋㅋ,0.0,11개월 전
7,KlNDERJOY,다 이쁘면 어떡해ㅜㅜㅜㅜㅜ,0.0,11개월 전
8,userhn3qc1jx5v,더니트컴퍼니 2번째 코디 바지 정보 알 수 있을까요ㅎㅎ,0.0,11개월 전
9,ssm01247,2:14 그레이 슬랙스 정보좀 주세요,0.0,11개월 전
10,usermn6cv4bw1h,물 들어올때 노 제대로 지네.. 형 건강도 챙겨,2.0,11개월 전
11,usersx7sh5jc5k,니트랑 같이 입은 바지나 신발 정보도 알려주시면 안될까요..,0.0,11개월 전
12,sung1lee,엉엉 이쁘면 다비싸ㅜㅜ,0.0,11개월 전
13,userbb4vz5ti2z,쿠어 니트랑 입으신 하의 정보 알 수 있을까요?,0.0,11개월 전
14,userxx9qz4rf6d,형님 다음엔 팬츠까지 착샷정보좀 적어주십쇼,1.0,11개월 전
15,useryr9gq3dm1f,더아이덴티티 프로젝트에서 신은 신발 정보 알수 있을까요? 영상 항상 잘보고있습니다,1.0,11개월 전
16,usergl1wi6yk2f,아직 더운데 열일 고생하십니다용,0.0,11개월 전
17,userov9pr8ib4m,쿠어 니트랑 같이 입으신 팬츠 정보는 어떻게 될까요 준수님?!,0.0,11개월 전
18,userbl9tb8ve2k,혹시 더 니트 컴퍼니에 입으신 베이지색 턱 바지 종류좀 알수 있을까요??!!ㅠㅠ,2.0,11개월 전
19,userjr5mc6ve4l,니트류 입을때 이너로 입은 터틀넥은 어디껀지 알 수 있을까요?…,3.0,11개월 전
20,userqg5sy6xb5h,에프터프레이 랑같이 입은 바지 어떤건지알수잇을까요?,0.0,11개월 전
21,useren4jv7zw9l,이얼즈어고랑 같이입은 팬츠 정보좀 주세요 준수늼,0.0,11개월 전
22,userkd8iy3zk5z,아미 빅하트 니트(블랙)은 어떻게 생각하시나요??! 깔끔한 남친룩 코디 즐겨하는데 괜찮을까요?!!,1.0,11개월 전
23,userct9mj3vt3z,아이덴티티 착장 팬츠정보좀 알 수 있을까요?,0.0,11개월 전
24,uservf1wr4iw1o,아... 이제 지갑에 돈 없다고,0.0,11개월 전
25,userjb7gb6km1x,에어팟 케이스 정보좀 주세요 ㅠㅠ,0.0,11개월 전
26,userlk5jv6be8l,쿠퍼 오타네요. 잘봤습니다.,0.0,11개월 전
27,sarusaru98,터틀넥 이너 알려주십쇼 형님,9.0,11개월 전
28,userjb5rs9rf6u,어딜가야 만날 수 있나요 ~~~~~,0.0,11개월 전
29,jameskim1340,같이 한번 보시죠,0.0,11개월 전
30,userfq9cl4dk1x,1,0.0,11개월 전
31,userto6ox5et9v,1듭ㅇ,0.0,11개월 전
