,youtube_id,comment,like_num,comment_date
0,Kingstonforgentleman,"맴버십의 혜택은 아래의 링크를 통해서 자세하게 확인이 가능합니다
https://www.youtube.com/@Kingston_for_gentleman/join

매주 트랜디한 스타일 강의가 올라오는 [킹스턴 헤어 온라인 클래스]
후회하지않으실겁니다.
 
감사합니다.

- 킹스턴",5.0,4개월 전(수정됨)
1,useruv3kh5lz2s,안녕하세요 형님처럼 되고싶은 30살 프랜차이즈 남성커트전문점에서 일하고 있는 초급디자이너 입니다. 디자이너 달고 배우러 다녀봐도 별로 나아지는게 없어서 포기할까 했었어요.맨날 일하면서 다른 디자이너 분들 하는거 눈치보면서 기술 터득하기가 힘든데 이제 클래스가 생겨서 좋네요! 형님 영상 잘 보고 있고 실력 좀 쌓이면 나중에 면접 한번 보러갈께요! 멤버쉽은 뭘로 등록을 해야할지 고민 좀하고 신청할께요!,4.0,4개월 전
2,userpo1cc4lg4y,여기 갈때마다 정말 항상 너무 마음에 듭니다!!!!!!,3.0,4개월 전
3,minseongkim9434,존경합니다 원장닙 멤버쉽 구독하였구 매장교육도 듣고 싶습니다 ㅜㅜㅜ,2.0,4개월 전
4,uservj8pg4sf8h,배울수 있는 기회를 주셔서 감사합니다,2.0,4개월 전
5,hsp5004,"가슴이 두근두근 거립니다.
오프라인 교육 때 꼭 갈게요.
감사합니다.",1.0,4개월 전
6,m961367w,오프라인강의도 오픈해주세요 대표님 ㅠ,1.0,4개월 전
7,biglife0191,감사합니다:),1.0,4개월 전
8,sunginlee4039,많이 기대됩니다!! 남자 장발도 교육하실 예정이 있으신가요?,1.0,4개월 전
9,userrj9ub2rd5m,"오호.... 역쉬! 
큰일 하시는군요 ㅎㅎㅎ
멋지십니다. ",1.0,4개월 전
10,userqr2zn9hp9h,응원합니다!!!,0.0,4개월 전
11,youthbeauty2136,"진짜 이분은 찐이다. 
원장님. .^^
부산에는 매장 없나요 ㅠㅠㅠㅠㅠ",1.0,4개월 전
12,usermb8xs2zm7k,"원장님, 완전 초보 바버입니다. 저같은 경우 어떤 멤버십이 괜찮을까요?",1.0,4개월 전
13,suobal8624,돈주고러도 직접가서배우고싶어요  오프라인클래스해주세여~,1.0,4개월 전
