,youtube_id,comment,like_num,comment_date
0,usercr5ve3xq4o,"루씨언니 피부 미쳤어용눈이 띠용 피부 결도 좋고, 화장 메이크업도 너무 잘 어울리세용️",0.0,4개월 전
1,kongdol0620,루씨님 하면 맑음이라는 단어가 떠오를 정도로 맑고 청량한 느낌이 들어요~ 베이스가 맑은데 블러셔까지 맑아서 에이드 같기도 해요♡ 여름에 꼭 써보고 싶은 조합들이에요♡ 진짜 믿고 쓰는 루씨님 조합 ㅜㅜ 아드망도 갑자기 꽂혔는데 역시역시...,1.0,4개월 전
2,yepopo77,저 저번주 토욜에 루씨님 지하철에서 뵀었는데 너무너무 인사하고 싶었지만 남자친구분과 계셔서 참았어요🥹 목소리로 딱 알아챘어요! ㅋㅋㅋㅋㅋ너무 귀여우신 목소리가🫶 루씨님 브랜드 너무 기대되고 다음에 또 만나면 좋겠어요>_< 루씨님은 사쉴 피부 화장 안 해도 예뻐유,7.0,4개월 전(수정됨)
3,userkk9uq7dx5d,11호 정도로 확실하게 하얀 톤도 나왔으면 좋겠어요!ㅎㅎㅎ,19.0,4개월 전(수정됨)
4,hazelpark141,"베이스 언제쯤 출시될 예정인가요~~~?
퓌 파데도 너무 잘썼지만 루씨님이 제작하신다니 너무너무 기대되네요",6.0,4개월 전
5,usernx4qv2th3x,"에스티로더 퓨처리스트 쿨포슬린 컬러에서 여지껏 헤어나오지 못하는 사람입니다ㅠㅠ
루씨님 베이스 너무 기대되는데요 ㅎㅎ
혹쉬 핑크 베이스도 생각있으실가요?",0.0,4개월 전
6,userxj1qp5sw7c,"퓌파데잘쓰고잇어요><♡
맑고 톤보정 잘되는베이스인거같아 기대되요 언제쯤출시하실런지 꺄
지속력도 좋았음 좋겠어용!
출시하면 바로사러갈게요♡",2.0,4개월 전
7,Yoonhf3uc,웅니 파데 빨리 만들어주세요..목빠지게 기다리게쑵니다 ️️️,2.0,4개월 전
8,usernoheadtobreak,선크림은 따로 안바르시나요???,0.0,3개월 전
9,eeh2412,와~자주 만나니 넘넘 좋아욤~^^,2.0,4개월 전
10,useroj2jq4dv4k,아드망~~ 루씨님 덕분에 또 좋은 브랜드를 알았네요~ 그동안 실패한 적 없는 루씨님 추천템~ 이번에도 겟~~^^,2.0,4개월 전
11,uservo4bj7gx2b,언니 바르신 립이 뭔지 여쭤봐두될까용,1.0,4개월 전
12,konga,21호-23호 쿨톤 베이스 컬러 원해요 시중에 나온 파데는 다 밝은 쿨톤밖에 없어요...! 핑크기 낭낭한 어두운 베이스 파데 부탁해요오🩵,2.0,4개월 전
13,userfn2qg4wd5d,립 메이크업 어떻게 하셨는디 궁금해용!! 너무 예뻐요️,1.0,3개월 전
14,doridoring,루씨님 아드망 너무 써보고 싶은데 마켓 예정은 없으신가용 ㅎㅎ,1.0,4개월 전
15,usermy5es9sf4x,디올 00호처럼 밝은 홋수도 원해요!!,3.0,4개월 전
16,userck2xq4tb3p,피부가 워낙조으시니  못따라가ㅜㅜ흑흑슬프네요,0.0,4개월 전
17,lissasudo3148,Skincare ,1.0,4개월 전
18,userqv7kc7cu5y,아드망 추천보고 샀는데.간지럽고 두드러기 올라오고 계속 간지러워요 얼굴 상태 말이아니네요 ...너무 좋다해서 샀는데..화 마이.나네요,0.0,3개월 전
19,useryl9yf1jh4v,블러셔는 어떤 거 바르셨나용 ?,2.0,4개월 전
20,abcyl3zu,속광미쳤어요...!!!!!,4.0,4개월 전
21,userkr4gg1wb1u,깐달걀 같아요~찐 좋아요 와~~~,3.0,4개월 전
22,userqi1bf2xf7l,귀걸이 정보 알고시퍼요오옹~~,0.0,4개월 전
23,bonniep3851,1년을 어떻게 기다려요 ,1.0,3개월 전
24,DHjr6wv,아드망..털러갑니다️,3.0,4개월 전
