,youtube_id,comment,like_num,comment_date
0,usergz3sf5ud8b,아 루씨님 너무 귀여워요 ㅋㅋㅋㅋㅋㅋ 10:34 어떻게 사람이 각도기...?  향기 나는 제품 바르고 킁킁거리는것도 구매한 제품들 보고 좋아하는것도 넘 힐링되고 좋은거 같아요 . . ♡,6.0,7개월 전
1,userpg6el6te5p,저 어릴 적부터 못생겼단 소리만 듣고 고백 한번 받아본 적 없는데 언니 영상 보면서 화장도 연습하고 머리나 옷도 가꿔보다보니 자존감이 올라가서 잘 웃게 되고 이젠 한번씩 청순하단 말도 들어요!!! 글고 이번에 나이 20에 첫 남자친구가 생겼습니당...  언니 영상에 도움을 많이 받아서 감사하단 말씀을 드리고 싶더라구용 ! 이번 영상도 잘 보겠습니당 !,3.0,6개월 전(수정됨)
2,useroh9eg3tr9b,루씨님 향 얘기 듣는 거 너무 좋아요,4.0,7개월 전
3,userxb8lr3iq1q,저번에 테라브레스 레인포레스트 추천해주신거 듣고 저도 꾸준히 구매중인데 저랑 완벽히 취향이 같으신 것 같아 너무 좋습니당 루씨님 ㅠㅠ 저도 나 가 글 했 어! 하면 오히려 엄청 .. 입냄새 나는 사람같고 ㅠ ㅎㅎ 부끄러운데 진짜 테라브레스 가글은 무슨 향을 써도 시원하고 맹맹해서(?) 그냥 향기 좋은 사람이 된 것 같아요 ㅎㅎㅎ,2.0,7개월 전
4,userqd4sv3kr4w,향 찐덕후 느낌 팍팍~!!  역시 인정 인정~^^  오늘 루씨님 덕분에 눈호강 지대루 했네요~,0.0,7개월 전
5,userpl8fy4yl1f,영상 가끔 뵐때마다 느끼지만 참 드라마에 나온 말처럼 봄날의 햇살을 같으셔서 영상 틀어놓고 목소리 들을때마다 힐링돼요️ 저도 저렇게 햇살같은 사람이되고 싶다는 생각이 들어요,4.0,6개월 전
6,userbp7mq8fp8w,언니 덕분에 디오넬 입덕해서 잘 쓰고 있었는데 포엘리에 향도 궁금하네용 전 복숭아로 사봐야겠어용ㅎㅎ 이런 영상 너무 좋아요ㅎㅎ 길면 길수록 더 쥬아,7.0,7개월 전
7,mandoo8887,미친 영상 길이!!!!!!! 너무 좋으요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 건강하시구 행복하시구 제 사랑 가져가세요️️️,13.0,7개월 전(수정됨)
8,userqo1uj3ot3t,언니 영상 너무 재밌어요 최근버전으로 향수영상 찍어주시면 좋겠어요!!,1.0,7개월 전
9,usermp8fe6xw4d,처음 알게된 제품들이 많은 것 같아요..!! 올리브영에 이렇게 많은 제품이..?!?!?!?!!!,5.0,6개월 전
10,usercr5ve3xq4o,제가 샀던 제품들도 있네용~~️,2.0,6개월 전
11,userjx4dj1oz9p,편하게 옆에서 얘기해주는 것 같아서 더더욱 집중해서 듣게 되네요~ 화장실도 못가고  ㅋㅋ,0.0,7개월 전
12,dajoa0702,바디워시 향 맡는거 너무 귀여우시네욬ㅋㅋㅋㅋ,1.0,4개월 전
13,falllee5144,이런 영상 넘 좋아요!^^ 편하게 친구 얘기 듣는 느낌?,0.0,7개월 전
14,andIalways,우와 엄청 많네용ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오늘 영상도 잘 보고 갈게용 1:56 진짜 이뿌다 울 언니🫶,4.0,7개월 전(수정됨)
15,useroz8bi1si6y,루씨님 롬앤 멜팅밤도 따로 리뷰 보고 싶어요!,0.0,5개월 전
16,euone3213,미친….. 넘나 감사합니다 이거 보면서 자야지…..🫶,0.0,6개월 전
17,wjl2640,이야아~~  길어서 넘 좋아요~ 빠져볼테얌~,3.0,7개월 전
18,Angkkonuna,"오늘 루씨님 속눈썹 너무 예뻐용 
혹시 속눈썹 붙이신건가용?",0.0,7개월 전
19,userjf7yq3td9v,"포엘리에 오드플뢰르 향도 좋아요! 저도 2개나 샀어용 ㅋㅋ
라네즈 뷰러 잘 맞으시면 다이소 ﻿고급핸들포인트속눈썹뷰러 품번:54668 2,000원인데 추천해요 더 잘올라가요!",0.0,7개월 전
20,userkn4ev2ef7x,언니 기여버,1.0,4개월 전
21,smilejasmin,마비스 좀 쎄다던데..  제가 덴티스테치약마일드쓰는데 비슷 한가요?,1.0,7개월 전
22,khl4118,올리브영 100  이라구용? 막 부러우당~^^,2.0,7개월 전
23,jsh,우아..엄청많고 보는재미쏠쏠,0.0,7개월 전
24,cucuhaseiyo,언니 머리색 무슨 색인가용? 넘 예뻐요!!,0.0,6개월 전
25,BBABAo3o,"1:55 언니 목소리가 더예뻐,,,,, 멍미 ",3.0,6개월 전
26,usercb9ie2uj8h,ㅇ요 영상 메이크업 립 제품 어떤걸까요? 넘 예뻐요~,3.0,7개월 전
27,usertp3mz7il1v,입고 있는 상의 가디건 어디껀가요?!?!,3.0,7개월 전(수정됨)
28,useruk3ur7je4c,35분 영상 귀하군요.,2.0,7개월 전
