,youtube_id,comment,like_num,comment_date
0,EMhr7ly,오늘 메이크업 평소랑 뭔가 달라요!!!! 이 화장도 엄청 예뻐용,1.0,7개월 전
1,leecoffee7119,눈만 빼꼼 보이면서 조잘조잘 말하시는 거 참새 같아융... 저두 올해 꼭 해외로 나가보려고요! 코로나 기간동안 얼레벌레 4년차 간호사가 되어버렸는데 오드님 말대로 후배 괴롭히는 것들 코만 깨지면 행운으로 알아야 함^^ 실수해서 혼나는 것과 화풀이하는 건 천지차이죠...ㅡㅡ 같이 화내주시니까 제 속이 다 시원하네요! 2015년에 제 생애 첫 구독한 유튜버가 오드님이에요ㅋㅋ 사랑해융~,0.0,7개월 전(수정됨)
2,userrz7qk2ft6z,히피한 머리 너무 잘 어울려요!!! 언니의 큰 눈이랑 찰떡입니당,0.0,7개월 전
3,userjp9iu3mq3c,"이언니는 갈수록 어려지는거 같아,,, 히피펌 너무 귀여워요 ㅠㅠ 아기햄토리 같아",0.0,6개월 전
4,Dearesty,"저도 혼자 사부작 거리는 거 좋아해요 희희 오드님 혼여행 영상 최고,, 국내 여행 영상 너무 좋을 것 같아요! 당일치기나 1박으로 가는 여행이 요즘 그렇게 좋더라구요",2.0,7개월 전(수정됨)
5,hbj6358,7:44 흐아 언니 많은 무물들 있었을텐데 제 무물에 답해주시다니 너무 감사드려요 덕분에 위로 많이 얻구 갑니다ㅠㅠ저는 다시 일을 찾으러 떠나봐야겠어요 이번엔 제발 좋은 직장이기를 바래봅니다언니 사랑해요 항상 잘보구있어요🫶,0.0,7개월 전(수정됨)
6,useryg3bx3yu5b,렌즈는 안끼신건가요? 너무 예쁜데 자연스러우셔서,2.0,7개월 전
7,usergz4yx3fh6u,오드님!️ 혹시 렌즈 정보 알 수 있을까요? 너무 예뻐요️️,3.0,7개월 전
8,twosky,항상 잘 보구 있어요 ㅎㅎ 엔믹스 해원님 느낌나여!!,0.0,7개월 전
9,userfe4bv5xc1c,"일빠 !!!!! 오늘도 넘 이뿌세요오옹
11:33 제 무물이 답변달리다니..넘 영광입니댜..",0.0,7개월 전(수정됨)
10,userpl8wo2yr7i,,0.0,7개월 전
11,genielove4900,고양이스프 도시락싸서 고양이냥냥리조트도 방문하세요 ~⚘️,0.0,7개월 전
