,youtube_id,comment,like_num,comment_date
0,userho4zg1dq9d,우와 클라이밍 뽐뿌 와요.. 운동복도 너무 잘어울려요 멋지당…,4.0,5개월 전
1,singasson,레깅스 룰루레몬이랑 요새 할리우드 셀럽들이 많이 입는 alo 추천해여! 색감이 너무 예쁘고 편해요,0.0,4개월 전
2,nicoledsss,핑크 블라우스 자켓 콜라보인가요 너무예뻐요 당장입고싶어여!!!! 동오님 클라이밍 실력 너무 후덜덜해요 넘 멋있습니다 반했어요,4.0,5개월 전(수정됨)
3,pppiggg,우와 ㅜㅜ클라이밍 너무멋있어요!!!!!! ㅜㅜㅜㅜㅜ 등근육!!!!!!,0.0,5개월 전
4,djrkdking8968,"댓글 잘 안다는데.... 팔, 등근육이 진짜 멋져요",0.0,5개월 전
5,nayabin,"동생오리님, 클라이밍 영상에서 입은 운동복 바지 정보 궁금해요! ",0.0,4개월 전
6,useryn5rx9el1o,"와 동생오리님 턱걸이랑 클라이밍 실력 무엇.. 🫢
운동 몇년차세여 진짜 대단…",11.0,5개월 전
7,87yenamom,잠실️️️,0.0,5개월 전
8,Eunjuuuu,동생 오리님 운동복 소개해줄때 입은 아우터 정보도 알고싶어요옷!!!,2.0,5개월 전
9,userch8lf9lr8b,타조키링 원조는 코지모지입니당 ㅜㅜ 다른곳은 디자인도용한곳이에용 ㅜ,3.0,5개월 전
10,319dasom7,"동오님 진짜 멋있어요 
(성난 등근육)
운동이 여러가지있는데 클라이밍을
하시게된 이유가 있으실까요?",0.0,5개월 전
11,janmyang,진짜 등근육 보느라 마지막에 시간 호로록 감,0.0,4개월 전
12,istjjjj,우와 등근육 머선일,0.0,5개월 전
13,usertq9ki5gg8k,7:31 하늘색 니트 정보도 궁금해용🩵,1.0,5개월 전
14,jjyom3380,언니오리님이 입은 하늘색 니트 정보 알고싶어요!,0.0,4개월 전
15,JiJibq7li,"동생오리님 등근육 보느라 머라고 말하시는지 들리지가 않네요,,,,,",18.0,5개월 전
16,userls3lz2km6g,맨앞에 메신 핑크가방 궁금해요,0.0,4개월 전
17,userln3xz2mw3l,클라이밍 영업 영상 원해요,2.0,5개월 전
18,ChaChapr4gl,와 나만 핸드폰하면서 거북목된 찌질이여ㅠ.?등근육 wow!!! 승모근 안아프세요?? 뭔가 힘이 굉장히 실려서 아플것같은느낌이 ㅠ,0.0,5개월 전
19,JANAln4mr,잘 안들려서 화면을 확대했읍니다…,0.0,4개월 전
