,youtube_id,comment,like_num,comment_date
0,Gracenl1qq,I smile everytime you update then I smile even more when I watch you interact with Mimi..so cute ,0.0,11개월 전
1,GigiYan,"Sus videos son realmente relajantes, me sorprendo porque tiene subtítulos en español y eso es lo mejor ",0.0,11개월 전
2,nanar0d,"I missed you so much Solmee, I hope you are feeling better! <3",5.0,1년 전
3,lilup7227,"I think your new hairstyle suits you a lot ! When you talked about the book you’re currently reading I was taken aback by how pretty you looked ! I know it’s only my opinion but I wanted to say it anyway  also me too I prefer reading inspiring books with real paper and pages instead of reading ebooks because turning the pages, touching the cover, things like that have a healing effect on me",0.0,1년 전
4,theuglypotato7017,Im glad im not the only one that has to clean their room everyday a bit  Im glad you are back Solmee,4.0,1년 전
5,usercs2ym3kr5o,I loved how Mimi ate melon! So cuteeee!!! 🥹🥹,1.0,1년 전
6,ReneeBathory,I just got a cat and love it so much! ‘Everything tastes better with cat hair’ as they say LOL,0.0,1년 전
7,uo4pk,최근에 살짝 번아웃 같은 증상이 왔다가 극복하는 중에도 다시 찾아오려고 하는데 저도 천천히 잘 극복해봐야 겠어요ㅎㅎ,0.0,11개월 전
8,anastasiao4976,"thank you so much for the russian subtitles, i love you ",0.0,1년 전
9,userdz9rp7nc8n,행복하자 나의 공주야 ️️️,0.0,11개월 전
10,dechenchoden4369,The ‘mini cabbage’ is called Brussels sprouts. ,1.0,1년 전
11,gggg0,진ㅋ자 고양이랑 투샷 졸라귀야움 ㅠ 둘다귀여워,0.0,10개월 전
12,useryoungju428,앞머리 넘 이쁜데여,0.0,11개월 전
13,userlp6zd3xq5r,앞머리 너무 이쁜데이잉️️,1.0,1년 전
14,sonavaishnav510,앞머리 인형같다 잘 보관해주세요 사랑해요 여왕님,0.0,1년 전
15,milkbread5036,I love your videos :D so relaxing ^_^,0.0,1년 전
16,yaranammour1620,"Thanks for Arabic translation , love you soooo much ️️️",0.0,11개월 전
17,manar6836,"너무 행복해 ㅜㅜㅜ
너 vlog 너무 좋아요 ㅜㅜㅜ
우앙",0.0,1년 전
18,luv9r,Solmee we want a ( what I eat in a day) video 🫶🫧,0.0,1년 전
19,jeannelau2574,The mini cabbage is called Brussels sprouts.,0.0,1년 전
20,liphoria,Yeppeun unnie is back,0.0,1년 전
21,userrb9ui7xu1e,احبك كثيرا سولمي اتمنى ان تترجم دائما الفيديوهات بلعربية,0.0,11개월 전
22,doremina661,언니 촬영할때 어떤거로 찍으세요?? 너무 이뻐용,0.0,10개월 전
23,lilup7227,I always say bye back to you at the end of your videos  안녕 ! ,0.0,11개월 전(수정됨)
24,hyoio638,이뻐열 언니,0.0,1년 전
25,AllMyInkHybrid,Yaaay Solmee ,1.0,1년 전
26,Leahruby,the mini cabbage is brussel sprout ,0.0,1년 전
27,misshealthylifestyle3254,You are so beautiful ,0.0,7개월 전
28,pooengguin1723,하얀색 배색 가디건 어디껀지 알려주실 수 있나용 너무 예뻐요 ,0.0,1년 전
29,asanekamsonasanekamson9232,Latest workout vid n ur weight loss progrm waiting for it,0.0,1년 전
30,rawann44,,1.0,1년 전
31,kaja0044,how many meals do you eat in a day??,0.0,1년 전
32,userws1ml7yx8d,처음에 입고 나온 아디다스 제품명이 뭐에용???,0.0,1년 전
33,nahlaidris,Were the mini cabbages brussel sprouts?,1.0,1년 전
34,shovelerkaist,패스트샴푸 후기 기다립니다 이상 오늘 머리 자르고 망한사람입니다,0.0,1년 전
35,ses5667,Why are you so beautiful?,0.0,1년 전
36,asmaaahmed9771,I love you,0.0,1년 전
37,useryh3zj6yg7r,앗 1빠 놓쳤다,0.0,1년 전
38,nanar0d,First!,0.0,1년 전
39,karakuwa553,"今日も1日お疲れ様でございます♪今は雨️で28℃まで上がるみたいです♪今は少し蒸し蒸ししてます♪これから日が短くなると思うと元気を無くします♪冬は苦手です♪寒いのは嫌いです♪冬が長く感じてしまうのは自分だけでしょうか？本日も素敵な動画をありがとうございました。

ウチも雌猫を飼っています♪動画もあります♪良かったらご覧下さいね♪コメントやチャンネル登録もして頂けると嬉しいです♪",0.0,1년 전
