,youtube_id,comment,like_num,comment_date
0,Cncodrbgd,아 너무 이쁘시다 ㅠㅠ 레드탑도 이쁘시구! 제품소개 너무 좋아요!!,3.0,2개월 전
1,haerikim7295,대박  짐싸는 영상 보고 여행 스킨케어 뭐 챙겨 가셨는지 완전 궁금했는뎅  넘 좋아요 ,2.0,2개월 전
2,bluemmi2768,루틴 영상이 젤 좋아요~괄사도 처음 론칭하셨을 때 구입했는데 너무 잘 쓰고 있습니다~~,3.0,2개월 전
3,userzk5ui2ks8g,진짜 화장해도 다 지워지는고 트러블 진짜 많이나요ㅠㅠㅎㅎ 선스프레이 진짜 좋네요ㅎㅎ,2.0,2개월 전
4,Luminousnw9zz,"썬크림 유기 자차 먼저 바르고 흡수시킨다음 무기자차로 또 덮어 줘도 되나요? 
사람들이 섞어쓰지말라고 얘기들 해서  한가지만 바르고 있었거든요   제발 알려주세영 집에 선크림만 12통 있을정도로 강력한 차단을 원한단말이예요 ",3.0,2개월 전(수정됨)
5,userop7du7nn1o,왼쪽상단이더라도 스텝별 핵심사항이나 제품명이 있긴 했으면 좋겠네여,3.0,2개월 전
6,userxk4kc9xd5v,결님 장마철 건강조심하세요,0.0,2개월 전
7,ddolljak238,예쁘다 예뻐,2.0,2개월 전
8,userme7cm1to4s,스킨케어 루틴이요 영상 제목이네요 ,1.0,2개월 전
9,reemaqs9lm,,3.0,2개월 전
10,lolLOLft8vc,레드 원피스 너무 이뻐요 어디 제품인가요??,3.0,2개월 전
11,ehdgus3467,,2.0,2개월 전
12,akinuakinu2087,🩷️,1.0,2개월 전
