,youtube_id,comment,like_num,comment_date
0,gggyul," 안녕하세요 김결입니다 :)
조금 많이 늦은 2023년 연간 셀프케어 플래너.. 같이 짜보실 분 계신가요? 
스킨케어도 연간계획을 세우고 시작하는 것과 아닌것은 하늘과 땅 차이거든요.. 
딱 계획을 세우면 머릿속에 루틴들이 정리가되면서 약간 현재에 깨어서 살아간다고 해야하나..? 암튼 무조건 해보시길 추천드립니다!!

 2023 셀프케어 플래너 다운 URL : https://drive.google.com/drive/u/1/folders/1QQy09dv52v0GuJsX63ecY12AEAfqQoXe",4.0,7개월 전
1,userei6qf4cx1g,아니 세상에 언니 ㅠㅠ! 안 그래도 나이를 먹어가면서 루틴이나 피부 기계가 계속 추가되면서 모든 사항들을 제 머리에 기억하면서 했었는데 그러다 보니 누락되는 날도 많고 했는지 안 했는지 기억도 안 나고 … ㅠ 이런 플래너가 있었다니 정말 최고예요 극P인 제가 제 자신의 더 나은 아름다움을 위해서 J가 되어 가보겠습니다 저는 요새 피부 미용 기기에 관심이 많기에 요일별로 쓰는 제품을 표기해두려고 합니다! 잘 쓰겠습니다 2023년이 마무리될 때 즈음 언니가 얼마나 잘 실천해오셨는지 후기 영상도 보여주심 좋을 것 같아요 ,1.0,7개월 전
2,userqi3qm8qo2w,이런 팁 영상 너무 좋아요  게다가 플래너까지…많이 배워갑니다. 공유 감사합니다!,0.0,6개월 전
3,usernu2my7ms4h,이렇게 좋은 컨텐츠에 왜 댓글이 별로 없는고양  저도 참고해서 셀프케어 플랜 짜야겠어용,0.0,4개월 전
4,lokate5034,부지런한 결님! 늘 알찬 영상 고맙습니다~~,1.0,7개월 전
5,bluemmi2768,오늘 의상 넘 예뻐요~~ 바쁘지만 잘 실천해볼게용~~,1.0,7개월 전
6,userxk4kc9xd5v,결님 주말 잘지내셨나요,2.0,7개월 전
7,hoon820,탄력레이저라면 어떤 시술을 말하시나요? 궁금합니다 알려주세요~,2.0,7개월 전
8,hys1363,안녕하세요! 상의 정보좀 주세요 ,0.0,2주 전
9,yazciceyi5130,,1.0,7개월 전
10,usermk3mo3ut3y,안녕하세요,1.0,7개월 전
11,usercb1ll2gw5w,목 깁스 하긴줄..,1.0,6개월 전
