,youtube_id,comment,like_num,comment_date
0,SOLA,"라이아 이벤트 고정댓글로 한 번 더 정리해드릴게요!!!  

라이아x올리브영 입점 기념 100%지급 후기 이벤트
후기 이벤트 자세히 알아보기 : https://bit.ly/3DoW6dR
 
① 올리브영 온라인에서 라이아 제품 구매하기
② 구매 후 올리브영앱에서 리뷰 작성하기
③ 리뷰 작성 후 마이페이지-리뷰-나의리뷰-리뷰보기 클릭 후 리뷰이미지 캡쳐하기! (도용방지를 위해 닉네임과 리뷰 같이 보이도록 캡쳐)
④ 라이아 공식몰에서 인증폼을 통해 리뷰 인증하기!
 
*이벤트 일정 : 10월 17일 ~ 12월 30일까지 진행",4.0,10개월 전(수정됨)
1,nayouv8my,"요즘 머리때문에 고민이 많았는데 고마워요 내년에 고3되는데 고민거리가 늘어서 진심 힘들었거든요 언니 사랑해♡♡
언니가 추천하는 제품은 광고인지 아닌지 보지 않아도 정말 써보고 괜찮아서 추천하시는게 보여서 의심할 여지도 없네요
이번에도 샴푸랑 트리트먼트 잘 쓰겠습니다!!",1.0,10개월 전
2,danidanihr2ex,언니의 찐텐이 느껴지는 영상.. 꼭 한번 사봐야겠어요!,2.0,10개월 전
3,userhs8en3sh6c,"곧 수험생이 되는 입장이라 그런지
스트레스를 받는다고 생각안해도 머리카락이 너무 안좋아지는게 눈에 보이고, 이걸로 또 스트레스 받고ㅠㅠ 그랬었는데
솔아님 추천 영상이 있다니!!
너무 기뻐요 오늘영상 감사합니다",0.0,10개월 전
4,userjp8lb2tq6x,"비나우 입사지원 할 때 헤어 브랜드 론칭한다고 해서 기대했는데 드디어 나왔나보네요....! 솔아님 향 설명은 물론이고 제품력까지 믿음이 가서 다음에 꼭 구매해보려구요! 오늘 마침 올영에서 샴푸 사서 쬐끔 속상하지만 일단 다 쓰고 사.야.지️

쓰고 보니 관계자 같은 느낌인데 아니랍니ㅏㅇ",2.0,10개월 전(수정됨)
5,hohohalmoni,저 지루성두피염에 가늘고 힘 없는 모발인데 여기 딥클린 샴푸 한 일주일간 썼다가 머리가 배로 빠지고 평소보다 미친듯이 가려워서 바로 사용 중단했어요ㅠㅠㅠ 돈 아까움,27.0,10개월 전(수정됨)
6,jollyjulie8907,솔아님ㅎㅎㅎ 올영에서 샴푸 품절 풀리자마자 또 샀어요!!!ㅋㅋㅋㅋㅋ역시 믿고 사는 솔아템..ㅠㅠ 라이아 쓰고 진짜 머리카락 엄청 부들부들거리고 건강해졌어요ㅠㅠㅠ 언니 추천템은 이제 진짜 믿고 다살거임ㅠㅠㅠㅠ,0.0,9개월 전
7,overture6324,엇 라이아 트리트먼트 진짜 좋아여!! 지난번에 언니가 추천해주셨을 때 샀었는데 탈색 4번한 머리인데도 엄청 부들부들하게 손빗질 잘돼서 놀랐어여!!ㅋㅋㅋㅋㅋ,0.0,10개월 전
8,JayJ425,전부터 터리님부터 솔아님까지 강추하시니 이번에 꼭 사야겠어요!!! 최근에 흑발 셀프염색했다가 샤워후에 빠진 머리카락이 너무 많아진게 보여서 요새 무서울정도였는데 기대가됩니당 제 파워지성두피에서도 잘 해주길🥹,1.0,10개월 전
9,rosylee9413,"오늘도 넘 잘봤습니다 솔아님♡
머릿결도 더 찰랑찰랑거려서 그런가 엄청 청순하신 느낌ㅋㅋㅋㅋ",0.0,10개월 전
10,useryg2nn2dv5b,영상보고 올영들어가서 누르는 순간 샴푸는 품절됬어요 ㅋㅋㅋㅋ 머릿결 안좋아져서 트리트먼트 구매하려던 찰나에 또 품절될까봐 후다닥 결제하고 왔습니다!!!,3.0,10개월 전(수정됨)
11,jooeunjun,머리카락에 오히려 단백질 과부화 상태가 되면 오히려 머리가 끊어질 수도 있다네요...! 그리고 전에 소개시켜주신 벤튼 샴푸 + 모레모 트리트먼트랑 어떤 차이점이 있을까요..? 그 때도 탈모 방지 샴푸?였던것 같은데...!,0.0,10개월 전(수정됨)
