,youtube_id,comment,like_num,comment_date
0,userdm8om4zp7e,"와아아 이 영상 정말  기다렸어요!! 자주 잠옷 인증한 솔송이가 바로 저랍니다!! 제 인증샷이 영상에 나오다니... 이건 자랑해야해요!!ㅋㅋㅋㅋㅋ
+ 댓글에 링크를 달면 안된다는(?)걸 까먹고 카카오톡 링크 달았다가 댓글이 삭제된거 같아요...ㅎㅎㅎㅎ 자주 잠옷, 카카오톡 선물하기에 '자주 잠옷' 검색하면 처음으로 나오는 거에 첫번째 옵션 아닌가 해서요!! (솔아님이 죄송해하지 않았으면 하는 마음에...ㅎㅎㅎ)",7.0,11개월 전
1,userhb4ll2ks7z,오오오 선물하기 너무 좋네요ㅠㅠㅜ 매달 매 기념일마다 뻔한 핸드크림 선물 안하려고 고민많았는데ㅠㅠ 보석같은 선물 많이 공유해주세요!️‍,3.0,11개월 전
2,Yoming,요즘 핸드드립을 배우고 있는데 강사님께서 드리퍼는 밀리타만한게 없다구 엄청 추천을 하시더라구요...ᐟ 커피메이커도 비슷하게 좋지 않을까 생각이 드네요 항상 진심 가득한 영상 잘 보고 있습니다.ᐟ 요즘 날이 참 많이 추운데 감기 조심하세요,0.0,11개월 전
3,userxs3pe2ft9h,오!! 진짜 저도 러쉬랑 립 받고 좋았는데! 다른 제품들도 선물해봐야겠어요 이번 달에 선물할 일 많았는데 감사합니다!,0.0,11개월 전
4,userdudinie,안 그래도 친구들 생일선물로 어떤 걸 선물 해줄지 고민이었는데 솔아님 덕분에 숨겨진 꿀템에 대해 많이 알아가용( ღ’ᴗ‘ღ ),1.0,11개월 전
5,yeonjungkim90,필로우미스트 사용하고 있는게 있지만 ㅋㅋ 솔아님의 향설명에 결제를 안할수갘ㅋㅋ  ️기대됩니당 : ) 러쉬 제품은 살며시 하트를  누르고 …. 오늘도 좋은영상 잘 보구갑니당! 즐연휴보내세요 !!,1.0,11개월 전
6,HKcq4zo,겨울에 친구들 생일이 왕 많아서 고민됐는데 이런 영상 너무너무 사랑합니당 역시 솔아님️‍️‍,0.0,11개월 전
7,kayeong1511,솔아님 최고̆̈ 오늘도 영상 잘 보고 갈게요!! 넘넘 유익했어요 남은 휴일 즐겁게 보내세요 솔아님!!̆̈,1.0,11개월 전
8,vella1111,"이번 영상 왜케 힐링힐링 느낌이죠,,? ㅋㅋㅋㅋ 카카오톡 선물이라니 완전 유용한 영상인것,,, 오늘 영상도 잘 보고 갑니다...!",0.0,11개월 전
9,hyojung4544,솔아님... 요새 신변의 변화가 가득 생겨서 오랫동안 못 들어왔어요!! 쌓여있는 영상이 많네요 ㅠㅠ 보고싶었어요!,0.0,11개월 전
10,usermallang,"오늘 주제 좋다좋다,, ",7.0,11개월 전
11,eunoo,"잘 보았어요 다음 영상도 기다리고 있을게요 솔아님 오늘도 좋은 하루를 보냈나요?! 월요일까지 연휴네요..
내일 일요일부터 저 혼자 있구요..오늘도 저 혼자 집에 있었지만 가족들 등산 하러 간다고..(장비발) 주말마다 등산을 하러 가는 것 같아..저는 안갑니다..안 가는게 아니라 못가는 거죠..
카카오톡 선물하기 저는 5분만에 끝내는 1인 고민 하는거 없이 그냥..이번에 사촌동생 생일이어서..매번 잊어 먹었다가 생일 날짜 말해줘도 제가 기억을..잊어 먹었다고 해야 하는지 까먹었다고 해야 하는지 모르겠지만 이번에 해줬고..핸드크림으로.. 템버즈 제품이었나?! 손 소독제로 유명한 브랜드?! 
연예인분들 파우치 영상에서 보면 가끔 등장하는?!
사촌동생과 나이차이가 좀 있죠?! 20대구요(학생은 아니지만) 저는 뭐 30대고.. 저한테 존댓 씁니다..(누구나 가족사? 있기 마련이니까..)
내일도 넷플릭스 함께..이번에 새로 보는 드라마가 시즌 6 까지 있어요
지금 일주일 째 드라마 위주로 찾아 보는 중입니다..
파트너트랙  데어미 퍼스트 킬 블러드&워터  안녕 여름..
굿밤~",0.0,11개월 전
12,userch7yu5vo3c,오늘 블러셔 뭐 바르신 건가요...?! 넘 예뻐요@@,0.0,11개월 전
13,userrk8ny7wz9h,저도 다육이 죽여봤는데 ㅋㅋㅋ 요 영상 너무 도움돼요!! 친구들 생일 때 꼭...!,0.0,11개월 전
14,userpi3zz3dg1z,언니 필로우미스트 디퓨저 대신 사용하기도 좋은가요? ㅠ_ㅠ... ,0.0,10개월 전
15,youlloyul3350,바디 컨디셔너 영업당하고 제 선물로 ㅋㅋ 슬밋 사러갑니다 ㅋㅋㅋ,0.0,11개월 전(수정됨)
16,userln2jj6er6c,진심 이 영상 모든 사람이 봐야한다 .... 오프닝 완전 저인줄,0.0,11개월 전
17,seohyunlee1731,아끼고 아끼다 지금봐용,0.0,11개월 전
