,youtube_id,comment,like_num,comment_date
0,clairesplayground,언니 미국에 계실때부터 구독해 왔어요.  저도 가끔 우울증 땜에 힘들때가 있는지라 공감이 돼요. 오래된 구독자로서 꼭 말 해주고 싶었어요. 언니 정말 사랑스럽고 충분히 행복할 자격 있어요. 살면서 실수 안 한 사람이 어디 있겠어요. 과거는 과거에두고 행복한 미래를 위해서 우리 같이 힘 내요~,29.0,1년 전
1,hayomi,"언니 미국여행 즐겁게 다녀오세요!
진짜 점점 단단해지고 멋있어지는 언니… ️
아홉수 멋지게 극복하고 새로운 도전하는 언니도 응원할게요 언니 ",5.0,1년 전
2,bluelike5918,"사려깊고 따뜻한 소영언니.. 따뜻한 사람들은 필연적으로 생각이 많아지는것 같아요. 남에게 나누어주는 에너지도 많고 이것저것 신경을 많이 쓰면서 배려하다보니 지치기도 쉽고.. 그렇게 방전돼서 고독하다 느낄때는 비록 랜선이지만 언니를 늘 궁금해하고 언니의 안녕을 기원하는 많은 사람들이 있다는것도 생각해주셨음 해요! 댓글 한줄이라도 언니에게 힘이 되어주고싶은 많은 팬들이 있다는거.. 잊지마요 언니! 
보여주신 룩들 너무너무너무 예쁘고 잘 어울려요ㅠㅠ 진짜 인간 뉴트럴,,ㅠㅠ 미국 몸 조심히 다녀오시구 너무 무리하지 말구 항상 즐기면서 하셔요 그래야 언니 오래 볼 수 있으니까! 늘 여유롭게 기다리고 있을게요오 오프라인 공간도 넘 좋은것 같아요 오랜 구독자이지만 언니를 만난 적이 없어서 아수버요,, 언니 가게 열면 일빠로 달려가야지ㅣㅣㅣ",5.0,1년 전
3,raimi825,언니 미국에 사실 때부터 봐왔던 구독자예요! 조용하게 꾸준히 구독자로서 응원해왔는데 오늘은 댓글을 남겨 보아요~ 이번 영상에서 몸도 마음도 단단해지신 게 느껴져서 너무 보기 좋아요! 미국 재밌게 잘 다녀오시길 바라요,10.0,1년 전
4,pinmin416,소영님 이번 메이크업이랑 하울도 잘 봤어요ㅎㅎ 베이지템이 저는 진짜 안어울리고 코디도 어렵던데 언니는 너무 잘어울리고 활용도 잘하셔서 부러워요 미국 브이로그 기다릴게요,2.0,1년 전
5,userhh9nt7fz8y,"언니 패션하울 넘 재미져요! 고급스러운거나 힙한 스타일이나 어쩜 그리 다 잘 어울리시는지 ㅠㅠ 메이크업 하실때도 넘 사랑스러웡,,",1.0,1년 전
6,charlottey4219,"이번 영상에서 유독 표정이 밝아보이고 마음 편해보여요~! 기분탓인가?
정말 꾸준한 운동 덕분인지 몸도 마음도 더 건강해지셨나봐요  제가 언니 많이 좋아하는 거 아시졍?
미국 여행 행복하게 즐기다 오세요",2.0,1년 전
7,SKjw5ot,언니 집 영상은 뭔가 힐링 따뜻함이 느껴져요. 지칠때 있으시겠지만 유튜브 오래 보고 싶어요,2.0,1년 전
8,yejinlily,언니 오프라인 매장 여시면 바로 달려갈거에요!!!!🫶 그리구 파란옷 너무 잘 받으시는데요?!!! 안 어울리는 게 없는 소영언니🫣️‍,2.0,1년 전
9,mlkim6088,그동안 소영님 영상이  편안하고 텐션이 잘맞는다싶었더니  인프제셨군요^^나이도 성향도 비슷해서 그랬나봐요~^^ 여행 안전하게 재미있게 잘다녀오세요,4.0,1년 전
10,sj014325,언니 영상 뜨면 항상 반가워요!!! 예전부터 쭉 응원하고 있답니다~짧은 영상이라도 자주 뵈용 언니!! 곧 추석 다가오는데 추석 잘 보내세요,4.0,1년 전
11,bubbly1523,"저두 소영이구 인프피에용 ㅎㅎ 저랑 비슷한 성향이어서 그런지 올라오자마자 보게되고 응원하게 되는 거 같아요 ! 영상 너무너무 반가웠어요 옷 하울도 좋고 브이로그도 좋고 겟레디도 좋고 언니가 올려주시는 거 다 너무 좋아해요 
항상 행복하셨음 좋겠고 그럴거에요! ",1.0,1년 전
12,userun4tm4yw9i,점점 이뻐지시고 젊어지시네용 ㅎㅎㅎ 추석 잘 보내세여^^ 가을이네요,2.0,1년 전
13,Serendipitysg2xs,30분짜리라니!!!!! 갬동그잡채🥹🥹🥹 언니 전 미국 동부에요 이번에 조심히 재밌게 여행하시고 다음에 기회되면 동부도 여행오세요~🫰샤넬이랑 자라 손민수하러갑니다️ 사랑해요 언닝️,2.0,1년 전
14,soniarhee,언니 ㅜㅜ 헤메코 완전 찰떡이네요 ㅜㅠㅠㅠㅠㅠㅠ 공주님.....️,2.0,1년 전
15,userwi9vh9oc4p,"소영님 미국 조심히 다녀오시구
힐링 많이많이 하고 와염
저보다 한살언니지만 소영님은 
스물여덜같아욤넘예,얼굴도 마음도 예쁜사람이예요
어떤 일을 실행했을때 결과도 물론 중요하지만,그 과정에서 얻는것들이 훨씬 많은거 같아요 실패를 한다고해도 그것또한 배움이라고 생각해요새로운것에 도전하고 가끔은 
쉬어가면서 지금처럼 늘 소영님이 행복하길 기도할께요",4.0,1년 전
16,bliss389,요즘 편안해 보이셔서 보는 저도 같이 해피해져요. 쏘핫걸 재질 소영님 미국 블로그도 기대할게요! 히히,0.0,11개월 전
17,delicia1911,"오늘 우연히 캠핑인러브2 유튜브 영상 보고 예쁘시고 사람도 좋으시고 뷰티유튜버라고 하셔서 찾아서 구독하고 정주행중이었거든요.
얘기하시는 게 공감이 되고 저랑 결이 너무 비슷해서 보는데 편안하더라구요.
계속 공감이 되니까 혹시 나랑 같은 인프제가 아닐까 생각했는데 맞았네요^^
더 빛나는 40대가 되시길 응원할께요!!

(캠핑인러브 자기소개 영상만 봤는데 방금 다른 영상 보니까 인프제라고 나오네요^^;;)",0.0,2개월 전(수정됨)
18,joohyunlee8288,넘 오랜만에 긴 영상으로 이야기도 많이 듣고 좋았어요^^ 미국 잘 다녀오세요!!,3.0,1년 전
19,usermd5yj6pl3d,엉니 영상은 항상 넘 기다려져요! 그래서 올라오면 개처럼 달려와서 봐요 ㅎㅎ🫶,7.0,1년 전
20,rona7956,언니 너무좋아해용♡  영상도 길어서 쪼아용^^  잘보고갈게용 언니도 추석 잘보내세용~~~,3.0,1년 전
21,userit4bi9ql6o,어머 ㅠㅠㅠㅠ오늘도 영상이 올라오다니!!언니 넘 보고싶었어용 일끝나고 아껴서 볼게용️,3.0,1년 전
22,princesslee4457,"아홉수라고 하셔서 스물 아홉인줄 알았는데 서른 아홉이라니
넘 어려보이고 예쁘세요
이렇게 예쁘시고 다 갖추신거 같은데 우울하시다니 ..",1.0,11개월 전
23,hchshyhch7401,소영님 영상 언제나 반가워요!!️,2.0,1년 전
24,limeunhee7531,"우앙 30분이라니 너무 행복한걸요 제 나름의 분석(?)을 해보자면 언니가 고양이를 키우게 되면서 고양이 특성상 정해진 루틴이 있다보니까 고양이들을 챙기다보니 인프제로 바뀌었을 수도 있다는 의견에 한표를 던져봅니당 ㅎㅎ
저도 고양이 키우게되면서 냥이의 순수한 사랑을 받는다는 느낌에 자기효능감도 높아지고 고양이를 챙기려고 루틴을 짜서 생활하다보니  j로 바뀌더라구용ㅋㅋ
언니 미국 잘 다녀오세요️️",4.0,1년 전
25,tinhyeu5053,우와 언니 정말 홀쭉해지셨어요! 복근까지 생기신건가요? 몸무게 자체는 별로 안빠졌다고 하셨는데 그래도 몇키로 빠지신건지 궁금해요!,0.0,1년 전
26,userdh3xg9vn2g,"헉 언니 저도 강남쪽에 잠깐 살때 엄청 우울하고 미친듯이 잡생각이 많았거든요
좋은곳이지만  저에겐 어두움도 줬던곳같아요..
",2.0,1년 전
27,useryl7kc7ly4d,곧 마흔이라니!!!!!! 전혀 그렇게 안보여요..♡,2.0,1년 전
28,userly1zd1hl6x,언니 저도 인프제에요!!🫶 우리 인생 화이팅이에요! 미국 브이로그 기다릴게요^^,3.0,1년 전
29,Dayt9lz,언니 자주와주세요 언니보면 그냥 좋아요,1.0,1년 전
30,shimfly5169,저두 미국계실때부터 팬이에요 ️ 행복한 여행 되세요 항상 응원하고 있어요^^ 오프라인 매장 하시면 바로갈거에용 ,2.0,1년 전
31,uservc8jg4gy1z,오늘 알림 울리자마자 달려왔네요 ^^ 벌써 가을이네요 ㅎㅎ 내일 모레 ~ 추석인던데 즐거운 추석 보내세요 ^^ 잘 보고 갈께요 ^^,3.0,1년 전
32,icefairy4,저 자라 파란색 탑 언니 영상 보구서 샀는데 너무 이쁘네여>.</,0.0,1년 전
33,usercx1nb1mn9l,언니 모자 정보는 없나용? 진짜 이뻐여,2.0,1년 전
34,usergm7pc6ho4z,"소영님~~~몇년전 미국이랑 바로셀로나브이로그 생각나요^^
엘에이 샌프란시스코 라스베가스 브이로그도 기대할게요~^^
소영님한테 키즈카페같이가자고 전화하던 그 조카 벌써 많이 커서 여행도 같아가는군요!^^
샤넬가을 메이크업 너무 예뻐서 사러가야겠어요~~~
옷들도 너무 예뻐서 몇개 찜콩했어요!
오늘 들려주신 이야기들 마치 친한친구랑 대화하는것 같아서 너무 좋았어요!
미국에서 에너지 많이 받아오셔서 
영상 자주 올려주세요~^^
앗!그리고 오프라인 오픈하시면 첫단골손님 예약입니다",1.0,1년 전
35,luca13,이쁜 소영언니 사이다 제품 사이즈 알고싶어용️️,1.0,11개월 전
36,userrt3ob7of2c,사이더 오프숄더 핑크색 상의 넘 예뻐여ㅜ 몇사이즈 구매하신거에용?,1.0,1년 전
37,rabbit338,언니~~~베레모 정보좀 알려주시면 느무 느무 감사하겠숩미당,1.0,1년 전
38,karakuwa553,今日も1日お疲れ様でございます♪今日は晴れてで28℃まで上がりました♪今も蒸し蒸しして辛いです♪これから日が短くなると思うと元気を無くします♪本日も素敵な動画をありがとうございました。,2.0,1년 전
39,userbw9un1pv3z,알찬 영상 잘 봣어요!,2.0,1년 전(수정됨)
40,lovelyseonghee,스트라이프 티에 쓴 모자 어디거에요?? 너모 이뽀요,0.0,10개월 전
41,usertv1ge9or2o,헉 하울영상 넘기대되요!! 잘볼게요 반클리프 목걸이 소영님 착용하신거 빈티지 사이즈인가요 스윗사이즈인가요 ?,2.0,1년 전
42,userco1gk9um1k,데이지크 블러셔받을때 분홍색 브러쉬 오디꺼인가용!ㅎㅎ,2.0,1년 전
