,youtube_id,comment,like_num,comment_date
0,userpy8yn1fx9x,샵에서 메이크업 받으시니 더 예뿌세요..! 원래도 화장을 잘하셔서 엄청 난 차이는 없지만 훨씬 블링블링해 보여요 !! ,7.0,1년 전
1,miokkim2603,먼가 꼼꼼하게 정성들여해주시는 느낌!! 정교해요~~이래서 샵에들가나봐요 그와중에 피부가 넘 좋아보여서 부럽 블링블링 빛이나네요!!,2.0,1년 전(수정됨)
2,userxc3vy1ys2z,역시 이쁘시고 피부가 좋으세요~,1.0,1년 전
3,Dcs525,쉐딩비교 깜짝 놀랐어요 ㅋㅋㅋ저도 괜히 한번 받아보고싶어요 ㅎㅎㅎ,0.0,1년 전
4,usernu9ec1zj4b,요즘 화장품 거의 상향 평준화 되고 제품질도 차이 크진 않을거 같지만 메이크업 샵은 백화점 화장품 사용 할줄 알았는데 바비브라운 제외하고는 로드샵이고 올리브영에서 파는 제품이네요.,1.0,4개월 전(수정됨)
5,userlw9lm8pw5q,오늘도 영상 재밌게 볼게요! :) 올려주셔서 감사합니당,1.0,1년 전
6,userox6ur3ku2h,"숑숑님.... 진짜 볼때마다 매일 리즈갱신 아니신가요ㅠㅠ 반묶음에 화장 제발 박제해주세요,,️ 너무예뻐서 9분이 순삭됐어요..
그리고 숑숑님 사신 제품들 리뷰하면서 약간 수다영상? 찍어주실 생각 없으신가요,, 기대돼요!! 
아 립제품도 궁금해요.. 넘예..",0.0,1년 전
7,miyeongbyeon7026,샵 선생님이 쓰시는 파운데이션 브러쉬가 궁금해요 !,0.0,1년 전
8,e07m23,쇼츠보고 한번 더 보러와떠여>.<,0.0,11개월 전
9,jihn5gt,"언니ㅠㅜ이날 머리 어떻게하신건가요!!
너무 이뿌고 고정잘되어있어보여요
알려주세용",0.0,1년 전
10,userhx9xc1bc8c,아이브로우카라 어디제품인지 궁금해요!,0.0,1년 전
