,youtube_id,comment,like_num,comment_date
0,uservw8mq2iw1u,속상하고 눈물라네요 시니님  항상 감사드립니다. 개국본은 영원할 것이다.,23.0,5개월 전
1,userox6qj1yx8w,총수님~~우리도 함께 나이들어 변해가겠죠~~그래도 함께했던 그시간 보람있고 행복했다고~~앞으로도 함께 변해가자고요~~해야할일  하면서요~시니님 총수님 함께가요~^^,41.0,5개월 전
2,userrd9bo6yc2w,우리가 있자나!!!~~걱정마세요~~,26.0,5개월 전
3,userul4mk8mo7w,"변하지 않은 절대원칙
이재명원팀 이기는민주당
개총수님 우리 끝까지 함께가요 제발~~~
저는 예전에도 앞으로도 민빠~~
민주당의 승리를  이재명이 이기기를
국암당이 사라질 그날까지 쭈~욱~~",24.0,5개월 전(수정됨)
4,userhv7ev1tr2n,시니님 감사시럽습니다 ,36.0,5개월 전
5,uservs1uy9qq5l,아 어젯밤엔 분명 안슬펐는데..지금 왜케 슬픈가요..세상 모두가 변해가도 개국본 생각하는 우리.개총수님은 변함없길!! 존경해요 나보다 어리지만~~아자홧팅,32.0,5개월 전
6,usercu2ct3ei1n,짠한 개총수님 ,39.0,5개월 전
7,uservl1iy1hh4e,변화 하는것은 당연 하다고 봅니다 하지만  국짐당 없는  세상을 바라는것은 변함 없이 앞으로 쭉 가야죠 그날 까지  개국본 시사타파  동지들  힘냅시다 화이팅입니다 ,20.0,5개월 전
8,userqh8ct8jw5d,"사람은 시간따라 변하지요...
사람은변하지만 상식선은 변하지않지요.
세상은변해두 사람도변해도 지키는선을 넘지는말자..
인간답게...
개총수님과 개국본화이팅......
항상 응원합니다..",14.0,5개월 전
9,userhs7fp3we8z,우리는  나이들어 몸은 변해가지만 맘은 일편단심 민주당 지킴이 지지자 동지분들 입니다 시타 개국본 화이팅  ♡♡♡,30.0,5개월 전
10,userdb2jp1yw9f,"ㅠㅠ. 이노래가 이리 서글픈 노랜지 첨 알았네요.
개국본 식구들 모두들 화이팅하세요.",16.0,5개월 전
11,userfy3uu7ge4m,눈물난다....변하는. 모습에 적응안되고 맘이 이렇게 아픈데....개총수님 맘은 오죽하실까...힘내세요. 항상 같이 하겠습니다,8.0,5개월 전
12,usergp2oo8qb8g,"아~슬푸다
개총수님  노래가~~~~ㄱ",9.0,5개월 전
13,usercz1ec8tl2q,개총수님의  지금의  심정을 대변하는 노래같네요  힘내세요,20.0,5개월 전
14,userus9rw3ce6c,우리는 개국본 개총수님 당신을 사랑합니다. 응원합니다,44.0,5개월 전
15,usertr7kz9xd4o,눈물이나네…ㅠㅠ 개총수님 힘내요!,46.0,5개월 전
16,userue9jj4xv8l,"우리  개총수  힘듬시기  잘~~견뎌내고 계십니다.
화이팅~~~^^!!
조금더  차분히~~~~받아들이며
다잡으며~~~행진~~~하는거야~~!!!",30.0,5개월 전
17,usergx4ec6zk1m,총수님  우리 개국본과  총수님 지지하는 우리가 있어요..응원합니다^^ 힘내세요,22.0,5개월 전
18,ondajahyang,"가슴 사무치는 영상과
많은 생각을 하게 되는 좋은 글 감사합니다.",41.0,5개월 전
19,userly3hs9il6c,"당신을 존경하고 사랑합니다  
끝까지 함께 합니다!!",18.0,5개월 전
20,userrz3xc7yb2s,서초의 수백만 촛불을 이끈 사령관이라 너무 어려웠는데 이제는 함께 고비고비 넘어온 동지로써 존경하고 사랑합니다,18.0,5개월 전
21,useriw7rr7gr8j,시니님 영상  감사 해요  오늘 하루도 화이팅 입니다 ,34.0,5개월 전
22,userll7ic1gf5u,아프다 쓰리다 가슴이 먹먹하다 개총수님 우리 울지말고 웃자요!!!,20.0,5개월 전
23,nasttashachoe3839,넘사벽 개총수 힘내라!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,12.0,5개월 전
24,userbf9nu1ck2n,총수님마음 우린 변함없이 끝까지 가자~홧팅입니다~♡♡♡,41.0,5개월 전
25,userhk5on9rx8f,마음이 아프네요.,35.0,5개월 전
26,psj1120,"마음 아프네요. 주변에 많은 사람들의 흔들림을 보며 옳은 선택에 대한 지각, 인식이 그리 없는지 안타깝기 그지 없고...  그러한 모습들이 남아있는 자들에게 얼마나 상처가 되는지, 진실이 무엇인지 알려고 하지도 않고 참으로 스피드하게 자리를 옮겨 다닌다.
노래를 들이니 더욱,얼마나 속으로 삭이고 인내하고 있는지 아파하고 있는지 느끼게 됩니다~
힘내세요!",10.0,5개월 전(수정됨)
27,kmk501,도대체 개총수는 못하는게 뭔지~~??  힘내라 개총수!!!  개국본회원들은 안변할겁니다!!!,39.0,5개월 전(수정됨)
28,userjw3bh9vp3k,타파님 힘내세요,6.0,5개월 전
29,userrg3yy4kp5f,"개총수님 옆에 다가오는
인사들은  모두 개총수님을
이용하고 싶어 하는
사람들이라고 생각하고 
사셨으면  좋겠습니다 .",19.0,5개월 전
30,userzi7nh2mt1u,사람들은 변하죠  변한내모습이  내가보기에 추하진 말아야되지않을까싶어요  개총수 모습은  최선을다하는   모습이 보여  변한모습이 더좋아보입니다,40.0,5개월 전(수정됨)
31,userjw3bh9vp3k,시니님 늘 응원 합니다,6.0,5개월 전
32,userfn9bm7se6k,아프다ㅠㅠ,15.0,5개월 전
33,kimue6tc,왜케 슬프냐ㅠㅠ,31.0,5개월 전
34,userlh3kk8vq3k,총수님 힘내세요 다들왜있래속상하다,38.0,5개월 전
35,userjd6ns7wn2j,"역쉬!!개총수 
아무리봐도 멎찐남자
개국본대표 로 쑥~~원합니다",6.0,5개월 전
36,moondakr,어제 음방 못봤는데..이영상 보고..눈물 찔끔..흑..,21.0,5개월 전
37,usermv4pq6ub9y,시니님두 따랑따랑따랑혀유. 최고최고최고여유^^♡♡♡♡♡♡♡♡♡♡,15.0,5개월 전
38,userod1km3ix3c,노래속에 씁쓸함이.....,20.0,5개월 전
39,userdt1dp9vj7w,개국본 개총수 영원하리,23.0,5개월 전
40,GGBMINGONG,역쉬...최고!! 시니님 소장용 입니다,29.0,5개월 전
41,scameron6759,본방 볼때보다 영상과 함께 들으니 더욱 먹먹해지는군요.타파님 늘 함께하는 동지가 되겠습니다. 그리고 감사합니다.,2.0,5개월 전
42,userbn4vx4xn9o,슬프다ㅠㅠ,27.0,5개월 전
43,ganghangaechongsu,이노래 한곡에 많은 생각이 드네요 ㅠㅠ,6.0,5개월 전
44,userly3hs9il6c,개총수 절대지켜!!,18.0,5개월 전
45,userul4mk8mo7w,"나의 민주당은 김대중의 승리의 민주당
민주주의는 승리만이 이눌수 있는것
이재명의 이기는 민주당
51% 동지애로 뭉첬어 
국암당을 응징해야 된다
이재명지킴이 민주당지킴이
개총수 개국본 화이팅",9.0,5개월 전
46,userbp3jd5hx3t,"총수님  힘내세요 
이종원이 옳았다 
우리가 개국본이다",15.0,5개월 전
47,userjp9lq5py8v,가슴이 먹먹 하내요ㅠ,15.0,5개월 전
48,userdm3es6bq8k,,14.0,5개월 전
