,youtube_id,comment,like_num,comment_date
0,ant9424,"#우리가이재명이다
#이재명수호
#하나님이재명을지켜주소서",5.0,7개월 전
1,userhs7fp3we8z,담정권 되찾아서 그리운 얼굴들 같이해야죠  사랑합니다 ♡♡♡,12.0,7개월 전
2,TVis4vu,알고리즘의   안내로    도착지   시니  채널    ㅡ   격하게  반갑고  감동적이고    응원합니다     우리는  하나로  뭉쳐서   이재명과  새로운세상으로      ㅡㅡㅡㅡㅡㅡ,4.0,3개월 전
3,userhs7fp3we8z,노무현 대통령님 박원순 시장님 노회찬님 그리운 얼굴입니다 두번다시 보지못하는   그나마 영상으로 뵈을수 있는분들 감사드립니다 ♡♡♡,13.0,7개월 전(수정됨)
4,userjm1eb6yd9o,영상을보며 뭉클했습니다. 이땅에 민주주의를 위해 힘써주시는 분들 감사하고 존경합니다.,9.0,7개월 전
5,userpv9kw4xb6s,몇달전 이대표 검찰 출석하실때 이노래를 처음듣고 오늘까지 정말 알고싶었던 노래에요.. 체포동의안 가결된 오늘 드디어 제목을 알게 되었네요 한참 울다 진정된 가슴이 이 노래와 함께하니 다시 울분으로 차오르네요..ㅠㅠ 끝까지 함께 싸웁시다,2.0,4일 전
6,uservw2er8wk8j,"시니님 영상 너무 감동입니다.
블랙홀 가사가 마치 우리 동지님들 과 함께
길바닥에서 외치던때가 생각나고 뭉클해지는데 
거기에 우리 민주 진영 보고 싶은 어른분들 영상이 
더욱 마음 가득 울림이 밀려옵니다.
감사합니다.  고맙습니다",5.0,7개월 전
7,userhs7fp3we8z,그리운 얼굴들과 함께 웃는날을 기원합니다,12.0,7개월 전
8,usergr3on7jf3w,"블랙홀 30년팬이자 
민주당 권리당원인 제가 너무 자랑스럽고 흐뭇합니다",4.0,2개월 전(수정됨)
9,useriv3vu7pd8l,영상 감사합니다,9.0,7개월 전
10,usermq6jn8nc1c,"그 길은 외롭지 않습니다
우리모두 함께 합시다 
영상 감사합니다",5.0,7개월 전
11,userbq6lp9if9h,"멀고 험한 길에도 함께 한 얼굴들 ...
그 얼굴들이 그립습니다 ~ ! 
확연히 떠오르는 얼굴들...
멋진 영상으로 함께 하니 뭉클 ~ !",12.0,7개월 전
12,9open,"오늘 함께하지 못한마음 퇴근후 노래들으며 
미안한 마음 달래봅니다. 감사해요.",7.0,7개월 전
13,userrm3ph4ye1r,노무현 대통령님 너무보고싶어요ㅠㅠ눈물나요  이곡 너무 좋와요,6.0,12일 전
14,tvsm8dv,그리운 얼굴들 ,3.0,3개월 전
15,usergp2oo8qb8g,"함깨한 얼굴들 
그리운 얼굴들 보니  왠지 ~ ",3.0,4개월 전
16,userlp8pu1yd7h,음악이 다했다! 블랙홀 대한민국 최장수 밴드라는데 노래 너무 좋네요 ~,3.0,2개월 전
17,userbn4vx4xn9o,"보고 또 봐도 영상 감동입니다 
시니님 감사합니다",3.0,5개월 전
18,userwg8yu6kl8g,저희밴드도 함께 무대에서 이노래를 공연하도록 하겠습니다.,3.0,3개월 전
19,MarineFord320,98번째 추천. 매번 좋은 영상 감사합니다,3.0,7개월 전
