,youtube_id,comment,like_num,comment_date
0,userto5hs7bb4n,"정말 믿고보는 하울템,, 언니가 소개하면 다 트렌드해보이고 이뻐보여요..",1.0,5개월 전
1,userix6ti3zd8t,영상 분위기 너무 좋고 아이템들도 다 너무 잘 골라왔네요 지금 날씨에 너무 입기좋은 코디들!!..,4.0,5개월 전
2,soojinahn2188,진짜 패션 센스 개지림 ㅠㅠ 언니 올려주셔서 감사해요 ,0.0,5개월 전
3,userxk2vo7mu9k,믿고 보는 언니 하울,1.0,5개월 전
4,SsAaxv7kq,チョンウンちゃん今日も超絶可愛くて女の子らしくてメロメロが止まりません,0.0,5개월 전
5,dandelion61,정은님은 진정한 금손! 항상 볼 때마다 감탄을 하게 되네요~~ㅎㅎㅎ 더 보기란에 링크 남겨 주셔서 싹 다 들어가 봤어요!!,1.0,5개월 전
6,userpp2oy8nn7u,정은님 코디도 잘하시고 완전 예쁘시네여,0.0,5개월 전
7,userow6nt3wh9h,헐 완전 다 예뻐요 진심,3.0,5개월 전
8,userym3qb1lg7u,"어쩜 이번에도 살거 천지에요 ㅜㅜㅜㅜㅜ 
매번 도움되눈 영상 정말 감사드려욥 🩷🩷🩷🩷 다 사고싶어서 큰일났따,,",2.0,5개월 전
9,rhathal,정은님 패션하울이 제일 좋아요....... 구매 3개 했습니다 영상 자주 올려주세요><,0.0,5개월 전
10,usermp2ee1tk3o,"모든옷이 또 다 예쁘면 어떡하죵 🥹🥹
언니 어텐즈 티셔츠랑 같이 매치한 하늘색스커트? 어디꺼일까용?ㅎㅎㅎ",3.0,5개월 전
11,usersx1yg7if4o,맨날 정은님 후기보고 검정스키니 구매하는데 또 추천해주세용..재구매해야하는데 품절이에요 흑흑,0.0,4개월 전
12,userkf5px4qo6g,오픈잇히어 연청바지 수선은 따로 안하셨나용? ㅎㅎ 핏이 너무 예뻐요,0.0,5개월 전
13,usergm4mt3kb3i,롤업해서 입으신 생지데님도 넘 궁금해요!!!🫧,0.0,5개월 전
14,hyun219,평소 바지 사이즈랑 구매하신 오픈잇히어 사이즈 알 수 있을까요?? 항상 영상 잘 보고 있어요,0.0,5개월 전
15,usertr4pc2pg6m,목걸이 정보두 궁금해요 정은님!,0.0,5개월 전
16,estherjung8265,혹시 연청데님에 신으신 힐 정보 알수있을까요?!,0.0,5개월 전
17,happyjm7vz,데님 미쳤다,0.0,4개월 전
18,usernq1pv6fc1v,원로그 데님셔츠랑 나시랑 그로브블라우스랑 다 살려구요!!!! 신발도 고민이에여 지금 🩶,0.0,5개월 전
19,usermn4mn1xt6i,흑청데님 정보 알 수 있을까용?,0.0,5개월 전
20,onwebb,정은님 썸네일에 핑크색 신발 정보도 알수있을까욤?,0.0,5개월 전
21,useris2ei9zq6d,데님셔츠에 코디한 흰바지는 오디껀가요,1.0,5개월 전
22,userku3dh1uo7o,1:20 2:00 2:40 3:40 6:40,0.0,4개월 전(수정됨)
23,usermk9tv6wm9t,6:42  같이 입으신 치마 정보 알 수 있나여ㅠ,0.0,5개월 전
24,jessicalim2469,폴렌느 미니백 쿠션 들어갈까여?,0.0,5개월 전
25,userfn9ye2fk5r,정은님 키가ㅜ어떻게 되시나용?,0.0,5개월 전
