,youtube_id,comment,like_num,comment_date
0,userct8hj5oj4r,메이크업 영상 너어무 좋아요... 언니 오랜만에 빡세지만 조금 과감한 데일리로 할 수 있는 젤라표 메이크업 존버할게요🥹,13.0,5개월 전
1,PinkLemonade1116,Such pretty makeup! Love the NewJeans vibes,5.0,5개월 전
2,userqe6sp8ud4t,젤라님 메이크업이 너무 예뻐요,3.0,5개월 전
3,mingming1225,뉴진스 해린이 언니가 있다면 이런 느낌일ㄲㅏ…?ㅠㅠㅠㅠ너무 예뻐요,14.0,5개월 전
4,itsvitoriaramos,so beautiful ️,5.0,5개월 전
5,userfj1bp5bt5u,언니 렌즈 뭔지 넘흐 궁금해요ㅠㅠㅠㅠ,12.0,5개월 전
6,userls9pt6tp2t,언니 필리핀도 와줘요ㅠㅠ 해외에 있는 젤라또 서운해요 ㅠㅠ,2.0,5개월 전
7,strawberrycupcake5006,,4.0,5개월 전
8,userlr1rz4tb5o,"Jella, please make videos like ""bed on the beach"", please please please",3.0,5개월 전
9,minsco,디토 아니냐구요~ 디토 그 자체야~,4.0,5개월 전
10,stali1692,렌즈 어디꺼 인가요 ㅠㅠ,0.0,4개월 전
11,diane9404,뜬금없는 질문이지만 귀에 그림들은 문신인가요..?,2.0,5개월 전
12,raveendranpillai5728,⁹99999 I alĺ,3.0,5개월 전
13,luna2073,1등,3.0,5개월 전
14,jhondotay5806,Mentull,3.0,5개월 전
15,Lowell,️,4.0,5개월 전
16,sharafatkhanlq6nn,I Don't noYour Languaz And Lovely Languaz for mahsoosh,3.0,5개월 전
