,youtube_id,comment,like_num,comment_date
0,juheehonggg,"사랑하는 우리 쭈콩이들 저는 요즘 너무 건강하고 규칙적으로 공부도하고 운동도하고 유튜브 편집도 하고 힐링도하구 아주그냥 “갓생 살기”하구 있는데요ㅋㅅㅋㅅㅋㅋ
울 아가들 내 영상 보고 같이 힘내서 갓생살아보아요
하루의 시작과 끝에서 항상 나 자신을 칭찬해주고 사랑해주기 잊지말구요.
저는 요번 브이로그 5일차-8일차 편집 마무리해서 올텡께요 
요 영상과함께 화이팅하구있어요
사랑해
(오늘도 고생햇져여.기특혀.)",30.0,11개월 전
1,userxb4cp3do1n,"저 요즘 자꾸 시간낭비하는 것 같고 제자리걸음하는 것 같고 아무것도 하기 싫어지는데 해야할 것들은 너무 많아서 답답했는데 언니 영상 보면서 그냥 눈물이 줄줄 났어요..힘들 때마다 보러 올게요 그러니 항상 사람들에게 힘이 되는 언니도 항상 행복했으면 좋겠어요!! 저도 언니처럼 매일 매일 스스로를 사랑하기 위해 노력하다보면 언니처럼 사랑이 넘치는, 그 사랑을 다른사람한테도 줄 수 있는 빛나는 사람이 될 수 있지 않을까요!! 외쳐 갓쭈이..쭈콩이의 롤모델이라구..",16.0,11개월 전(수정됨)
2,userww7dt8hr3q,"인스타로 노래 제목 여쭤봤었는데 쭈이가 추천해주는 찬양가 다 너무 좋아요ㅠㅠㅠㅠ 언니 활기차게 나갔다가 우는 모습 바로 보여주니까 조끔쓰 기여운거 있죠,,,,️ 저도 이번 중간고사 때 스스로 너무 실망을해서 무슨 기분인지 알아유ㅠ 다음 편도 너무 기대되구마릥~~",1.0,10개월 전(수정됨)
3,ooO,"중간 성적이 생각보다 안 나와서 진짜 며칠 간 진짜 우울했는데 언니 영상을 보니까 다시 마음 다 잡고 남은 시험들을 더 더 잘 봐야겠다는 생각이 들었어요️
쭈언니 사랑해요🫶",9.0,11개월 전
4,useruo6pe4yf1q,"정말 귀엽고 멋있고 다 하는 쭈이언니,,♡ 자신의 감정을 스스로 잘 드러내는 것도 너무 멋있는 것 같아요🫶",1.0,10개월 전
5,maeng1,웅니는 지금도 충분히 멋쟁이에요!! 저도 핸드폰 한 번 보면 미친듯이 봐서 제 자신이 킹 받을때가 많은데요..  근데 언니는 힘들때 힐송듣고 오늘은 푹 쉬고 내일 다시 하자 하면서 실제로 내일 실천한다는게!! 넘나 믓쨍이 같아요.. 저도 이거보고 갓생 살아야겠다는 생각이 번쩍 드네용 암튼 언니 사랑해용,1.0,11개월 전
6,ninidigitaldiary,I love you videos sm! Thank you for inspiring me,0.0,11개월 전
7,boringy,"지금 외국인고등학교 다니는 고3인데 항상 언니 영상들로 motivation 얻는것같아요,,종종 무기력해져서 다 관두고 싶을 때마다 언니 영상 보면서 힐링해요,, ",4.0,11개월 전
8,userlt3db9pg1r,"오늘 브이로그 넘넘 잘 봤어요 
저도 마음이 불안하고 힘들 때 힐송 들으면서 마음을 다잡는데, 쭈이님도 그러신다니..! 완전 공감됐어요...",3.0,11개월 전
9,userip8fl5bz2l,"하나님 아버지께 기도하는 모습을 보고 눈물을 흘렸어요 왜냐면 너무 감동적이기도 했고 쭈이님도 자기의 힘을 쓰려하지 않는 모습이 저에게 많은 생각이 들게 했어요
응원합니다!!",10.0,11개월 전
10,dustofsnow217,how can you look SO PRETTY even while studying?!,1.0,11개월 전
11,dustofsnow217,"I am studying too!!! It would be amazing if you could provide subtitles, LOVE YOUR CONTENT by the way<3 fighting~",0.0,11개월 전
12,roun00,"3:31 저도 한 번 시도해봐야겠네요.
이번에도 패션센스가 뛰어난 쭈이님
책 짜르기 장인인 쭈이님
14:26 저요.
좋은 영상 잘 보고 갑니다.",0.0,11개월 전
13,userwy7ik4nv9i,언니 역시 오늘도 입버여 요즘 공부도 잘 안되고 맨날 폰만 주구장창보면서 시간낭비해서 그 킹받는 기분 저두 느끼구있는데 이런 영상 올려조소 고마오요🫶🫶 화이팅!!,0.0,11개월 전
14,dahee8591,추천 찬양 전부 넘넘 조하요... ㅠㅠ 언니가 힐링할 때 듣는 플레이리스트가 궁금함미다 !! 더 좋은 찬양들 많을 거 가태... 오늘 영상도 너~무 재미써욤 !! 쭈이 사랑훼…,1.0,11개월 전
15,userqi3yf8xj2o,쭈이님 너무 오랜만이에요ㅠㅠ 그리고 쭈이님의 너무 힐링되는 브이로그 너무 잘봤어요,0.0,11개월 전
16,userkb8ji8ct1x,미용기기  선전에서  넘 예뻐  여기까지 들어왔네요  유튜브   쪼금 봤는데  넘 신통하네  얼굴도  매력있고  본인일도 열심히하고 화이팅하세요,0.0,1개월 전
17,whitesugar6489,"언니🥹🥹🥹 저는 쭈벤트 당첨됬던 대학생 쭈콩이에요 !! 언니 메일 받구 그다다음날인가 바로 와서 너무 행복했어요️ 꾸꾸하고 언니한테 짠 하고 보여주고 싶었어요 쭈이언니가 쭈콩이 리뷰 많이 기다렸을꺼 같은데 아직 못보여드려서 너무 죄송하고 속상해요ㅠㅠ 쭈이언니여서 더 잘보이고 싶은 맘에,, 
제가 위장염으로 고생끝자자마자 셤보구 ct결과확인하느라 아직 예쁘게 입지 못했거둔요🥹 ct는  위장염 때문에 한건데 다른 안좋은게 발견되서 정신이 없어가지구 어찌저찌 아직도 못보여드렸네요 ㅠㅠ 그래도 인스타에 언니가 영상 스포해줘서 요즘 영상만 기다리구 있었어요 저한테 요즘 자꾸 안좋은 일들만 생겨서 너무 슬펐었었거등요 ㅠㅠ 그래도 옷 입을때마다 언니 기운 팍팍 받는거 같아요 ㅎㅎ 조만간 자랑할께욥 !!!🫶 언니 항상 너무 무리하지말고 쉬고 싶을 땐 쉬면서 오래오래 일해줘여🫶 쭈이언니 못잃어 절대 소중해 ",0.0,11개월 전
18,userzp2qn8oj4s,언니처럼 사는게 제 목표 ,0.0,11개월 전
19,tumemanques,"항상 영상 보면서 느끼지만
본인 예쁘고 핫한거 스스로 잘 아는게
존나좋음 ",2.0,11개월 전
20,userwg8kj3py6w,언니 행복해서 저두 행복해욤,0.0,11개월 전
21,usergi9rr3qb3h,14:02 앜ㅋㅋㅋ우는 거 넘 귀여워용..! 괜찮아요….! 휴대폰 하는 동안 즐거웠음 됬죠! ㅎ,0.0,8개월 전
22,useruz2qb3fh2j,언니온니 진짜 기다렸어요ㅠㅠㅠㅠㅠㅠㅠ,2.0,11개월 전
23,usergp6eu6tz9e,뭐야 이 언니.. 이번 영상 진짜 레전드 옙흐잖하..,0.0,11개월 전
